date,open,high,low,close,symbol
2021-09-01,1715.0,1730.0,1690.0,1711.0,DDBL
2021-09-02,1712.0,1857.1,1712.0,1785.0,DDBL
2021-09-05,1820.0,1820.0,1700.0,1742.0,DDBL
2021-09-06,1715.0,1785.0,1715.0,1784.0,DDBL
2021-09-07,1819.6,1819.6,1730.0,1755.0,DDBL
2021-09-08,1750.0,1750.0,1715.0,1722.0,DDBL
2021-09-09,1730.0,1740.0,1705.0,1705.0,DDBL
2021-09-12,1710.0,1735.0,1696.0,1701.2,DDBL
2021-09-13,1729.0,1730.0,1700.0,1703.0,DDBL
2021-09-14,1715.0,1715.0,1674.0,1676.0,DDBL
2021-09-15,1676.0,1685.0,1657.0,1663.0,DDBL
2021-09-16,1665.0,1665.0,1600.0,1615.0,DDBL
2021-09-20,1647.3,1713.0,1632.0,1648.0,DDBL
2021-09-21,1679.0,1679.0,1600.0,1652.0,DDBL
2021-09-22,1685.0,1752.9,1685.0,1750.0,DDBL
2021-09-23,1770.0,1787.0,1715.0,1725.0,DDBL
2021-09-26,1750.0,1750.0,1691.0,1705.0,DDBL
2021-09-27,1739.1,1739.1,1666.0,1666.1,DDBL
2021-09-28,1388.0,1400.0,1280.0,1297.0,DDBL
2021-09-29,1279.0,1322.0,1277.0,1295.0,DDBL
2021-09-30,1295.0,1310.0,1268.1,1269.9,DDBL
2021-10-03,1269.9,1269.9,1225.1,1230.0,DDBL
2021-10-04,1210.5,1230.0,1185.0,1205.0,DDBL
2021-10-05,1228.0,1240.0,1205.0,1239.0,DDBL
2021-10-06,1263.5,1327.0,1263.5,1327.0,DDBL
2021-10-10,1340.0,1394.1,1320.0,1320.0,DDBL
2021-10-11,1294.1,1310.0,1270.0,1306.0,DDBL
2021-10-17,1332.0,1358.0,1260.0,1287.0,DDBL
2021-10-18,1287.0,1290.0,1223.0,1251.0,DDBL
2021-10-19,1226.1,1226.1,1185.0,1212.1,DDBL
2021-10-20,1236.3,1286.2,1213.0,1233.0,DDBL
2021-10-21,1250.0,1252.0,1210.5,1213.0,DDBL
2021-10-24,1208.0,1234.9,1207.0,1217.0,DDBL
2021-10-25,1239.0,1247.0,1228.0,1247.0,DDBL
2021-10-26,1255.0,1300.0,1255.0,1298.0,DDBL
2021-10-27,1309.0,1343.0,1300.0,1318.0,DDBL
2021-10-28,1344.3,1344.3,1312.1,1338.0,DDBL
2021-10-31,1338.0,1358.0,1315.0,1354.0,DDBL
2021-11-01,1379.0,1379.0,1315.0,1325.0,DDBL
2021-11-02,1320.0,1352.0,1309.0,1350.0,DDBL
2021-11-03,1360.0,1360.0,1332.0,1341.0,DDBL
2021-11-08,1341.0,1365.5,1333.0,1333.0,DDBL
2021-11-09,1325.0,1333.0,1295.0,1305.0,DDBL
2021-11-11,1300.0,1300.0,1245.0,1264.0,DDBL
2021-11-14,1289.2,1310.0,1266.0,1267.0,DDBL
2021-11-15,1292.0,1298.0,1271.0,1275.9,DDBL
2021-11-16,1276.0,1301.0,1265.0,1299.0,DDBL
2021-11-17,1310.0,1312.0,1294.0,1295.0,DDBL
2021-11-18,1300.0,1300.0,1282.0,1290.0,DDBL
2021-11-21,1290.0,1298.0,1280.0,1283.0,DDBL
2021-11-22,1308.0,1308.5,1285.0,1291.0,DDBL
2021-11-23,1291.0,1301.0,1268.0,1268.0,DDBL
2021-11-24,1260.0,1291.0,1250.0,1288.0,DDBL
2021-11-25,1290.0,1295.0,1267.0,1280.0,DDBL
2021-11-28,1266.0,1285.0,1235.0,1236.0,DDBL
2021-11-29,1235.0,1260.0,1220.0,1221.0,DDBL
2021-11-30,1245.4,1245.4,1200.0,1215.1,DDBL
2021-12-01,1217.0,1224.0,1210.0,1210.0,DDBL
2021-12-02,1210.0,1210.0,1190.0,1190.0,DDBL
2021-12-05,1186.0,1205.0,1140.0,1157.0,DDBL
2021-12-06,1157.0,1162.0,1100.0,1158.0,DDBL
2021-12-07,1180.9,1200.0,1157.0,1157.0,DDBL
2021-12-08,1145.0,1145.0,1112.4,1115.0,DDBL
2021-12-09,1111.0,1130.0,1101.0,1115.1,DDBL
2021-12-12,1110.0,1115.0,1090.0,1090.0,DDBL
2021-12-13,1070.0,1071.0,1019.0,1025.0,DDBL
2021-12-14,1044.9,1091.0,1044.9,1090.0,DDBL
2021-12-15,1111.8,1156.0,1070.0,1101.0,DDBL
2021-12-16,1101.0,1122.0,1079.0,1080.0,DDBL
2021-12-20,1060.0,1089.9,1050.0,1069.0,DDBL
2021-12-21,1090.0,1111.0,1080.0,1111.0,DDBL
2021-12-22,1132.2,1150.0,1120.1,1144.0,DDBL
2021-12-23,1144.0,1164.0,1136.0,1148.0,DDBL
2021-12-26,1150.0,1192.0,1150.0,1192.0,DDBL
2021-12-27,1200.0,1219.7,1148.0,1170.0,DDBL
2021-12-28,1147.0,1173.0,1141.0,1170.0,DDBL
2021-12-29,1193.0,1200.0,1150.0,1170.0,DDBL
2022-01-02,1160.0,1200.0,1160.0,1190.0,DDBL
2022-01-03,1213.8,1237.0,1199.0,1228.0,DDBL
2022-01-04,1228.0,1252.5,1200.0,1231.0,DDBL
2022-01-05,1232.0,1232.0,1190.0,1200.0,DDBL
2022-01-06,1180.0,1212.0,1178.1,1206.0,DDBL
2022-01-09,1230.0,1240.0,1219.0,1230.0,DDBL
