date,open,high,low,close,symbol
2021-09-01,740.0,742.0,730.0,735.0,EBL
2021-09-02,736.0,740.0,719.0,727.0,EBL
2021-09-05,720.1,730.0,700.0,700.0,EBL
2021-09-06,701.0,753.9,701.0,753.9,EBL
2021-09-07,750.0,750.0,726.0,728.0,EBL
2021-09-08,728.0,730.0,714.0,720.0,EBL
2021-09-09,716.0,743.0,716.0,724.0,EBL
2021-09-12,724.0,735.0,720.0,732.0,EBL
2021-09-13,722.0,741.0,722.0,737.5,EBL
2021-09-14,728.0,745.0,728.0,740.0,EBL
2021-09-15,740.0,740.0,726.0,726.0,EBL
2021-09-16,720.0,720.0,708.2,713.0,EBL
2021-09-20,712.0,715.0,696.0,699.0,EBL
2021-09-21,710.0,717.0,677.1,699.0,EBL
2021-09-22,712.0,716.0,706.0,714.0,EBL
2021-09-23,728.2,748.0,722.0,729.0,EBL
2021-09-26,743.5,750.0,731.0,735.0,EBL
2021-09-27,735.0,735.0,710.3,721.0,EBL
2021-09-28,708.0,722.0,703.1,708.0,EBL
2021-09-29,708.0,722.0,705.1,721.0,EBL
2021-09-30,711.0,721.0,707.0,713.8,EBL
2021-10-03,715.0,715.0,695.0,697.5,EBL
2021-10-04,697.0,709.0,692.1,696.0,EBL
2021-10-05,705.0,709.0,701.0,707.0,EBL
2021-10-06,710.0,721.0,707.0,711.9,EBL
2021-10-10,726.0,726.0,700.0,700.0,EBL
2021-10-11,704.0,707.0,695.0,699.6,EBL
2021-10-17,712.9,733.0,700.0,714.0,EBL
2021-10-18,710.0,710.0,699.8,700.1,EBL
2021-10-19,697.0,699.0,687.3,697.0,EBL
2021-10-20,710.9,723.5,698.0,707.0,EBL
2021-10-21,717.9,718.2,696.0,705.2,EBL
2021-10-24,697.0,714.0,697.0,713.0,EBL
2021-10-25,711.0,720.0,709.3,720.0,EBL
2021-10-26,725.0,740.0,720.0,738.0,EBL
2021-10-27,744.9,744.9,723.4,732.0,EBL
2021-10-28,738.0,745.0,730.1,739.0,EBL
2021-10-31,724.3,724.3,668.3,691.0,EBL
2021-11-01,700.0,700.0,674.4,674.4,EBL
2021-11-02,670.0,679.0,666.0,670.0,EBL
2021-11-03,678.9,678.9,660.0,661.0,EBL
