date,open,high,low,close,symbol
2023-12-10,1000.0,1000.0,1000.0,1000.0,EBLD85
2023-12-11,981.1,1000.0,981.1,990.0,EBLD85
2023-12-12,976.1,997.5,976.1,993.0,EBLD85
2023-12-13,980.2,1000.0,980.2,990.1,EBLD85
2023-12-14,1000.0,1001.0,992.0,1000.0,EBLD85
2023-12-17,996.0,1015.0,996.0,1015.0,EBLD85
2023-12-18,1030.0,1030.0,994.7,994.7,EBLD85
2023-12-19,1000.0,1014.5,992.0,993.0,EBLD85
2023-12-20,1000.0,1010.0,1000.0,1000.0,EBLD85
2023-12-21,990.1,1023.0,990.0,1023.0,EBLD85
2023-12-24,1020.0,1020.1,1005.0,1005.0,EBLD85
2023-12-27,1025.0,1025.0,1004.5,1004.5,EBLD85
2023-12-28,1000.0,1000.0,1000.0,1000.0,EBLD85
2024-01-01,1010.0,1010.0,999.5,999.5,EBLD85
2024-01-02,985.1,997.0,985.1,997.0,EBLD85
2024-01-03,995.0,1000.0,995.0,997.0,EBLD85
2024-01-04,1015.0,1015.0,1015.0,1015.0,EBLD85
2024-01-07,1035.0,1035.0,1033.0,1033.0,EBLD85
2024-01-08,1013.0,1053.6,1013.0,1053.6,EBLD85
2024-01-09,1033.0,1033.0,1012.4,1020.0,EBLD85
2024-01-10,1000.0,1020.0,1000.0,1020.0,EBLD85
2024-01-11,1020.0,1040.0,1020.0,1030.0,EBLD85
2024-01-14,1010.0,1030.2,1010.0,1030.2,EBLD85
2024-01-16,1020.0,1020.0,1010.0,1010.0,EBLD85
2024-01-22,995.0,997.0,995.0,997.0,EBLD85
2024-01-23,1016.0,1016.0,995.5,995.5,EBLD85
2024-01-24,1015.0,1015.0,1015.0,1015.0,EBLD85
2024-01-25,996.0,1000.0,990.0,1000.0,EBLD85
2024-01-29,987.0,1007.0,987.0,1007.0,EBLD85
2024-01-30,990.1,990.1,990.1,990.1,EBLD85
2024-02-01,1000.0,1000.0,1000.0,1000.0,EBLD85
2024-02-04,1000.0,1000.0,999.6,999.6,EBLD85
2024-02-05,997.0,997.0,997.0,997.0,EBLD85
2024-02-06,999.9,999.9,999.9,999.9,EBLD85
2024-02-07,1000.0,1009.0,1000.0,1009.0,EBLD85
2024-02-08,1000.0,1009.0,1000.0,1009.0,EBLD85
2024-02-11,1005.0,1010.0,1005.0,1010.0,EBLD85
2024-02-12,1004.0,1004.0,1004.0,1004.0,EBLD85
2024-02-13,1020.0,1020.0,1020.0,1020.0,EBLD85
2024-02-15,1008.2,1008.2,1008.1,1008.1,EBLD85
2024-02-18,1005.0,1008.3,1005.0,1008.3,EBLD85
2024-02-22,1008.3,1008.3,1008.3,1008.3,EBLD85
2024-02-25,1008.0,1008.0,1008.0,1008.0,EBLD85
2024-02-26,1015.0,1035.0,1015.0,1035.0,EBLD85
2024-03-03,1015.0,1032.5,1014.3,1032.5,EBLD85
2024-03-05,1035.0,1035.0,1035.0,1035.0,EBLD85
2024-03-06,1015.0,1035.3,1015.0,1035.3,EBLD85
2024-03-07,1020.0,1020.0,1012.1,1015.6,EBLD85
2024-03-12,1010.1,1010.1,1010.1,1010.1,EBLD85
