date,open,high,low,close,symbol
2021-09-01,1045.2,1056.7,1009.0,1009.0,EDBL
2021-09-02,1010.0,1030.0,1004.0,1005.1,EDBL
2021-09-05,1005.1,1005.1,916.3,935.0,EDBL
2021-09-06,935.0,1028.5,903.1,1028.5,EDBL
2021-09-07,1026.0,1026.0,958.0,1000.0,EDBL
2021-09-08,1020.0,1100.0,1020.0,1086.0,EDBL
2021-09-09,1107.7,1149.0,1095.0,1103.0,EDBL
2021-09-12,1125.0,1125.0,1083.0,1093.0,EDBL
2021-09-13,1114.0,1114.0,1085.0,1095.0,EDBL
2021-09-14,1095.0,1098.0,1085.0,1090.0,EDBL
2021-09-15,1094.9,1094.9,1070.0,1077.0,EDBL
2021-09-16,1077.0,1097.0,1045.1,1053.0,EDBL
2021-09-20,763.0,763.0,686.5,686.5,EDBL
2021-09-21,686.5,686.5,617.9,663.0,EDBL
2021-09-22,676.2,698.0,663.0,674.5,EDBL
2021-09-23,687.9,714.0,660.0,691.0,EDBL
2021-09-26,700.0,705.0,656.0,656.0,EDBL
2021-09-27,645.1,645.1,623.0,623.0,EDBL
2021-09-28,613.0,623.0,600.1,600.1,EDBL
2021-09-29,600.0,612.0,566.0,594.0,EDBL
2021-09-30,605.0,610.0,578.2,593.0,EDBL
2021-10-03,593.0,602.0,558.0,558.0,EDBL
2021-10-04,560.0,560.0,525.2,532.0,EDBL
2021-10-05,535.0,549.9,515.1,545.3,EDBL
2021-10-06,550.0,599.8,545.0,579.5,EDBL
2021-10-10,590.0,590.0,560.0,565.5,EDBL
2021-10-11,567.0,570.0,550.0,566.0,EDBL
2021-10-17,567.0,578.2,551.0,554.1,EDBL
2021-10-18,555.0,564.0,540.0,545.0,EDBL
2021-10-19,545.0,549.9,527.1,530.0,EDBL
2021-10-20,535.0,544.9,530.0,534.7,EDBL
2021-10-21,545.3,545.7,528.1,536.0,EDBL
2021-10-24,537.0,564.0,536.0,555.0,EDBL
2021-10-25,566.0,590.0,564.0,580.0,EDBL
2021-10-26,591.0,602.0,580.0,587.9,EDBL
2021-10-27,582.0,590.0,570.0,580.0,EDBL
2021-10-28,580.0,615.0,571.1,615.0,EDBL
2021-10-31,615.0,650.0,615.0,650.0,EDBL
2021-11-01,653.0,664.0,635.0,638.0,EDBL
2021-11-02,648.0,669.0,629.9,661.0,EDBL
2021-11-03,650.0,674.9,650.0,663.0,EDBL
2021-11-08,664.0,677.1,655.0,672.0,EDBL
2021-11-09,665.0,668.0,641.0,643.5,EDBL
2021-11-11,635.0,655.0,623.0,630.0,EDBL
2021-11-14,620.1,639.9,610.0,625.0,EDBL
2021-11-15,637.5,640.0,632.0,636.0,EDBL
2021-11-16,636.0,641.9,625.0,635.9,EDBL
2021-11-17,648.0,660.0,645.0,657.0,EDBL
2021-11-18,670.1,670.1,628.0,635.0,EDBL
2021-11-21,647.7,647.7,620.1,632.0,EDBL
2021-11-22,619.4,637.5,619.4,635.0,EDBL
2021-11-23,633.0,633.0,610.0,623.0,EDBL
2021-11-24,635.4,635.4,608.0,620.0,EDBL
2021-11-25,610.2,629.9,607.8,629.9,EDBL
2021-11-28,617.4,617.4,583.0,585.0,EDBL
2021-11-29,595.0,630.0,574.0,590.0,EDBL
2021-11-30,601.0,601.0,565.5,580.0,EDBL
2021-12-01,591.6,591.6,575.0,589.0,EDBL
2021-12-02,599.0,599.0,555.0,580.0,EDBL
2021-12-05,591.6,591.6,530.1,555.0,EDBL
2021-12-06,566.1,610.5,530.0,608.0,EDBL
2021-12-07,620.1,620.1,556.8,600.0,EDBL
2021-12-08,588.0,588.0,550.1,550.2,EDBL
2021-12-09,561.2,561.2,535.0,545.0,EDBL
2021-12-12,535.0,535.0,504.0,510.0,EDBL
2021-12-13,499.8,503.0,471.0,471.1,EDBL
2021-12-14,480.5,500.0,480.0,499.0,EDBL
2021-12-15,508.9,519.0,449.1,496.7,EDBL
2021-12-16,486.8,490.0,468.0,468.0,EDBL
2021-12-20,476.0,476.0,449.0,449.0,EDBL
2021-12-21,454.0,493.9,450.0,480.0,EDBL
2021-12-22,482.0,499.8,475.0,499.8,EDBL
2021-12-23,509.7,509.7,482.0,504.0,EDBL
2021-12-26,510.0,524.0,504.0,524.0,EDBL
2021-12-27,521.0,528.0,501.2,510.0,EDBL
