date,open,high,low,close,symbol
2021-08-26,3040.0,3040.0,2950.0,2980.0,FOWAD
2021-08-29,2970.0,2972.0,2921.0,2933.0,FOWAD
2021-08-31,2971.0,2971.0,2810.0,2860.0,FOWAD
2021-09-01,2917.0,2917.0,2822.0,2840.1,FOWAD
2021-09-02,2805.0,2880.0,2801.0,2850.0,FOWAD
2021-09-05,2800.0,2840.0,2741.0,2798.0,FOWAD
2021-09-06,2853.0,2920.0,2743.0,2902.0,FOWAD
2021-09-07,2900.0,2900.0,2801.0,2801.0,FOWAD
2021-09-08,2810.0,2824.8,2750.0,2765.0,FOWAD
2021-09-09,2819.0,2820.0,2760.0,2761.0,FOWAD
2021-09-12,2816.0,2816.0,2765.0,2798.0,FOWAD
2021-09-13,2849.8,2849.8,2800.0,2805.0,FOWAD
2021-09-14,2806.0,2849.0,2779.0,2779.5,FOWAD
2021-09-15,2751.0,2806.0,2751.0,2787.0,FOWAD
2021-09-16,2787.0,2787.0,2687.0,2724.0,FOWAD
2021-09-20,2670.5,2710.0,2638.0,2652.0,FOWAD
2021-09-21,2647.0,2700.0,2594.1,2642.1,FOWAD
2021-09-22,2680.0,2747.0,2680.0,2701.0,FOWAD
2021-09-23,2710.0,2750.5,2680.0,2724.0,FOWAD
2021-09-26,2725.0,2725.0,2650.0,2650.1,FOWAD
2021-09-27,2621.0,2682.7,2575.0,2586.0,FOWAD
2021-09-28,2535.0,2680.0,2498.0,2549.0,FOWAD
2021-09-29,2598.0,2598.0,2450.1,2560.0,FOWAD
2021-09-30,2560.0,2589.9,2511.0,2518.0,FOWAD
2021-10-03,2470.0,2600.0,2470.0,2500.0,FOWAD
2021-10-04,2500.0,2599.0,2490.0,2568.0,FOWAD
2021-10-05,2611.0,2675.0,2590.0,2663.0,FOWAD
2021-10-06,2716.0,2899.0,2675.0,2878.0,FOWAD
2021-10-10,2935.4,3035.0,2823.0,2850.0,FOWAD
2021-10-11,2800.0,2887.0,2740.0,2879.0,FOWAD
2021-10-17,2900.0,2900.0,2800.0,2852.0,FOWAD
2021-10-18,2804.0,2834.9,2724.4,2730.0,FOWAD
2021-10-19,2700.0,2700.0,2600.0,2650.0,FOWAD
2021-10-20,2703.0,2757.0,2677.0,2715.0,FOWAD
2021-10-21,2755.0,2755.0,2650.1,2700.0,FOWAD
2021-10-24,2738.0,2738.0,2680.0,2716.0,FOWAD
2021-10-25,2725.0,2830.0,2725.0,2830.0,FOWAD
2021-10-26,2840.0,2866.0,2790.0,2841.0,FOWAD
2021-10-27,2879.0,2890.0,2800.1,2870.0,FOWAD
2021-10-28,2875.0,2920.0,2820.0,2910.0,FOWAD
2021-10-31,2950.0,3000.0,2915.1,2987.0,FOWAD
2021-11-01,3025.0,3040.0,2910.0,2950.0,FOWAD
2021-11-02,2900.0,2969.0,2900.0,2945.0,FOWAD
2021-11-03,2950.0,2998.0,2900.0,2933.0,FOWAD
2021-11-08,2987.0,2991.0,2913.0,2965.0,FOWAD
2021-11-09,2964.0,2990.0,2865.1,2879.0,FOWAD
2021-11-11,2826.0,2874.9,2800.0,2802.0,FOWAD
2021-11-14,2782.0,2880.0,2780.0,2819.0,FOWAD
2021-11-15,2830.0,2830.0,2718.0,2789.0,FOWAD
2021-11-16,2800.0,2800.0,2740.0,2778.0,FOWAD
2021-11-17,2832.9,2885.0,2786.0,2849.0,FOWAD
2021-11-18,2852.0,2932.0,2845.0,2932.0,FOWAD
2021-11-21,2960.0,3000.0,2940.0,2969.9,FOWAD
2021-11-22,2970.1,2999.0,2935.0,2935.0,FOWAD
2021-11-23,2979.0,2980.0,2870.0,2980.0,FOWAD
2021-11-24,2920.4,2963.0,2870.0,2945.0,FOWAD
2021-11-25,2980.0,2980.0,2890.0,2892.0,FOWAD
2021-11-28,2835.0,2933.0,2779.0,2800.0,FOWAD
2021-11-29,2746.0,2855.0,2746.0,2769.0,FOWAD
2021-11-30,2790.0,2790.0,2710.0,2749.0,FOWAD
2021-12-01,2802.0,2850.0,2746.0,2780.0,FOWAD
2021-12-02,2834.9,2835.0,2673.0,2729.0,FOWAD
2021-12-05,2778.8,2778.8,2621.0,2680.0,FOWAD
2021-12-06,2640.0,2723.0,2590.0,2723.0,FOWAD
2021-12-07,2748.0,2749.0,2641.0,2647.0,FOWAD
