date,open,high,low,close,symbol
2022-09-28,10.0,10.0,9.0,9.0,GIBF1
2022-09-29,8.82,8.82,8.65,8.7,GIBF1
2022-10-09,8.53,8.53,8.1,8.31,GIBF1
2022-10-10,8.31,8.6,8.31,8.6,GIBF1
2022-10-11,8.44,8.47,8.3,8.47,GIBF1
2022-10-12,8.31,8.31,8.15,8.15,GIBF1
2022-10-13,8.15,8.21,8.01,8.08,GIBF1
2022-10-16,7.93,8.1,7.92,8.1,GIBF1
2022-10-17,8.0,8.27,8.0,8.27,GIBF1
2022-10-19,8.11,8.11,7.81,8.0,GIBF1
2022-10-20,7.9,8.0,7.9,8.0,GIBF1
2022-10-23,7.85,7.95,7.7,7.95,GIBF1
2022-10-31,7.8,7.95,7.69,7.75,GIBF1
2022-11-01,7.9,8.2,7.9,8.2,GIBF1
2022-11-02,8.2,8.36,8.04,8.36,GIBF1
2022-11-03,8.2,8.2,7.85,8.0,GIBF1
2022-11-06,8.0,8.16,8.0,8.05,GIBF1
2022-11-07,8.0,8.2,7.84,8.2,GIBF1
2022-11-08,8.05,8.05,7.89,7.95,GIBF1
2022-11-09,7.8,7.8,7.7,7.8,GIBF1
2022-11-10,7.8,7.8,7.66,7.73,GIBF1
2022-11-13,7.58,7.78,7.58,7.78,GIBF1
2022-11-14,7.93,7.93,7.78,7.8,GIBF1
2022-11-15,7.8,8.0,7.8,8.0,GIBF1
2022-11-16,7.84,8.0,7.84,7.85,GIBF1
2022-11-17,7.85,7.85,7.8,7.8,GIBF1
2022-11-22,7.8,7.8,7.65,7.8,GIBF1
2022-11-23,7.95,7.95,7.8,7.8,GIBF1
2022-11-24,7.7,7.8,7.65,7.8,GIBF1
2022-11-27,7.9,8.0,7.9,8.0,GIBF1
2022-11-28,8.0,8.16,7.84,8.16,GIBF1
2022-11-29,8.0,8.0,7.84,7.86,GIBF1
2022-11-30,7.8,7.8,7.71,7.8,GIBF1
2022-12-01,7.71,8.0,7.71,8.0,GIBF1
2022-12-04,7.88,8.16,7.58,8.16,GIBF1
2022-12-05,8.16,8.55,8.16,8.34,GIBF1
2022-12-06,8.5,8.5,8.33,8.33,GIBF1
2022-12-07,8.25,8.4,8.24,8.4,GIBF1
2022-12-11,8.56,9.24,8.56,9.06,GIBF1
2022-12-12,8.88,8.88,8.15,8.16,GIBF1
2022-12-13,8.16,8.16,8.01,8.01,GIBF1
2022-12-14,7.85,8.0,7.85,8.0,GIBF1
2022-12-15,7.9,7.9,7.55,7.7,GIBF1
2022-12-18,7.7,8.42,7.65,8.42,GIBF1
2022-12-19,8.26,8.26,7.7,7.77,GIBF1
2022-12-20,7.77,7.8,7.62,7.8,GIBF1
2022-12-21,7.69,7.77,7.66,7.77,GIBF1
2022-12-22,7.66,7.89,7.66,7.89,GIBF1
2022-12-26,7.75,7.9,7.75,7.9,GIBF1
2022-12-27,7.75,7.82,7.75,7.82,GIBF1
2022-12-28,7.82,7.82,7.75,7.8,GIBF1
2022-12-29,7.8,7.98,7.77,7.98,GIBF1
2023-01-01,7.98,8.59,7.98,8.59,GIBF1
2023-01-02,8.42,8.42,8.1,8.42,GIBF1
2023-01-03,8.26,8.3,8.26,8.26,GIBF1
2023-01-04,8.25,8.4,7.9,8.4,GIBF1
2023-01-05,8.25,8.39,8.15,8.39,GIBF1
2023-01-08,8.23,8.41,8.1,8.41,GIBF1
2023-01-09,8.41,8.9,8.25,8.9,GIBF1
2023-01-10,8.73,8.73,8.58,8.58,GIBF1
2023-01-12,8.7,8.7,8.54,8.54,GIBF1
2023-01-17,8.37,8.39,8.25,8.28,GIBF1
2023-01-18,8.17,8.7,8.17,8.7,GIBF1
2023-01-19,8.87,8.87,8.7,8.71,GIBF1
2023-01-23,8.54,8.69,8.4,8.69,GIBF1
2023-01-24,8.52,8.62,8.31,8.31,GIBF1
2023-01-25,8.17,8.64,8.17,8.64,GIBF1
2023-01-26,8.48,8.6,8.4,8.4,GIBF1
2023-01-29,8.41,8.57,8.41,8.43,GIBF1
2023-01-30,8.27,8.43,8.27,8.3,GIBF1
2023-01-31,8.16,8.34,8.15,8.34,GIBF1
2023-02-01,8.3,8.46,8.02,8.2,GIBF1
2023-02-02,8.08,8.4,8.08,8.4,GIBF1
2023-02-05,8.24,8.4,8.09,8.4,GIBF1
2023-02-06,8.3,8.3,8.1,8.1,GIBF1
2023-02-07,8.11,8.25,8.11,8.25,GIBF1
2023-02-08,8.25,8.42,8.25,8.3,GIBF1
2023-02-09,8.19,8.35,8.19,8.35,GIBF1
2023-02-12,8.28,8.41,8.21,8.41,GIBF1
2023-02-14,8.25,8.41,8.11,8.41,GIBF1
2023-02-15,8.25,8.32,8.1,8.32,GIBF1
2023-02-16,8.17,8.17,8.16,8.16,GIBF1
2023-02-20,8.15,8.2,8.1,8.15,GIBF1
2023-02-22,7.99,8.15,7.99,8.11,GIBF1
2023-02-23,8.1,8.11,8.0,8.1,GIBF1
2023-02-26,8.1,8.1,7.69,7.78,GIBF1
2023-02-27,7.8,7.96,7.8,7.86,GIBF1
2023-02-28,7.71,8.21,7.71,8.21,GIBF1
2023-03-01,8.05,8.07,8.05,8.07,GIBF1
2023-03-02,7.96,7.96,7.92,7.92,GIBF1
2023-03-05,7.78,7.8,7.78,7.78,GIBF1
2023-03-07,7.64,7.81,7.64,7.81,GIBF1
2023-03-09,7.96,8.0,7.86,7.9,GIBF1
2023-03-12,7.84,7.86,7.84,7.85,GIBF1
2023-03-13,7.85,7.99,7.84,7.84,GIBF1
2023-03-14,7.72,7.88,7.72,7.76,GIBF1
2023-03-15,7.77,7.78,7.72,7.78,GIBF1
2023-03-16,7.66,7.83,7.66,7.8,GIBF1
2023-03-19,7.67,8.05,7.67,8.05,GIBF1
2023-03-20,7.9,8.0,7.9,7.91,GIBF1
2023-03-22,7.95,7.95,7.8,7.8,GIBF1
2023-03-23,7.65,7.91,7.61,7.72,GIBF1
2023-03-26,7.61,7.87,7.6,7.87,GIBF1
2023-03-27,7.8,7.95,7.8,7.83,GIBF1
2023-03-28,7.83,8.24,7.83,8.24,GIBF1
2023-03-29,8.24,8.38,8.23,8.38,GIBF1
2023-03-30,8.22,8.37,8.06,8.06,GIBF1
2023-04-02,7.91,7.91,7.91,7.91,GIBF1
2023-04-03,7.8,7.91,7.8,7.82,GIBF1
2023-04-04,7.8,7.95,7.8,7.8,GIBF1
2023-04-05,7.66,7.7,7.51,7.65,GIBF1
2023-04-06,7.7,8.0,7.7,7.84,GIBF1
2023-04-09,7.69,7.7,7.5,7.64,GIBF1
2023-04-10,7.5,7.61,7.5,7.61,GIBF1
2023-04-11,7.55,7.7,7.55,7.65,GIBF1
2023-04-12,7.51,8.02,7.51,8.02,GIBF1
2023-04-13,8.0,8.34,7.93,8.34,GIBF1
2023-04-16,8.33,8.5,8.23,8.23,GIBF1
2023-04-17,8.14,8.3,8.02,8.29,GIBF1
2023-04-18,8.13,8.47,8.13,8.31,GIBF1
2023-04-19,8.15,8.15,7.99,8.0,GIBF1
2023-04-20,8.0,8.03,7.88,8.03,GIBF1
2023-04-23,7.87,8.05,7.87,7.96,GIBF1
2023-04-24,8.1,8.16,7.86,8.04,GIBF1
2023-04-25,8.0,8.18,8.0,8.07,GIBF1
2023-04-26,8.07,8.17,8.01,8.02,GIBF1
2023-04-27,8.0,8.39,7.94,8.1,GIBF1
2023-04-30,8.0,8.16,7.97,7.99,GIBF1
2023-05-02,7.99,8.16,7.92,8.16,GIBF1
2023-05-03,8.14,8.16,7.84,7.84,GIBF1
2023-05-04,7.71,7.77,7.71,7.75,GIBF1
2023-05-07,7.6,7.8,7.6,7.8,GIBF1
2023-05-08,7.7,7.71,7.7,7.71,GIBF1
2023-05-09,7.8,7.8,7.8,7.8,GIBF1
2023-05-10,7.72,7.95,7.72,7.95,GIBF1
2023-05-11,7.8,8.16,7.8,8.1,GIBF1
2023-05-14,8.1,8.1,7.8,7.8,GIBF1
2023-05-15,7.82,7.82,7.82,7.82,GIBF1
2023-05-16,7.68,7.97,7.68,7.91,GIBF1
2023-05-17,8.0,8.48,7.91,8.33,GIBF1
2023-05-18,8.49,8.49,8.49,8.49,GIBF1
2023-05-21,8.39,8.39,8.05,8.05,GIBF1
2023-05-22,8.05,8.21,8.05,8.08,GIBF1
2023-05-23,7.92,8.08,7.92,8.07,GIBF1
2023-05-24,7.91,8.61,7.91,8.61,GIBF1
2023-05-28,8.44,8.44,8.28,8.28,GIBF1
2023-05-30,8.28,8.44,7.9,8.29,GIBF1
2023-05-31,8.13,8.2,8.04,8.06,GIBF1
2023-06-01,8.0,8.22,8.0,8.06,GIBF1
2023-06-04,8.0,8.85,8.0,8.85,GIBF1
2023-06-05,8.85,9.56,8.85,9.37,GIBF1
2023-06-06,9.55,9.7,9.51,9.51,GIBF1
2023-06-08,9.32,9.32,9.14,9.14,GIBF1
2023-06-11,8.96,8.96,8.79,8.79,GIBF1
2023-06-12,8.62,8.68,8.53,8.53,GIBF1
2023-06-13,8.4,8.4,8.24,8.35,GIBF1
2023-06-14,8.35,8.35,8.03,8.1,GIBF1
2023-06-15,8.1,8.1,7.95,8.04,GIBF1
2023-06-18,7.89,8.18,7.89,8.15,GIBF1
2023-06-19,8.15,8.42,8.1,8.26,GIBF1
2023-06-20,8.26,8.58,8.26,8.58,GIBF1
2023-06-21,8.41,8.41,8.09,8.16,GIBF1
2023-06-22,8.16,8.67,8.16,8.67,GIBF1
2023-06-25,8.5,8.5,8.35,8.4,GIBF1
2023-06-26,8.32,8.4,8.32,8.4,GIBF1
2023-06-27,8.25,8.73,8.1,8.73,GIBF1
2023-06-28,8.56,8.89,8.56,8.6,GIBF1
2023-07-02,8.43,8.87,8.43,8.45,GIBF1
2023-07-03,8.29,8.62,8.29,8.45,GIBF1
2023-07-04,8.4,8.6,8.4,8.56,GIBF1
2023-07-05,8.4,8.9,8.24,8.56,GIBF1
2023-07-06,8.39,8.72,8.39,8.7,GIBF1
2023-07-09,8.53,8.75,8.53,8.7,GIBF1
2023-07-10,8.7,8.7,8.6,8.6,GIBF1
2023-07-11,8.6,8.77,8.5,8.77,GIBF1
2023-07-12,8.6,8.65,8.6,8.65,GIBF1
2023-07-13,8.5,9.16,8.5,9.16,GIBF1
2023-07-16,8.98,9.34,8.65,9.34,GIBF1
2023-07-17,9.16,9.16,8.9,9.07,GIBF1
2023-07-18,9.0,9.18,8.65,8.65,GIBF1
2023-07-19,8.66,8.83,8.65,8.83,GIBF1
2023-07-20,8.66,8.75,8.5,8.5,GIBF1
2023-07-23,8.5,8.87,8.5,8.87,GIBF1
2023-07-24,8.71,9.15,8.56,9.15,GIBF1
2023-07-25,8.97,8.99,8.81,8.99,GIBF1
2023-07-26,8.88,8.88,8.6,8.73,GIBF1
2023-07-27,8.56,8.69,8.51,8.53,GIBF1
2023-07-30,8.36,8.36,8.2,8.35,GIBF1
2023-07-31,8.35,8.62,8.35,8.6,GIBF1
2023-08-01,8.46,8.62,8.45,8.45,GIBF1
2023-08-02,8.35,8.61,8.35,8.5,GIBF1
2023-08-03,8.45,9.35,8.45,9.17,GIBF1
2023-08-06,8.99,8.99,8.65,8.89,GIBF1
2023-08-07,8.72,8.72,8.72,8.72,GIBF1
2023-08-08,8.55,8.6,8.5,8.5,GIBF1
2023-08-09,8.5,8.83,8.4,8.83,GIBF1
2023-08-10,8.66,9.0,8.51,8.99,GIBF1
2023-08-13,9.16,9.16,8.32,8.48,GIBF1
2023-08-14,8.32,8.77,8.24,8.77,GIBF1
2023-08-15,8.6,8.7,8.25,8.54,GIBF1
2023-08-16,8.39,8.45,8.39,8.45,GIBF1
2023-08-17,8.32,8.61,8.32,8.39,GIBF1
2023-08-20,8.24,8.24,8.0,8.1,GIBF1
2023-08-21,8.0,8.86,7.95,8.02,GIBF1
2023-08-22,8.18,8.3,8.02,8.3,GIBF1
2023-08-23,8.14,9.13,8.0,9.1,GIBF1
2023-08-24,8.92,8.92,8.39,8.39,GIBF1
2023-08-27,8.39,8.39,8.23,8.39,GIBF1
2023-08-28,8.25,8.25,8.11,8.11,GIBF1
2023-08-29,7.96,8.92,7.96,8.92,GIBF1
2023-08-30,8.75,8.75,8.59,8.59,GIBF1
2023-09-03,8.42,8.59,7.77,8.59,GIBF1
2023-09-04,8.42,8.42,8.1,8.1,GIBF1
2023-09-05,7.95,8.05,7.66,7.82,GIBF1
2023-09-07,7.8,8.0,7.65,7.65,GIBF1
2023-09-10,7.53,7.77,7.53,7.77,GIBF1
2023-09-11,7.75,8.21,7.75,8.21,GIBF1
2023-09-12,8.05,8.36,8.03,8.2,GIBF1
2023-09-13,8.36,8.36,8.0,8.06,GIBF1
2023-09-17,7.9,8.05,7.9,8.05,GIBF1
2023-09-18,7.89,8.1,7.89,8.09,GIBF1
2023-09-19,7.93,8.0,7.93,8.0,GIBF1
2023-09-21,8.0,8.1,8.0,8.1,GIBF1
2023-09-24,8.0,8.26,8.0,8.1,GIBF1
2023-09-25,8.0,8.3,7.99,8.29,GIBF1
2023-09-26,8.13,9.11,7.97,8.95,GIBF1
2023-09-27,8.78,8.78,8.44,8.5,GIBF1
2023-10-01,8.35,8.51,8.1,8.51,GIBF1
2023-10-02,8.34,8.56,8.3,8.56,GIBF1
2023-10-03,8.73,8.73,8.43,8.56,GIBF1
2023-10-04,8.4,8.6,8.4,8.5,GIBF1
2023-10-05,8.4,8.67,8.33,8.4,GIBF1
2023-10-08,8.25,8.56,8.24,8.3,GIBF1
2023-10-09,8.2,8.25,8.2,8.2,GIBF1
2023-10-10,8.06,8.28,8.06,8.28,GIBF1
2023-10-11,8.13,8.35,8.13,8.35,GIBF1
2023-10-12,8.3,8.46,8.3,8.46,GIBF1
2023-10-16,8.3,8.3,8.14,8.14,GIBF1
2023-10-17,8.1,8.15,8.1,8.15,GIBF1
2023-10-18,7.99,8.34,7.99,8.34,GIBF1
2023-10-19,8.34,8.34,8.34,8.34,GIBF1
2023-10-29,8.27,8.5,8.17,8.17,GIBF1
2023-10-30,8.01,8.17,7.85,7.85,GIBF1
2023-10-31,7.7,7.8,7.4,7.8,GIBF1
2023-11-01,7.69,7.75,7.69,7.75,GIBF1
2023-11-02,7.6,7.85,7.6,7.85,GIBF1
2023-11-05,7.7,7.8,7.56,7.7,GIBF1
2023-11-06,7.7,7.85,7.7,7.85,GIBF1
2023-11-07,7.7,7.85,7.55,7.8,GIBF1
2023-11-08,7.65,7.82,7.65,7.82,GIBF1
2023-11-09,7.67,7.71,7.67,7.71,GIBF1
2023-11-20,7.71,7.9,7.71,7.76,GIBF1
2023-11-21,7.61,7.61,7.4,7.4,GIBF1
2023-11-22,7.5,7.65,7.5,7.65,GIBF1
2023-11-23,7.6,7.8,7.55,7.8,GIBF1
2023-11-26,7.8,7.9,7.8,7.9,GIBF1
2023-11-27,7.82,7.83,7.8,7.81,GIBF1
2023-11-28,7.67,7.84,7.67,7.84,GIBF1
2023-11-29,7.69,7.7,7.55,7.55,GIBF1
2023-11-30,7.55,7.7,7.55,7.59,GIBF1
2023-12-03,7.44,7.54,7.39,7.39,GIBF1
2023-12-04,7.3,7.3,7.2,7.25,GIBF1
2023-12-05,7.2,7.3,7.2,7.3,GIBF1
2023-12-06,7.25,7.44,7.25,7.44,GIBF1
2023-12-07,7.3,7.31,7.3,7.31,GIBF1
2023-12-11,7.25,7.6,7.25,7.6,GIBF1
2023-12-12,7.45,8.36,7.35,8.04,GIBF1
2023-12-13,8.0,8.2,8.0,8.0,GIBF1
2023-12-14,7.95,7.95,7.7,7.7,GIBF1
2023-12-17,7.55,7.55,7.4,7.41,GIBF1
2023-12-18,7.27,7.57,7.27,7.56,GIBF1
2023-12-19,7.55,8.31,7.55,8.31,GIBF1
2023-12-20,8.15,8.4,7.99,8.4,GIBF1
2023-12-21,8.24,8.35,8.0,8.35,GIBF1
2023-12-24,8.19,8.51,8.19,8.35,GIBF1
2023-12-27,8.2,8.8,8.05,8.4,GIBF1
2023-12-28,8.24,8.52,8.12,8.52,GIBF1
2024-01-01,8.35,8.5,8.25,8.25,GIBF1
2024-01-02,8.09,8.15,8.09,8.15,GIBF1
2024-01-03,8.0,8.1,8.0,8.02,GIBF1
2024-01-04,7.96,8.4,7.96,8.24,GIBF1
2024-01-07,8.2,8.3,8.12,8.15,GIBF1
2024-01-08,8.0,8.13,7.99,8.13,GIBF1
2024-01-09,8.01,8.24,7.99,8.03,GIBF1
2024-01-10,8.0,8.26,8.0,8.26,GIBF1
2024-01-11,8.19,8.19,8.05,8.06,GIBF1
2024-01-14,8.06,8.38,8.06,8.22,GIBF1
2024-01-16,8.22,8.45,8.22,8.45,GIBF1
2024-01-17,8.3,8.67,8.3,8.39,GIBF1
2024-01-18,8.23,8.23,8.0,8.1,GIBF1
2024-01-21,7.97,8.39,7.97,8.39,GIBF1
2024-01-22,8.23,8.49,8.14,8.49,GIBF1
2024-01-23,8.33,8.33,8.21,8.21,GIBF1
2024-01-24,8.11,8.65,8.11,8.2,GIBF1
2024-01-25,8.3,8.45,8.08,8.22,GIBF1
2024-01-28,8.06,8.45,8.06,8.22,GIBF1
2024-01-29,8.14,8.45,8.14,8.45,GIBF1
2024-01-30,8.31,8.54,8.31,8.4,GIBF1
2024-01-31,8.24,8.58,8.15,8.58,GIBF1
2024-02-01,8.41,8.49,8.26,8.4,GIBF1
2024-02-04,8.4,8.67,8.16,8.67,GIBF1
2024-02-05,8.5,8.66,8.4,8.55,GIBF1
2024-02-06,8.41,8.55,8.38,8.55,GIBF1
2024-02-07,8.59,8.59,8.33,8.42,GIBF1
