date,open,high,low,close,symbol
2021-08-10,1945.0,2022.0,1945.0,1988.0,GLBSL
2021-08-11,1990.0,1990.0,1948.4,1948.9,GLBSL
2021-08-12,1948.0,1950.0,1915.0,1930.0,GLBSL
2021-08-15,1930.0,1980.0,1900.0,1968.0,GLBSL
2021-08-16,1940.0,1989.0,1940.0,1940.1,GLBSL
2021-08-17,1902.0,1928.0,1902.0,1925.0,GLBSL
2021-08-18,1890.0,1920.0,1879.9,1910.0,GLBSL
2021-08-19,1890.0,1900.0,1882.0,1882.0,GLBSL
2021-08-24,1895.0,1895.0,1839.0,1850.0,GLBSL
2021-08-25,1813.0,1840.0,1805.0,1813.0,GLBSL
2021-08-26,1820.0,1835.0,1780.0,1815.0,GLBSL
2021-08-29,1830.0,1830.0,1760.0,1780.0,GLBSL
2021-08-31,1750.0,1850.4,1745.0,1760.0,GLBSL
2021-09-01,1750.0,1763.0,1680.0,1700.0,GLBSL
2021-09-02,1704.0,1734.0,1666.2,1697.0,GLBSL
2021-09-05,1664.0,1730.0,1631.0,1730.0,GLBSL
2021-09-06,1735.0,1764.6,1650.0,1760.0,GLBSL
2021-09-07,1726.0,1726.0,1692.0,1697.0,GLBSL
2021-09-08,1685.0,1716.0,1652.0,1666.1,GLBSL
2021-09-09,1699.0,1700.0,1666.1,1666.2,GLBSL
2021-09-12,1670.0,1700.0,1670.0,1680.0,GLBSL
2021-09-13,1670.0,1702.0,1670.0,1676.0,GLBSL
2021-09-14,1709.5,1743.0,1676.0,1676.0,GLBSL
2021-09-15,1709.0,1742.0,1660.0,1670.0,GLBSL
2021-09-16,1640.0,1640.0,1570.0,1582.0,GLBSL
2021-09-20,1560.2,1580.0,1465.0,1465.0,GLBSL
2021-09-21,1436.0,1538.0,1407.3,1500.0,GLBSL
2021-09-22,1530.0,1620.0,1530.0,1590.0,GLBSL
2021-09-23,1610.0,1610.0,1580.0,1590.0,GLBSL
2021-09-26,1591.0,1591.0,1530.0,1530.0,GLBSL
2021-09-27,1560.6,1623.3,1478.0,1515.0,GLBSL
2021-09-28,1545.0,1545.0,1465.2,1467.0,GLBSL
2021-09-29,1475.0,1545.0,1475.0,1510.0,GLBSL
2021-09-30,1540.0,1589.5,1510.0,1510.0,GLBSL
2021-10-03,1520.0,1520.0,1475.0,1475.0,GLBSL
2021-10-04,1450.1,1515.0,1421.1,1515.0,GLBSL
2021-10-05,1545.0,1550.4,1456.0,1530.0,GLBSL
2021-10-06,1560.6,1683.0,1560.6,1620.0,GLBSL
2021-10-10,1652.4,1709.0,1590.0,1590.0,GLBSL
2021-10-11,1561.0,1561.0,1533.0,1550.0,GLBSL
2021-10-17,1581.0,1581.0,1549.4,1549.4,GLBSL
2021-10-18,1570.0,1570.0,1536.0,1544.8,GLBSL
2021-10-19,1540.0,1540.0,1463.1,1498.0,GLBSL
2021-10-20,1527.0,1619.0,1527.0,1590.0,GLBSL
2021-10-21,1570.0,1590.0,1530.5,1530.5,GLBSL
2021-10-24,1561.0,1622.0,1549.0,1576.0,GLBSL
2021-10-25,1348.1,1400.0,1348.0,1397.0,GLBSL
2021-10-26,1424.8,1482.0,1370.0,1405.0,GLBSL
2021-10-27,1376.9,1479.0,1372.0,1440.6,GLBSL
2021-10-28,1469.4,1500.0,1455.0,1475.0,GLBSL
2021-10-31,1475.0,1589.0,1475.0,1545.0,GLBSL
2021-11-01,1514.1,1515.7,1486.0,1493.0,GLBSL
2021-11-02,1466.0,1497.9,1466.0,1497.9,GLBSL
2021-11-03,1468.0,1490.0,1451.0,1490.0,GLBSL
2021-11-08,1492.0,1509.9,1471.2,1471.2,GLBSL
2021-11-09,1470.0,1470.0,1435.0,1435.0,GLBSL
2021-11-11,1406.3,1425.0,1382.0,1395.0,GLBSL
2021-11-14,1369.0,1397.4,1369.0,1396.0,GLBSL
2021-11-15,1369.0,1392.0,1369.0,1391.0,GLBSL
2021-11-16,1366.1,1417.8,1366.1,1390.0,GLBSL
2021-11-17,1390.0,1440.0,1390.0,1421.0,GLBSL
2021-11-18,1421.0,1421.0,1386.0,1386.0,GLBSL
2021-11-21,1366.0,1385.0,1366.0,1385.0,GLBSL
2021-11-22,1386.0,1405.0,1359.0,1361.0,GLBSL
2021-11-23,1334.0,1407.0,1334.0,1365.1,GLBSL
2021-11-24,1350.0,1415.0,1350.0,1361.0,GLBSL
2021-11-25,1336.0,1380.0,1336.0,1365.0,GLBSL
2021-11-28,1340.0,1340.0,1285.9,1312.0,GLBSL
2021-11-29,1285.8,1336.0,1285.0,1315.0,GLBSL
2021-11-30,1295.0,1300.0,1290.2,1290.2,GLBSL
2021-12-01,1290.0,1326.0,1290.0,1299.5,GLBSL
2021-12-02,1280.0,1280.0,1254.4,1254.4,GLBSL
2021-12-05,1279.4,1279.4,1206.0,1206.0,GLBSL
2021-12-06,1182.0,1250.0,1161.0,1230.0,GLBSL
2021-12-07,1244.0,1245.0,1233.0,1233.0,GLBSL
2021-12-08,1212.6,1212.6,1155.0,1155.0,GLBSL
2021-12-09,1150.0,1173.0,1141.0,1173.0,GLBSL
2021-12-12,1151.0,1155.0,1130.0,1130.0,GLBSL
2021-12-13,1109.0,1109.0,1017.0,1040.0,GLBSL
2021-12-14,1060.0,1081.0,1039.0,1070.0,GLBSL
2021-12-15,1091.4,1154.0,1074.0,1098.0,GLBSL
2021-12-16,1100.0,1100.0,1077.0,1077.0,GLBSL
2021-12-20,1055.5,1098.0,1054.6,1098.0,GLBSL
2021-12-21,1076.2,1119.0,1076.1,1117.0,GLBSL
2021-12-22,1096.0,1186.0,1096.0,1180.0,GLBSL
2021-12-23,1180.0,1227.0,1180.0,1181.0,GLBSL
2021-12-26,1200.0,1248.4,1200.0,1240.0,GLBSL
2021-12-27,1216.0,1244.4,1181.0,1181.0,GLBSL
2021-12-28,1158.0,1168.9,1141.1,1168.9,GLBSL
2021-12-29,1172.0,1200.0,1172.0,1200.0,GLBSL
2022-01-02,1224.0,1310.0,1215.2,1215.2,GLBSL
2022-01-03,1222.0,1336.7,1222.0,1330.0,GLBSL
2022-01-04,1305.0,1400.0,1305.0,1362.2,GLBSL
2022-01-05,1362.0,1362.0,1320.0,1325.0,GLBSL
2022-01-06,1299.0,1345.0,1299.0,1345.0,GLBSL
2022-01-09,1360.0,1415.0,1352.5,1415.0,GLBSL
2022-01-10,1395.0,1400.0,1370.1,1400.0,GLBSL
2022-01-11,1409.0,1470.0,1409.0,1421.0,GLBSL
2022-01-12,1435.0,1460.0,1380.0,1401.3,GLBSL
2022-01-13,1410.0,1450.0,1375.0,1418.0,GLBSL
2022-01-16,1446.0,1509.6,1446.0,1470.0,GLBSL
2022-01-17,1480.0,1499.0,1456.0,1470.0,GLBSL
2022-01-18,1441.0,1499.0,1412.2,1498.0,GLBSL
2022-01-19,1469.0,1469.0,1401.4,1464.0,GLBSL
2022-01-20,1435.0,1491.0,1435.0,1491.0,GLBSL
2022-01-23,1461.2,1464.0,1432.0,1455.0,GLBSL
