date,open,high,low,close,symbol
2021-09-01,474.0,490.0,465.0,473.0,GRDBL
2021-09-02,482.0,491.0,463.0,463.0,GRDBL
2021-09-05,453.9,460.0,416.7,436.0,GRDBL
2021-09-06,428.0,479.6,416.5,479.6,GRDBL
2021-09-07,489.0,489.0,457.0,460.0,GRDBL
2021-09-08,455.0,460.0,440.0,448.0,GRDBL
2021-09-09,450.1,451.9,433.0,439.0,GRDBL
2021-09-12,440.0,482.0,440.0,463.0,GRDBL
2021-09-13,463.0,472.0,452.0,458.0,GRDBL
2021-09-14,449.0,460.0,445.0,459.0,GRDBL
2021-09-15,460.0,460.0,449.0,452.0,GRDBL
2021-09-16,445.0,448.8,415.0,431.0,GRDBL
2021-09-20,422.4,445.0,392.0,400.0,GRDBL
2021-09-21,408.0,424.3,368.0,397.0,GRDBL
2021-09-22,404.0,436.7,404.0,429.0,GRDBL
2021-09-23,437.5,455.1,415.0,429.0,GRDBL
2021-09-26,423.0,423.0,401.0,409.0,GRDBL
2021-09-27,417.1,417.1,384.2,386.0,GRDBL
2021-09-28,386.0,401.5,347.4,354.0,GRDBL
2021-09-29,361.0,389.4,331.0,389.4,GRDBL
2021-09-30,395.0,418.0,374.0,375.0,GRDBL
2021-10-03,368.0,388.0,346.3,356.0,GRDBL
2021-10-04,363.1,377.0,348.0,369.0,GRDBL
2021-10-05,361.7,384.0,361.7,366.0,GRDBL
2021-10-06,373.3,402.6,371.0,402.6,GRDBL
2021-10-10,402.6,412.0,381.0,394.0,GRDBL
2021-10-11,401.8,401.8,376.0,380.0,GRDBL
2021-10-17,387.6,399.0,362.8,376.0,GRDBL
2021-10-18,376.0,391.1,346.0,361.0,GRDBL
2021-10-19,354.0,369.3,336.4,360.0,GRDBL
2021-10-20,352.8,380.0,352.8,380.0,GRDBL
2021-10-21,387.6,395.3,358.0,362.0,GRDBL
2021-10-24,354.8,375.0,354.8,369.0,GRDBL
2021-10-25,376.0,397.0,368.5,385.0,GRDBL
2021-10-26,377.3,402.0,377.3,393.0,GRDBL
2021-10-27,400.0,400.0,377.6,390.0,GRDBL
2021-10-28,389.0,397.0,383.0,396.0,GRDBL
2021-10-31,396.0,418.0,392.1,415.0,GRDBL
2021-11-01,423.3,431.4,405.0,409.0,GRDBL
2021-11-02,404.0,428.4,402.0,415.0,GRDBL
2021-11-03,416.0,449.0,416.0,435.1,GRDBL
2021-11-08,441.0,452.6,440.0,440.0,GRDBL
2021-11-09,431.2,434.0,402.0,415.0,GRDBL
2021-11-11,406.7,410.0,393.0,400.0,GRDBL
2021-11-14,398.9,422.0,393.0,395.0,GRDBL
2021-11-15,387.1,422.9,387.1,412.0,GRDBL
2021-11-16,415.0,440.0,404.0,434.0,GRDBL
2021-11-17,439.9,442.0,420.0,428.4,GRDBL
2021-11-18,419.9,421.0,410.0,415.0,GRDBL
2021-11-21,410.0,415.0,403.0,405.0,GRDBL
2021-11-22,398.0,413.0,398.0,408.9,GRDBL
2021-11-23,400.8,407.0,393.0,400.0,GRDBL
2021-11-24,392.0,405.0,388.0,397.0,GRDBL
2021-11-25,400.0,402.0,392.2,400.0,GRDBL
2021-11-28,393.0,399.0,383.0,385.0,GRDBL
2021-11-29,382.2,394.0,375.0,378.0,GRDBL
2021-11-30,381.0,388.6,376.0,382.0,GRDBL
2021-12-01,382.0,390.0,370.0,379.0,GRDBL
2021-12-02,386.0,393.7,365.1,368.0,GRDBL
2021-12-05,361.0,362.1,345.0,345.0,GRDBL
2021-12-06,339.0,367.0,320.2,367.0,GRDBL
2021-12-07,362.0,383.5,348.0,368.0,GRDBL
2021-12-08,361.0,361.0,338.0,340.0,GRDBL
2021-12-09,333.5,352.0,333.2,335.1,GRDBL
2021-12-12,332.0,332.0,318.5,318.5,GRDBL
2021-12-13,318.0,318.0,288.0,290.0,GRDBL
2021-12-14,295.0,319.0,295.0,319.0,GRDBL
2021-12-15,325.0,350.9,318.6,324.0,GRDBL
2021-12-16,318.0,325.4,316.0,318.0,GRDBL
2021-12-20,312.0,318.0,308.0,310.0,GRDBL
2021-12-21,310.0,341.0,310.0,341.0,GRDBL
2021-12-22,347.8,372.0,340.0,363.0,GRDBL
2021-12-23,364.0,366.0,350.0,350.0,GRDBL
2021-12-26,350.0,357.1,340.0,348.0,GRDBL
2021-12-27,350.0,350.0,324.0,328.0,GRDBL
2021-12-28,327.0,328.0,320.5,325.0,GRDBL
2021-12-29,326.0,332.5,319.1,319.1,GRDBL
2022-01-02,325.4,344.3,322.0,322.5,GRDBL
2022-01-03,328.9,340.0,322.0,324.5,GRDBL
2022-01-04,330.0,350.0,325.5,350.0,GRDBL
2022-01-05,357.0,363.0,343.0,349.0,GRDBL
2022-01-06,349.0,355.0,349.0,352.0,GRDBL
2022-01-09,350.0,382.0,350.0,381.0,GRDBL
2022-01-10,388.0,388.0,373.4,380.0,GRDBL
2022-01-11,380.0,400.0,377.0,385.0,GRDBL
2022-01-12,392.0,415.0,377.0,378.0,GRDBL
2022-01-13,384.9,392.7,382.0,390.0,GRDBL
2022-01-16,397.8,421.0,397.8,413.0,GRDBL
2022-01-17,413.0,425.0,405.0,411.0,GRDBL
2022-01-18,403.0,411.0,393.0,399.9,GRDBL
2022-01-19,407.8,407.8,389.0,392.0,GRDBL
2022-01-20,392.0,410.0,390.0,406.0,GRDBL
2022-01-23,407.0,419.9,398.0,402.0,GRDBL
2022-01-24,395.0,399.0,377.6,380.0,GRDBL
2022-01-25,373.0,390.0,373.0,380.0,GRDBL
2022-01-26,372.4,385.0,362.0,368.0,GRDBL
2022-01-27,372.0,375.0,363.1,367.0,GRDBL
2022-01-30,374.3,393.7,374.3,390.0,GRDBL
2022-01-31,390.0,390.0,379.0,381.0,GRDBL
2022-02-01,374.1,395.0,367.0,389.0,GRDBL
2022-02-03,396.0,396.0,379.1,388.0,GRDBL
2022-02-06,394.9,394.9,372.4,376.0,GRDBL
2022-02-07,370.0,383.0,370.0,375.0,GRDBL
2022-02-08,382.0,390.0,370.6,375.0,GRDBL
2022-02-09,370.2,373.0,365.0,370.0,GRDBL
2022-02-10,376.9,376.9,364.1,367.0,GRDBL
2022-02-13,360.0,360.0,347.0,350.0,GRDBL
2022-02-14,356.0,356.0,347.0,353.0,GRDBL
2022-02-15,359.9,360.0,350.0,360.0,GRDBL
2022-02-16,367.0,367.0,352.0,354.9,GRDBL
2022-02-17,347.9,360.0,347.9,353.0,GRDBL
2022-02-20,350.0,353.0,336.2,343.0,GRDBL
2022-02-21,345.0,349.9,344.0,345.0,GRDBL
2022-02-22,350.2,358.0,346.5,352.0,GRDBL
2022-02-23,352.0,355.0,345.0,350.0,GRDBL
2022-02-24,343.0,346.5,337.0,340.0,GRDBL
2022-02-27,337.0,344.0,335.0,338.0,GRDBL
2022-02-28,344.0,346.8,333.0,339.0,GRDBL
2022-03-02,335.0,340.0,320.6,323.0,GRDBL
2022-03-06,323.0,334.4,322.0,325.9,GRDBL
2022-03-07,325.0,332.0,324.0,324.0,GRDBL
2022-03-09,318.0,324.0,312.0,318.0,GRDBL
2022-03-10,312.0,336.0,312.0,336.0,GRDBL
2022-03-13,340.0,357.0,340.0,357.0,GRDBL
2022-03-14,357.0,357.0,343.0,346.5,GRDBL
2022-03-15,353.0,359.9,345.1,350.0,GRDBL
2022-03-16,356.0,356.0,338.0,344.7,GRDBL
2022-03-20,345.0,350.0,338.1,340.0,GRDBL
2022-03-21,340.0,357.0,339.0,348.0,GRDBL
2022-03-22,354.0,363.9,353.9,357.0,GRDBL
2022-03-23,351.0,356.5,347.0,348.0,GRDBL
2022-03-24,343.2,347.0,340.2,340.2,GRDBL
2022-03-27,333.7,335.0,328.0,329.0,GRDBL
2022-03-28,322.5,334.0,316.1,321.0,GRDBL
2022-03-29,326.9,332.9,317.6,322.0,GRDBL
2022-03-30,322.0,333.0,320.0,326.4,GRDBL
2022-03-31,326.5,333.0,319.0,320.0,GRDBL
2022-04-03,316.0,322.0,315.0,320.0,GRDBL
2022-04-04,315.1,323.8,315.0,320.0,GRDBL
2022-04-05,320.0,320.0,305.0,314.0,GRDBL
2022-04-06,308.0,320.0,308.0,308.0,GRDBL
2022-04-07,314.1,320.0,308.0,310.0,GRDBL
2022-04-11,316.0,316.0,297.0,300.0,GRDBL
2022-04-12,299.0,300.0,291.0,291.0,GRDBL
2022-04-13,296.0,301.0,285.0,299.0,GRDBL
2022-04-17,300.0,301.0,293.0,294.0,GRDBL
2022-04-18,294.0,295.0,279.1,284.0,GRDBL
2022-04-19,280.0,289.0,276.0,279.3,GRDBL
2022-04-20,280.0,284.8,265.0,270.0,GRDBL
2022-04-21,266.0,275.0,255.3,267.0,GRDBL
2022-04-24,272.0,293.7,267.0,290.0,GRDBL
2022-04-25,295.8,307.0,287.0,289.0,GRDBL
2022-04-26,289.0,299.0,283.3,292.0,GRDBL
2022-04-27,288.0,299.0,285.0,296.0,GRDBL
2022-04-28,290.2,301.9,285.0,288.0,GRDBL
2022-05-02,285.0,285.0,270.0,270.0,GRDBL
2022-05-04,265.0,270.3,260.0,260.0,GRDBL
