date,open,high,low,close,symbol
2021-09-01,1242.7,1310.0,1240.0,1240.0,GUFL
2021-09-02,1254.0,1279.8,1180.0,1186.0,GUFL
2021-09-05,1165.0,1186.0,1067.4,1100.0,GUFL
2021-09-06,1100.0,1210.0,1060.0,1210.0,GUFL
2021-09-07,1185.8,1251.5,1159.0,1185.0,GUFL
2021-09-08,1165.0,1173.0,1121.7,1136.0,GUFL
2021-09-09,1130.0,1180.0,1104.5,1104.5,GUFL
2021-09-12,1100.0,1146.0,1100.0,1136.0,GUFL
2021-09-13,1158.0,1187.0,1120.0,1130.0,GUFL
2021-09-14,1152.6,1170.0,1100.0,1110.0,GUFL
2021-09-15,1106.0,1122.0,1050.0,1050.0,GUFL
2021-09-16,1050.1,1051.0,980.0,1015.0,GUFL
2021-09-20,999.0,1035.3,941.0,970.2,GUFL
2021-09-21,960.0,1000.0,875.0,945.0,GUFL
2021-09-22,950.0,1019.0,950.0,1018.0,GUFL
2021-09-23,1038.3,1080.0,995.0,1018.7,GUFL
2021-09-26,999.0,1035.0,965.0,967.0,GUFL
2021-09-27,986.0,1025.8,893.0,1025.8,GUFL
2021-09-28,1005.3,1010.0,923.3,923.3,GUFL
2021-09-29,920.0,933.9,879.1,907.5,GUFL
2021-09-30,925.0,925.6,880.0,880.0,GUFL
2021-10-03,864.4,897.0,799.7,824.9,GUFL
2021-10-04,841.3,841.3,765.1,804.0,GUFL
2021-10-05,820.0,836.0,802.0,815.0,GUFL
2021-10-06,831.0,879.0,814.0,876.0,GUFL
2021-10-10,893.0,910.0,860.0,880.0,GUFL
2021-10-11,880.0,880.0,838.1,849.9,GUFL
2021-10-17,866.0,875.0,841.0,860.0,GUFL
2021-10-18,850.0,877.0,810.0,830.0,GUFL
2021-10-19,827.0,827.0,748.1,773.0,GUFL
2021-10-20,783.1,831.0,770.0,831.0,GUFL
2021-10-21,847.0,847.0,790.0,824.0,GUFL
2021-10-24,824.0,849.0,798.7,849.0,GUFL
2021-10-25,833.0,933.9,833.0,933.9,GUFL
2021-10-26,952.5,1008.0,916.0,1000.0,GUFL
2021-10-27,1020.0,1020.0,950.0,989.0,GUFL
2021-10-28,977.0,1007.1,967.0,984.9,GUFL
2021-10-31,994.0,1020.0,969.0,1015.0,GUFL
2021-11-01,1035.0,1035.0,970.0,972.0,GUFL
2021-11-02,952.6,990.0,929.0,960.0,GUFL
2021-11-03,945.0,958.0,930.0,937.0,GUFL
2021-11-08,948.0,955.0,901.0,925.0,GUFL
2021-11-09,911.0,943.5,870.0,877.1,GUFL
2021-11-11,865.0,872.1,819.3,830.0,GUFL
2021-11-14,820.0,850.0,820.0,834.0,GUFL
2021-11-15,850.6,867.0,840.0,840.0,GUFL
2021-11-16,840.0,885.0,840.0,870.1,GUFL
2021-11-17,887.5,957.1,882.0,928.0,GUFL
2021-11-18,930.0,945.0,890.0,895.0,GUFL
2021-11-21,895.0,895.0,871.0,880.0,GUFL
2021-11-22,880.0,912.0,860.5,880.0,GUFL
2021-11-23,880.0,897.0,835.0,864.0,GUFL
2021-11-24,850.0,869.0,828.1,842.0,GUFL
2021-11-25,858.8,869.0,835.0,835.0,GUFL
2021-11-28,820.0,850.0,802.1,815.0,GUFL
2021-11-29,831.3,831.3,795.0,795.0,GUFL
2021-11-30,810.0,826.0,779.0,794.0,GUFL
2021-12-01,805.0,809.7,796.1,809.7,GUFL
2021-12-02,801.0,801.0,765.0,783.0,GUFL
2021-12-05,768.0,780.0,741.0,743.1,GUFL
2021-12-06,730.0,764.9,717.0,764.9,GUFL
2021-12-07,779.9,780.1,740.0,754.0,GUFL
2021-12-08,739.0,766.0,730.0,730.0,GUFL
2021-12-09,716.0,744.6,716.0,725.1,GUFL
2021-12-12,739.0,739.0,705.0,705.1,GUFL
2021-12-13,705.0,771.9,651.8,771.9,GUFL
2021-12-14,756.5,849.0,716.0,849.0,GUFL
2021-12-15,855.0,892.5,820.0,888.0,GUFL
2021-12-16,870.3,923.0,835.9,923.0,GUFL
2021-12-20,904.6,1015.3,830.7,1015.3,GUFL
2021-12-21,995.0,995.0,913.8,925.0,GUFL
2021-12-22,925.0,925.0,832.5,905.0,GUFL
2021-12-23,886.9,886.9,814.5,844.0,GUFL
2021-12-26,844.0,844.0,764.0,797.0,GUFL
2021-12-27,797.0,876.7,755.7,876.7,GUFL
2021-12-28,859.2,859.2,789.1,789.1,GUFL
2021-12-29,775.0,822.0,760.0,822.0,GUFL
2022-01-02,806.0,806.0,774.2,779.9,GUFL
2022-01-03,765.9,781.0,765.9,770.0,GUFL
2022-01-04,775.0,785.0,755.0,769.9,GUFL
2022-01-05,772.0,780.0,755.0,769.9,GUFL
2022-01-06,760.0,784.0,760.0,765.0,GUFL
2022-01-09,755.0,786.0,755.0,774.0,GUFL
2022-01-10,784.9,831.0,777.0,829.0,GUFL
2022-01-11,845.5,903.0,836.0,894.0,GUFL
2022-01-12,911.0,913.0,860.0,864.0,GUFL
2022-01-13,864.0,891.0,848.0,878.0,GUFL
2022-01-16,895.4,913.3,878.0,880.0,GUFL
2022-01-17,881.0,897.0,870.1,875.0,GUFL
2022-01-18,876.0,889.0,842.8,845.0,GUFL
2022-01-19,850.0,857.0,817.1,834.9,GUFL
2022-01-20,822.0,874.9,819.0,870.0,GUFL
2022-01-23,852.6,852.6,787.0,825.9,GUFL
2022-01-24,810.0,838.4,772.0,838.4,GUFL
2022-01-25,821.7,821.7,775.0,800.0,GUFL
2022-01-26,816.0,816.0,771.0,781.0,GUFL
2022-01-27,794.0,795.0,775.1,779.0,GUFL
2022-01-30,794.5,819.0,794.4,810.0,GUFL
2022-01-31,820.0,820.0,780.0,793.2,GUFL
2022-02-01,782.0,805.0,781.0,802.0,GUFL
2022-02-03,803.1,816.0,775.0,778.0,GUFL
2022-02-06,778.0,778.0,764.0,773.8,GUFL
2022-02-07,765.2,785.0,764.0,770.0,GUFL
2022-02-08,785.4,809.0,763.0,763.0,GUFL
2022-02-09,768.0,770.0,745.0,758.0,GUFL
2022-02-10,755.0,771.0,748.0,757.2,GUFL
2022-02-13,757.0,757.0,715.1,719.0,GUFL
