date,open,high,low,close,symbol
2022-04-19,271.1,298.2,271.1,298.2,GVL
2022-04-20,304.1,328.0,304.1,328.0,GVL
2022-04-21,334.5,360.8,334.5,360.8,GVL
2022-04-24,368.0,396.8,368.0,396.8,GVL
2022-04-25,404.7,436.4,373.0,399.0,GVL
2022-04-26,400.0,406.0,375.0,390.0,GVL
2022-04-27,390.0,390.0,376.0,385.0,GVL
2022-04-28,390.0,392.0,376.6,377.4,GVL
2022-05-02,370.0,371.0,339.7,358.0,GVL
2022-05-04,359.0,359.0,322.2,324.5,GVL
2022-05-05,318.2,323.0,303.0,304.0,GVL
2022-05-08,304.0,316.0,288.2,310.0,GVL
2022-05-09,315.0,315.0,297.0,305.0,GVL
2022-05-10,311.1,315.0,298.9,307.0,GVL
2022-05-11,307.0,334.5,303.2,325.5,GVL
2022-05-12,328.8,336.0,313.6,320.7,GVL
2022-05-17,318.0,318.0,291.5,291.5,GVL
2022-05-18,292.0,307.0,284.3,305.0,GVL
2022-05-19,300.0,306.0,290.0,300.0,GVL
2022-05-20,295.0,306.0,290.2,295.0,GVL
2022-05-23,289.1,295.0,285.5,286.4,GVL
2022-05-24,285.0,297.0,282.1,290.7,GVL
2022-05-25,294.7,299.0,285.4,290.5,GVL
2022-05-26,290.5,298.8,286.1,291.0,GVL
2022-05-27,290.0,295.0,285.4,289.9,GVL
2022-05-30,285.0,295.0,280.0,281.0,GVL
2022-05-31,276.0,280.0,271.0,280.0,GVL
2022-06-01,276.0,282.9,271.4,276.0,GVL
2022-06-02,271.1,279.4,269.1,271.0,GVL
2022-06-03,266.0,277.4,266.0,271.0,GVL
2022-06-06,270.0,279.9,270.0,270.0,GVL
2022-06-07,265.0,273.0,260.2,261.1,GVL
2022-06-08,256.0,287.0,256.0,275.0,GVL
2022-06-09,275.0,280.5,265.1,265.1,GVL
2022-06-10,270.3,291.6,270.0,291.6,GVL
2022-06-13,297.4,320.7,297.4,320.7,GVL
2022-06-14,327.1,352.0,296.6,300.0,GVL
2022-06-15,294.0,306.0,279.0,290.5,GVL
2022-06-16,296.0,310.0,280.0,302.0,GVL
2022-06-17,300.0,308.9,292.1,300.5,GVL
2022-06-19,295.1,298.8,288.3,290.0,GVL
2022-06-20,284.2,284.2,274.6,277.8,GVL
2022-06-21,280.0,291.7,274.4,290.7,GVL
2022-06-22,285.0,286.6,278.0,286.6,GVL
2022-06-23,280.9,280.9,266.0,266.0,GVL
2022-06-24,265.0,291.7,255.1,276.0,GVL
2022-06-26,276.0,299.5,276.0,298.0,GVL
2022-06-27,292.1,300.0,283.0,287.0,GVL
2022-06-28,281.3,290.5,277.1,284.8,GVL
2022-06-29,280.0,310.0,276.0,308.2,GVL
2022-06-30,308.0,323.0,303.0,316.0,GVL
2022-07-01,312.0,322.0,307.0,309.0,GVL
2022-07-03,305.0,326.0,303.1,322.0,GVL
2022-07-04,325.0,331.0,310.0,325.0,GVL
2022-07-05,318.5,331.0,310.0,315.0,GVL
2022-07-06,310.3,316.0,305.0,315.0,GVL
2022-07-07,315.0,326.0,309.0,314.0,GVL
2022-07-08,314.0,314.0,299.0,304.0,GVL
2022-07-11,300.2,300.2,284.0,284.0,GVL
2022-07-12,285.0,300.0,283.0,289.4,GVL
2022-07-13,283.7,302.5,283.7,298.0,GVL
2022-07-14,292.1,310.0,292.1,310.0,GVL
2022-07-15,311.0,312.0,297.0,303.5,GVL
2022-07-17,298.0,309.0,297.8,299.2,GVL
2022-07-18,294.0,310.0,294.0,307.0,GVL
2022-07-19,307.0,328.0,306.0,324.0,GVL
2022-07-20,318.0,329.5,316.6,318.1,GVL
2022-07-21,313.0,337.0,312.4,324.0,GVL
2022-07-22,330.0,330.0,314.6,321.0,GVL
2022-07-24,320.0,352.0,316.0,350.0,GVL
2022-07-25,355.0,372.0,345.0,369.9,GVL
2022-07-26,362.6,369.8,345.1,354.9,GVL
2022-07-27,354.9,379.0,340.0,377.4,GVL
2022-07-28,380.0,387.0,353.0,362.9,GVL
2022-07-29,364.8,366.0,353.2,362.0,GVL
2022-07-31,360.0,372.0,356.0,369.9,GVL
2022-08-01,369.0,380.0,360.9,370.0,GVL
2022-08-02,363.1,375.0,363.1,373.9,GVL
2022-08-03,366.5,402.0,366.5,390.0,GVL
2022-08-04,397.0,410.1,377.0,395.0,GVL
2022-08-05,387.1,401.0,380.0,387.4,GVL
2022-08-07,380.0,402.9,380.0,392.0,GVL
2022-08-08,392.0,405.0,385.4,390.1,GVL
2022-08-09,382.3,389.0,375.0,380.0,GVL
2022-08-10,375.0,386.9,365.0,378.3,GVL
2022-08-11,385.0,392.0,375.0,379.9,GVL
2022-08-14,372.4,379.8,353.5,365.4,GVL
2022-08-15,358.1,383.0,358.1,383.0,GVL
2022-08-16,375.4,386.0,364.1,366.1,GVL
2022-08-17,360.3,380.0,360.3,370.1,GVL
2022-08-18,370.0,389.0,366.6,378.0,GVL
2022-08-21,377.0,385.0,375.0,377.0,GVL
2022-08-22,379.0,390.0,368.0,380.0,GVL
2022-08-23,372.4,391.0,372.4,390.0,GVL
2022-08-24,390.0,390.0,381.1,385.0,GVL
2022-08-25,384.0,399.0,373.5,376.4,GVL
2022-08-26,368.9,379.9,362.2,374.1,GVL
2022-08-28,366.7,369.0,353.0,358.4,GVL
2022-08-29,351.4,374.0,351.4,361.9,GVL
2022-08-30,354.9,367.2,347.9,359.0,GVL
2022-08-31,351.9,358.0,345.0,349.9,GVL
2022-09-01,350.0,357.0,343.1,355.9,GVL
2022-09-02,357.0,357.0,346.7,348.0,GVL
2022-09-04,345.1,354.9,345.0,349.0,GVL
2022-09-05,355.9,362.0,347.1,359.0,GVL
2022-09-06,366.1,366.1,345.0,350.0,GVL
2022-09-07,343.0,345.0,336.1,336.6,GVL
2022-09-08,329.9,349.8,329.9,337.6,GVL
2022-09-11,331.0,337.0,327.0,332.9,GVL
2022-09-12,326.3,330.5,321.5,325.0,GVL
2022-09-13,320.0,336.6,319.0,327.0,GVL
2022-09-14,320.5,342.7,320.5,342.7,GVL
2022-09-15,342.0,342.0,320.0,331.0,GVL
2022-09-16,324.4,324.4,307.0,320.8,GVL
2022-09-18,320.0,320.0,301.0,302.0,GVL
2022-09-20,297.0,316.9,291.2,305.0,GVL
2022-09-21,298.9,311.0,298.9,300.2,GVL
2022-09-22,295.0,308.0,292.5,300.0,GVL
2022-09-25,294.0,294.0,283.6,290.7,GVL
2022-09-27,285.0,299.0,281.0,294.0,GVL
2022-09-28,290.0,296.0,280.0,295.0,GVL
2022-09-29,289.1,316.0,285.0,298.0,GVL
2022-10-09,298.0,314.0,294.1,314.0,GVL
2022-10-10,312.0,317.0,298.8,299.0,GVL
2022-10-11,293.2,300.0,288.0,300.0,GVL
2022-10-12,294.1,304.0,288.6,300.0,GVL
2022-10-13,296.0,300.0,296.0,299.9,GVL
2022-10-16,294.0,300.0,285.0,293.8,GVL
2022-10-17,288.3,300.8,284.0,300.8,GVL
2022-10-19,295.0,295.0,284.7,290.0,GVL
2022-10-20,284.2,289.0,278.7,280.1,GVL
2022-10-23,276.0,285.7,276.0,285.0,GVL
2022-10-31,285.0,290.0,277.1,283.0,GVL
2022-11-01,278.1,299.0,278.1,299.0,GVL
2022-11-02,294.0,308.2,294.0,301.5,GVL
2022-11-03,295.5,300.9,291.0,291.0,GVL
2022-11-06,287.3,303.0,282.1,303.0,GVL
2022-11-07,297.1,306.0,295.1,295.2,GVL
2022-11-08,291.0,306.0,291.0,295.0,GVL
2022-11-09,300.0,300.0,284.4,289.9,GVL
2022-11-10,290.0,295.5,275.7,286.0,GVL
2022-11-13,282.0,287.7,275.1,276.5,GVL
2022-11-14,272.0,285.0,272.0,280.0,GVL
2022-11-15,280.0,285.6,276.0,280.0,GVL
2022-11-16,275.3,289.9,275.3,289.9,GVL
2022-11-17,295.0,304.0,284.5,296.0,GVL
2022-11-22,290.3,301.9,283.0,286.0,GVL
2022-11-23,286.0,291.7,281.7,283.5,GVL
2022-11-24,283.5,292.0,283.5,289.8,GVL
2022-11-27,289.8,298.1,289.8,298.1,GVL
2022-11-28,293.2,308.9,292.5,293.0,GVL
2022-11-29,298.0,298.0,287.5,292.0,GVL
2022-11-30,287.0,297.2,285.0,295.0,GVL
2022-12-01,290.0,303.0,290.0,297.0,GVL
2022-12-04,291.1,297.9,290.0,293.0,GVL
2022-12-05,287.2,302.9,286.2,295.0,GVL
2022-12-06,290.0,297.0,290.0,292.1,GVL
2022-12-07,290.3,311.0,290.3,305.0,GVL
2022-12-11,299.0,303.9,294.0,297.3,GVL
2022-12-12,295.1,313.0,295.1,313.0,GVL
2022-12-13,306.8,318.0,306.8,307.2,GVL
2022-12-14,303.1,312.0,303.1,306.0,GVL
2022-12-15,303.0,304.9,298.0,298.0,GVL
2022-12-18,295.1,303.0,295.1,302.9,GVL
2022-12-19,300.0,305.0,297.0,303.0,GVL
2022-12-20,308.9,312.0,300.0,309.0,GVL
2022-12-21,307.0,313.0,301.1,306.0,GVL
2022-12-22,300.0,309.0,297.0,305.0,GVL
2022-12-26,308.0,320.7,300.0,320.7,GVL
2022-12-27,327.1,338.0,316.5,328.0,GVL
2022-12-28,325.0,342.0,319.2,334.0,GVL
2022-12-29,339.0,356.0,333.0,352.0,GVL
2023-01-01,354.0,357.0,333.2,342.0,GVL
2023-01-02,336.0,348.0,335.5,348.0,GVL
2023-01-03,353.7,367.0,336.7,355.0,GVL
2023-01-04,350.5,385.0,350.0,375.3,GVL
2023-01-05,380.0,394.0,363.0,379.5,GVL
2023-01-08,372.0,400.0,365.2,386.0,GVL
2023-01-09,380.0,414.9,380.0,414.9,GVL
2023-01-10,406.7,420.0,385.0,396.0,GVL
2023-01-12,390.0,403.0,373.4,378.0,GVL
2023-01-17,376.0,415.8,373.0,415.8,GVL
2023-01-18,424.1,457.3,424.1,457.3,GVL
2023-01-19,466.4,500.0,448.0,488.0,GVL
2023-01-23,488.0,497.7,459.0,459.0,GVL
2023-01-24,450.0,484.0,441.2,474.1,GVL
2023-01-25,481.0,511.0,460.0,511.0,GVL
2023-01-26,501.0,501.0,477.2,488.0,GVL
2023-01-29,488.0,488.0,459.5,467.0,GVL
2023-01-30,458.0,477.0,447.2,451.0,GVL
2023-01-31,450.0,467.0,435.2,467.0,GVL
2023-02-01,460.0,474.0,454.0,456.0,GVL
2023-02-02,446.9,461.0,443.0,449.9,GVL
2023-02-05,443.5,470.0,440.0,446.0,GVL
2023-02-06,446.2,455.1,439.3,446.0,GVL
2023-02-07,446.0,490.6,441.0,490.0,GVL
2023-02-08,499.5,499.5,468.5,471.0,GVL
2023-02-09,462.5,472.0,462.5,470.0,GVL
2023-02-12,460.6,465.0,451.4,454.0,GVL
2023-02-14,445.2,473.0,441.0,452.5,GVL
2023-02-15,444.0,456.0,444.0,445.0,GVL
2023-02-16,445.0,454.0,436.2,438.8,GVL
2023-02-20,433.0,440.0,429.0,438.0,GVL
2023-02-22,446.0,455.0,430.0,451.1,GVL
2023-02-23,445.0,452.9,435.5,450.0,GVL
2023-02-26,441.0,459.0,416.0,459.0,GVL
2023-02-27,459.0,466.0,436.0,459.7,GVL
2023-02-28,452.0,462.0,450.7,454.9,GVL
2023-03-01,446.0,450.0,440.5,443.0,GVL
2023-03-02,446.0,448.8,435.2,437.0,GVL
2023-03-05,430.0,436.0,419.0,420.0,GVL
2023-03-07,420.0,440.0,417.4,430.0,GVL
2023-03-09,431.0,446.0,431.0,443.9,GVL
2023-03-12,443.9,446.0,433.2,440.0,GVL
2023-03-13,432.1,457.0,430.3,457.0,GVL
2023-03-14,465.0,465.0,439.2,445.0,GVL
2023-03-15,438.3,447.4,437.0,446.9,GVL
2023-03-16,440.0,448.8,433.0,433.0,GVL
2023-03-19,430.0,464.1,426.2,464.1,GVL
2023-03-20,454.9,454.9,441.1,453.9,GVL
2023-03-22,461.0,462.9,437.0,440.0,GVL
2023-03-23,432.4,443.7,432.4,440.0,GVL
2023-03-26,432.0,435.0,419.1,430.0,GVL
2023-03-27,421.4,434.8,421.4,433.0,GVL
2023-03-28,440.0,441.0,428.1,429.0,GVL
2023-03-29,423.0,434.0,423.0,427.0,GVL
2023-03-30,425.1,436.5,418.5,422.1,GVL
2023-04-02,415.0,430.5,408.0,411.0,GVL
2023-04-03,403.0,415.0,403.0,409.5,GVL
2023-04-04,408.0,413.0,402.1,409.0,GVL
2023-04-05,410.0,410.0,403.0,404.2,GVL
