date,open,high,low,close,symbol
2021-09-01,560.0,602.8,543.1,573.0,HPPL
2021-09-02,573.0,584.0,545.0,550.0,HPPL
2021-09-05,539.0,545.0,495.0,500.0,HPPL
2021-09-06,490.0,550.0,490.0,550.0,HPPL
2021-09-07,560.0,560.0,525.1,538.0,HPPL
2021-09-08,527.3,552.4,516.8,532.0,HPPL
2021-09-09,540.0,585.2,529.0,585.2,HPPL
2021-09-12,596.9,643.7,596.9,643.6,HPPL
2021-09-13,656.4,656.4,610.0,634.0,HPPL
2021-09-14,625.0,645.0,618.0,632.0,HPPL
2021-09-15,644.6,644.6,602.0,630.0,HPPL
2021-09-16,620.0,620.0,579.2,603.8,HPPL
2021-09-20,615.8,615.8,543.5,543.5,HPPL
2021-09-21,532.7,585.0,490.0,530.2,HPPL
2021-09-22,540.8,570.0,531.1,570.0,HPPL
2021-09-23,580.0,580.0,537.1,541.0,HPPL
2021-09-26,551.8,551.8,508.3,519.0,HPPL
2021-09-27,529.0,539.5,485.0,486.2,HPPL
2021-09-28,478.0,499.3,437.6,437.6,HPPL
2021-09-29,438.0,473.7,404.2,469.2,HPPL
2021-09-30,460.0,473.9,438.1,440.0,HPPL
2021-10-03,442.0,448.8,406.7,406.7,HPPL
2021-10-04,414.0,414.0,385.0,392.0,HPPL
2021-10-05,392.0,431.2,390.0,431.2,HPPL
2021-10-06,425.0,443.0,423.0,440.0,HPPL
2021-10-10,448.0,456.9,420.0,420.0,HPPL
2021-10-11,416.0,417.0,405.0,416.0,HPPL
2021-10-17,424.0,429.0,409.0,428.8,HPPL
2021-10-18,420.3,428.4,395.0,400.0,HPPL
2021-10-19,393.0,400.0,371.0,380.0,HPPL
2021-10-20,372.5,409.0,372.5,405.0,HPPL
2021-10-21,413.1,421.0,390.0,391.0,HPPL
2021-10-24,391.0,414.0,391.0,406.0,HPPL
2021-10-25,414.0,446.6,410.1,446.6,HPPL
2021-10-26,455.5,491.2,455.0,489.0,HPPL
2021-10-27,481.0,529.3,463.0,476.0,HPPL
2021-10-28,476.0,520.0,476.0,520.0,HPPL
2021-10-31,523.0,564.1,513.0,558.9,HPPL
2021-11-01,560.0,570.0,526.0,528.0,HPPL
2021-11-02,518.0,545.0,512.0,535.0,HPPL
2021-11-03,545.7,545.7,520.0,525.0,HPPL
2021-11-08,535.0,535.0,509.6,516.0,HPPL
2021-11-09,507.1,519.8,472.6,486.0,HPPL
2021-11-11,477.0,480.0,460.0,466.0,HPPL
2021-11-14,457.0,488.0,453.0,475.1,HPPL
2021-11-15,484.0,503.3,484.0,485.0,HPPL
2021-11-16,486.0,510.0,486.0,505.0,HPPL
2021-11-17,515.1,529.9,510.0,514.0,HPPL
2021-11-18,505.0,525.0,490.5,491.0,HPPL
2021-11-21,490.0,510.0,490.0,499.0,HPPL
2021-11-22,498.0,503.0,491.0,492.0,HPPL
2021-11-23,490.0,501.8,470.9,481.0,HPPL
2021-11-24,473.0,499.0,467.1,490.0,HPPL
2021-11-25,490.0,499.9,484.0,484.1,HPPL
2021-11-28,475.0,480.0,435.7,443.0,HPPL
2021-11-29,443.0,467.0,443.0,458.0,HPPL
2021-11-30,467.0,467.0,441.2,455.0,HPPL
2021-12-01,464.0,464.0,446.0,454.9,HPPL
2021-12-02,461.0,461.0,425.4,435.0,HPPL
2021-12-05,434.0,443.0,410.5,421.4,HPPL
2021-12-06,428.0,452.8,402.0,440.0,HPPL
2021-12-07,448.0,452.0,412.0,414.0,HPPL
2021-12-08,407.1,422.0,400.0,400.0,HPPL
2021-12-09,400.0,415.0,395.0,408.0,HPPL
2021-12-12,404.0,404.0,394.0,395.0,HPPL
2021-12-13,387.1,398.0,365.0,383.8,HPPL
2021-12-14,391.0,420.0,391.0,420.0,HPPL
2021-12-15,428.0,445.0,403.0,410.0,HPPL
2021-12-16,410.0,417.0,381.0,381.0,HPPL
2021-12-20,375.0,404.0,375.0,380.0,HPPL
2021-12-21,387.6,396.0,382.0,395.5,HPPL
2021-12-22,395.5,426.2,392.0,426.0,HPPL
2021-12-23,430.0,430.9,405.0,420.0,HPPL
2021-12-26,428.0,436.0,411.2,426.4,HPPL
2021-12-27,420.0,451.0,416.1,416.2,HPPL
