date,open,high,low,close,symbol
2021-08-29,757.8,757.8,710.0,716.0,KPCL
2021-08-31,702.0,729.0,676.0,702.0,KPCL
2021-09-01,716.0,739.0,685.0,730.0,KPCL
2021-09-02,744.0,744.6,670.0,703.0,KPCL
2021-09-05,689.0,689.0,632.7,642.0,KPCL
2021-09-06,650.0,706.2,602.7,706.2,KPCL
2021-09-07,720.3,720.3,672.0,682.0,KPCL
2021-09-08,670.0,680.0,640.0,670.0,KPCL
2021-09-09,681.9,703.0,645.0,685.0,KPCL
2021-09-12,698.7,745.0,698.7,742.0,KPCL
2021-09-13,742.0,753.0,690.0,694.0,KPCL
2021-09-14,694.0,714.0,680.2,695.0,KPCL
2021-09-15,685.0,698.0,675.5,684.9,KPCL
2021-09-16,671.3,679.0,640.0,645.0,KPCL
2021-09-20,650.0,650.0,590.0,592.7,KPCL
2021-09-21,580.9,626.0,559.0,600.0,KPCL
2021-09-22,600.2,645.0,600.2,640.0,KPCL
2021-09-23,652.0,661.0,605.4,616.5,KPCL
2021-09-26,610.0,622.2,588.3,597.0,KPCL
2021-09-27,608.9,633.0,549.0,551.0,KPCL
2021-09-28,540.0,549.0,500.0,505.0,KPCL
2021-09-29,515.1,555.0,480.0,553.0,KPCL
2021-09-30,553.0,566.0,522.0,529.0,KPCL
2021-10-03,519.0,530.4,478.7,509.0,KPCL
2021-10-04,519.1,519.9,478.9,509.0,KPCL
2021-10-05,519.0,521.9,489.0,519.0,KPCL
2021-10-06,529.3,570.9,509.0,535.0,KPCL
2021-10-10,524.3,555.0,515.0,524.0,KPCL
2021-10-11,534.0,534.0,495.9,520.1,KPCL
2021-10-17,530.0,552.0,500.0,539.0,KPCL
2021-10-18,528.3,528.3,494.0,498.0,KPCL
2021-10-19,488.1,527.4,448.2,498.0,KPCL
2021-10-20,500.0,545.7,500.0,517.0,KPCL
2021-10-21,517.0,527.0,500.0,513.0,KPCL
2021-10-24,503.0,529.0,494.0,529.0,KPCL
2021-10-25,529.0,561.0,519.0,559.0,KPCL
2021-10-26,570.0,599.0,559.0,596.0,KPCL
2021-10-27,601.8,603.0,577.3,600.0,KPCL
2021-10-28,588.0,634.0,580.0,628.0,KPCL
2021-10-31,630.0,663.9,615.6,659.9,KPCL
2021-11-01,671.0,725.8,628.2,640.0,KPCL
2021-11-02,627.2,693.0,614.7,693.0,KPCL
2021-11-03,706.0,749.0,656.0,679.0,KPCL
2021-11-08,692.5,700.0,647.0,647.1,KPCL
2021-11-09,660.0,673.0,590.0,605.0,KPCL
2021-11-11,593.1,602.0,568.4,580.0,KPCL
2021-11-14,569.0,627.0,558.0,615.0,KPCL
2021-11-15,626.9,632.0,617.0,619.5,KPCL
2021-11-16,629.9,650.0,617.4,649.0,KPCL
2021-11-17,661.9,661.9,633.0,645.0,KPCL
2021-11-18,657.9,657.9,615.0,626.0,KPCL
2021-11-21,638.5,651.0,612.0,645.0,KPCL
2021-11-22,654.0,654.0,625.0,635.8,KPCL
