date,open,high,low,close,symbol
2021-09-01,725.0,740.0,710.2,718.0,KSBBL
2021-09-02,718.0,730.0,682.0,694.0,KSBBL
2021-09-05,699.0,699.0,625.2,652.0,KSBBL
2021-09-06,652.0,717.2,630.0,717.2,KSBBL
2021-09-07,730.0,731.0,685.0,702.0,KSBBL
2021-09-08,711.0,711.0,675.0,686.0,KSBBL
2021-09-09,686.0,699.0,675.0,683.0,KSBBL
2021-09-12,696.6,737.0,683.0,731.0,KSBBL
2021-09-13,745.6,755.0,722.0,725.0,KSBBL
2021-09-14,732.0,739.0,709.5,719.0,KSBBL
2021-09-15,722.0,725.0,697.0,705.0,KSBBL
2021-09-16,700.0,700.0,670.0,683.2,KSBBL
2021-09-20,683.2,686.0,635.0,640.0,KSBBL
2021-09-21,628.0,672.1,619.0,645.0,KSBBL
2021-09-22,657.0,703.0,657.0,694.0,KSBBL
2021-09-23,707.8,715.0,677.0,678.0,KSBBL
2021-09-26,691.5,733.0,685.0,691.0,KSBBL
2021-09-27,704.0,704.0,657.1,660.0,KSBBL
2021-09-28,647.0,673.0,637.0,645.0,KSBBL
2021-09-29,643.0,670.1,634.0,663.0,KSBBL
2021-09-30,665.0,677.0,645.0,646.0,KSBBL
2021-10-03,649.0,659.0,634.0,636.0,KSBBL
2021-10-04,638.0,645.0,627.0,630.0,KSBBL
2021-10-05,642.5,655.0,630.0,645.0,KSBBL
2021-10-06,657.0,667.0,646.0,666.9,KSBBL
2021-10-10,680.0,681.5,655.0,660.0,KSBBL
2021-10-11,670.0,670.0,632.2,655.0,KSBBL
2021-10-17,668.1,683.0,658.0,682.9,KSBBL
2021-10-18,690.0,690.0,656.6,661.0,KSBBL
2021-10-19,651.0,660.0,625.5,635.0,KSBBL
2021-10-20,647.0,668.0,647.0,660.0,KSBBL
2021-10-21,665.0,666.0,643.0,648.0,KSBBL
2021-10-24,660.9,660.9,646.0,651.0,KSBBL
2021-10-25,662.0,710.0,652.0,710.0,KSBBL
2021-10-26,724.2,770.0,710.6,719.0,KSBBL
2021-10-27,607.0,646.6,595.0,613.0,KSBBL
2021-10-28,625.0,663.0,605.0,663.0,KSBBL
2021-10-31,663.0,729.0,624.3,729.0,KSBBL
2021-11-01,729.0,729.0,669.5,680.0,KSBBL
2021-11-02,680.0,735.9,650.0,670.0,KSBBL
2021-11-03,670.0,675.0,647.8,652.0,KSBBL
2021-11-08,650.0,660.0,639.0,640.0,KSBBL
2021-11-09,640.0,640.0,602.0,607.0,KSBBL
2021-11-11,607.0,615.0,583.0,593.0,KSBBL
2021-11-14,590.0,608.0,585.1,595.0,KSBBL
2021-11-15,606.9,626.8,606.9,617.5,KSBBL
2021-11-16,620.0,625.0,610.0,616.2,KSBBL
2021-11-17,628.5,628.5,608.0,608.0,KSBBL
2021-11-18,608.0,618.8,594.0,595.0,KSBBL
2021-11-21,605.0,605.0,585.1,590.0,KSBBL
2021-11-22,590.0,600.0,577.0,580.0,KSBBL
2021-11-23,580.0,587.0,555.7,564.9,KSBBL
2021-11-24,556.0,583.7,546.0,583.0,KSBBL
2021-11-25,588.0,588.0,570.0,570.0,KSBBL
2021-11-28,560.0,570.0,539.0,541.9,KSBBL
2021-11-29,536.0,558.0,530.0,533.0,KSBBL
2021-11-30,543.0,553.8,525.0,532.9,KSBBL
2021-12-01,538.0,549.7,533.1,542.0,KSBBL
2021-12-02,545.0,547.0,519.4,520.0,KSBBL
2021-12-05,510.0,528.1,495.0,500.0,KSBBL
2021-12-06,500.0,520.0,471.5,510.0,KSBBL
2021-12-07,519.0,526.0,485.0,485.2,KSBBL
2021-12-08,476.0,498.0,470.0,474.0,KSBBL
2021-12-09,474.0,478.0,464.0,465.0,KSBBL
2021-12-12,462.2,467.0,431.0,432.0,KSBBL
2021-12-13,426.0,430.0,398.0,400.0,KSBBL
2021-12-14,408.0,440.0,404.0,440.0,KSBBL
2021-12-15,448.0,480.0,434.2,446.1,KSBBL
2021-12-16,445.0,446.0,426.0,430.6,KSBBL
2021-12-20,435.0,435.0,418.0,423.0,KSBBL
2021-12-21,431.0,439.0,423.5,437.0,KSBBL
2021-12-22,445.0,473.7,445.0,469.0,KSBBL
2021-12-23,478.0,478.0,453.0,463.7,KSBBL
2021-12-26,472.0,472.0,460.0,461.0,KSBBL
2021-12-27,470.0,470.0,440.0,441.0,KSBBL
2021-12-28,432.2,442.0,426.0,436.0,KSBBL
2021-12-29,438.0,444.0,427.3,435.0,KSBBL
2022-01-02,440.0,450.8,430.1,448.0,KSBBL
2022-01-03,456.9,469.0,449.0,459.0,KSBBL
2022-01-04,467.9,491.6,452.1,489.0,KSBBL
2022-01-05,495.0,504.0,474.0,474.0,KSBBL
2022-01-06,474.0,491.6,466.0,486.0,KSBBL
2022-01-09,490.0,515.0,490.0,515.0,KSBBL
2022-01-10,525.0,530.0,514.0,521.0,KSBBL
2022-01-11,521.0,567.0,510.1,558.0,KSBBL
2022-01-12,558.0,565.7,535.0,540.0,KSBBL
2022-01-13,539.0,569.0,533.0,563.0,KSBBL
2022-01-16,574.2,590.0,568.0,575.0,KSBBL
2022-01-17,580.0,584.0,562.0,578.0,KSBBL
2022-01-18,577.0,578.0,546.9,555.1,KSBBL
2022-01-19,560.0,566.0,540.0,541.5,KSBBL
2022-01-20,540.0,578.2,535.0,574.0,KSBBL
2022-01-23,585.0,585.4,556.0,559.0,KSBBL
2022-01-24,559.0,559.0,530.1,533.0,KSBBL
2022-01-25,543.0,546.0,519.0,527.0,KSBBL
2022-01-26,521.0,532.0,510.0,514.5,KSBBL
2022-01-27,514.0,525.0,510.0,511.0,KSBBL
2022-01-30,521.2,550.0,521.2,550.0,KSBBL
2022-01-31,552.0,560.0,537.0,538.0,KSBBL
2022-02-01,530.0,551.5,530.0,549.0,KSBBL
2022-02-03,555.0,565.9,538.1,539.0,KSBBL
2022-02-06,530.0,544.0,529.0,530.1,KSBBL
2022-02-07,530.0,542.9,529.0,534.0,KSBBL
2022-02-08,544.6,560.0,529.0,530.0,KSBBL
2022-02-09,539.9,539.9,520.0,525.0,KSBBL
2022-02-10,525.0,530.0,516.2,521.5,KSBBL
2022-02-13,522.0,522.0,493.0,499.0,KSBBL
2022-02-14,498.0,507.9,498.0,498.1,KSBBL
2022-02-15,508.0,516.8,500.0,516.0,KSBBL
2022-02-16,517.0,525.0,501.0,505.0,KSBBL
2022-02-17,501.0,509.0,500.0,504.0,KSBBL
2022-02-20,494.0,505.0,481.0,498.0,KSBBL
2022-02-21,500.0,504.0,497.0,499.0,KSBBL
2022-02-22,508.9,509.9,502.0,505.0,KSBBL
2022-02-23,510.0,511.9,498.2,500.5,KSBBL
2022-02-24,495.0,500.0,485.0,487.0,KSBBL
