date,open,high,low,close,symbol
2021-09-01,2165.0,2295.0,2135.0,2295.0,LICN
2021-09-02,2249.1,2249.1,2126.6,2177.0,LICN
2021-09-05,2140.0,2170.0,2064.0,2100.0,LICN
2021-09-06,2140.0,2250.0,2057.0,2145.0,LICN
2021-09-07,2111.0,2130.0,2050.0,2129.0,LICN
2021-09-08,2086.5,2120.0,2000.0,2000.0,LICN
2021-09-09,2040.0,2080.0,1989.4,2024.0,LICN
2021-09-12,2020.0,2059.9,1990.0,2059.9,LICN
2021-09-13,2050.0,2087.0,2007.0,2087.0,LICN
2021-09-14,2100.0,2100.0,2010.0,2011.0,LICN
2021-09-15,1980.1,2019.6,1950.0,2019.6,LICN
2021-09-16,1980.0,1997.0,1897.0,1997.0,LICN
2021-09-20,1958.0,1958.0,1845.0,1845.0,LICN
2021-09-21,1830.1,1924.0,1809.1,1924.0,LICN
2021-09-22,1900.0,2001.0,1900.0,1976.0,LICN
2021-09-23,1980.0,2015.0,1900.0,2015.0,LICN
2021-09-26,1975.0,1999.0,1900.0,1999.0,LICN
2021-09-27,1960.0,1960.0,1881.6,1944.0,LICN
2021-09-28,1906.0,1906.0,1833.0,1866.0,LICN
2021-09-29,1895.0,1900.0,1803.2,1885.0,LICN
2021-09-30,1851.0,1899.0,1820.0,1899.0,LICN
2021-10-03,1863.0,1863.0,1796.2,1846.0,LICN
2021-10-04,1840.0,1866.0,1811.0,1865.9,LICN
2021-10-05,1865.0,1998.9,1830.0,1980.0,LICN
2021-10-06,1994.0,2011.0,1866.0,1980.0,LICN
2021-10-10,1980.0,1980.0,1873.1,1934.9,LICN
2021-10-11,1901.0,1940.0,1860.0,1935.0,LICN
2021-10-17,1896.3,2007.0,1865.0,2007.0,LICN
2021-10-18,1968.0,1968.0,1880.0,1938.0,LICN
2021-10-19,1899.3,1912.0,1842.4,1912.0,LICN
2021-10-20,1912.0,1919.5,1852.0,1916.0,LICN
2021-10-21,1916.0,1916.0,1878.0,1901.0,LICN
2021-10-24,1900.0,1908.4,1871.0,1876.0,LICN
2021-10-25,1905.0,1966.0,1867.0,1948.0,LICN
2021-10-26,1920.0,1999.0,1911.0,1999.0,LICN
2021-10-27,1960.0,2045.0,1921.0,2040.0,LICN
2021-10-28,2079.0,2080.0,1982.0,2070.0,LICN
2021-10-31,2031.0,2125.0,2023.9,2125.0,LICN
2021-11-01,2083.0,2119.0,2020.0,2118.0,LICN
2021-11-02,2075.7,2104.0,2050.0,2104.0,LICN
2021-11-03,2062.0,2095.0,2035.1,2094.0,LICN
2021-11-08,2053.0,2093.0,2042.0,2093.0,LICN
2021-11-09,2052.0,2076.0,2015.0,2076.0,LICN
2021-11-11,2035.1,2067.0,1965.0,2030.0,LICN
2021-11-14,1990.0,2054.0,1940.0,2054.0,LICN
2021-11-15,2013.0,2050.0,1974.7,2045.0,LICN
2021-11-16,2005.0,2039.0,1985.2,2034.0,LICN
2021-11-17,2034.0,2070.0,1975.0,2050.0,LICN
2021-11-18,2010.0,2047.0,1981.1,2044.0,LICN
2021-11-21,2048.0,2050.0,2004.0,2044.2,LICN
2021-11-22,2005.5,2044.9,2005.0,2040.0,LICN
2021-11-23,2010.1,2037.8,1976.0,2033.0,LICN
2021-11-24,1992.4,2014.7,1965.0,2014.0,LICN
2021-11-25,2014.0,2015.0,1980.0,2015.0,LICN
2021-11-28,1975.0,2000.0,1920.0,1921.1,LICN
2021-11-29,1920.0,1925.0,1848.0,1917.0,LICN
2021-11-30,1881.0,1910.0,1843.0,1862.2,LICN
2021-12-01,1863.0,1901.2,1845.0,1900.0,LICN
2021-12-02,1870.0,1900.0,1843.0,1880.0,LICN
2021-12-05,1845.0,1875.0,1840.0,1875.0,LICN
2021-12-06,1837.5,1868.6,1811.0,1858.9,LICN
2021-12-07,1866.0,1925.0,1822.0,1880.0,LICN
2021-12-08,1845.0,1850.0,1811.0,1849.5,LICN
2021-12-09,1847.9,1847.9,1790.0,1825.0,LICN
2021-12-12,1803.0,1810.0,1753.0,1775.0,LICN
2021-12-13,1741.0,1752.3,1700.0,1752.3,LICN
2021-12-14,1750.0,1829.9,1750.0,1824.8,LICN
2021-12-15,1788.4,1895.0,1788.4,1837.0,LICN
2021-12-16,1800.3,1800.3,1751.0,1751.0,LICN
2021-12-20,1745.0,1817.0,1740.0,1799.0,LICN
2021-12-21,1833.0,1833.0,1740.0,1797.0,LICN
2021-12-22,1790.0,1849.0,1789.0,1849.0,LICN
2021-12-23,1880.9,1884.0,1791.0,1865.0,LICN
2021-12-26,1902.0,2024.0,1870.0,2024.0,LICN
2021-12-27,2063.0,2063.0,1911.2,1988.0,LICN
2021-12-28,1948.3,1980.0,1930.0,1973.0,LICN
2021-12-29,1934.0,1969.0,1920.2,1937.8,LICN
2022-01-02,1969.0,1973.9,1930.0,1949.0,LICN
2022-01-03,1950.0,1966.0,1931.0,1963.0,LICN
2022-01-04,1961.0,1999.9,1951.0,1999.9,LICN
2022-01-05,2033.0,2033.0,1964.2,2020.0,LICN
2022-01-06,1980.0,2015.0,1980.0,2008.0,LICN
2022-01-09,2047.0,2050.3,1988.0,2050.3,LICN
2022-01-10,2040.0,2076.0,2000.0,2060.0,LICN
2022-01-11,2065.0,2127.9,2060.0,2125.0,LICN
2022-01-12,2130.0,2159.5,2077.6,2124.0,LICN
2022-01-13,2124.0,2173.0,2090.0,2164.9,LICN
2022-01-16,2200.0,2243.0,2171.0,2197.0,LICN
2022-01-17,2195.0,2230.0,2175.0,2207.0,LICN
2022-01-18,2171.0,2214.0,2163.0,2189.0,LICN
2022-01-19,2151.0,2175.0,2146.0,2163.7,LICN
2022-01-20,2170.0,2292.9,2150.0,2270.0,LICN
2022-01-23,2299.0,2400.0,2270.0,2398.9,LICN
2022-01-24,2399.0,2415.0,2302.0,2344.0,LICN
2022-01-25,2385.0,2390.0,2300.0,2369.0,LICN
2022-01-26,2389.0,2389.0,2286.1,2319.0,LICN
2022-01-27,2319.0,2345.0,2286.0,2291.0,LICN
2022-01-30,2336.0,2397.0,2336.0,2355.0,LICN
2022-01-31,2385.0,2493.0,2342.0,2367.9,LICN
2022-02-01,2400.0,2400.0,2330.0,2356.0,LICN
2022-02-03,2400.0,2400.0,2326.0,2377.0,LICN
2022-02-06,2400.0,2400.0,2315.0,2332.0,LICN
2022-02-07,1982.1,2010.0,1946.0,2005.0,LICN
2022-02-08,2044.0,2044.0,1985.1,1991.5,LICN
2022-02-09,2018.0,2028.8,1980.0,2028.7,LICN
2022-02-10,2026.0,2060.0,2005.0,2050.0,LICN
2022-02-13,2009.0,2028.0,1969.0,2025.0,LICN
2022-02-14,1987.0,2058.0,1987.0,2038.0,LICN
2022-02-15,2036.5,2040.0,1990.0,2040.0,LICN
2022-02-16,2021.0,2085.0,2002.0,2085.0,LICN
2022-02-17,2050.0,2078.0,2021.0,2065.0,LICN
2022-02-20,2023.7,2033.0,1990.0,2004.9,LICN
2022-02-21,2005.0,2019.9,1988.0,1992.0,LICN
2022-02-22,2010.0,2010.0,1980.0,1980.0,LICN
2022-02-23,1970.0,1988.9,1960.0,1988.9,LICN
2022-02-24,1980.0,1980.0,1887.0,1949.0,LICN
2022-02-27,1986.0,1986.0,1905.0,1931.9,LICN
2022-02-28,1970.0,1970.0,1849.1,1896.9,LICN
2022-03-02,1934.0,1934.0,1816.0,1816.0,LICN
2022-03-06,1849.0,1849.0,1780.0,1837.0,LICN
2022-03-07,1809.0,1849.9,1764.0,1807.9,LICN
2022-03-09,1780.0,1790.0,1719.1,1755.0,LICN
2022-03-10,1755.0,1810.0,1730.0,1810.0,LICN
2022-03-13,1846.0,1952.0,1840.0,1952.0,LICN
2022-03-14,1970.0,2030.0,1970.0,2006.0,LICN
2022-03-15,2044.0,2087.0,1968.1,2049.8,LICN
2022-03-16,2078.5,2089.0,2002.0,2038.0,LICN
2022-03-20,2077.0,2077.0,1970.0,2014.0,LICN
2022-03-21,2040.0,2040.0,1961.0,2011.9,LICN
2022-03-22,2040.0,2051.9,1990.1,2005.0,LICN
2022-03-23,2005.0,2007.0,1987.0,1989.9,LICN
2022-03-24,2029.6,2120.0,1990.0,2101.2,LICN
2022-03-27,2143.0,2274.0,2137.0,2137.0,LICN
2022-03-28,2100.0,2164.9,2100.0,2128.8,LICN
2022-03-29,2160.0,2160.0,2073.0,2107.8,LICN
2022-03-30,2140.0,2140.0,2058.0,2121.0,LICN
2022-03-31,2145.0,2145.0,2070.1,2071.0,LICN
2022-04-03,2098.0,2098.0,2034.0,2051.8,LICN
2022-04-04,2092.0,2133.0,2019.0,2044.9,LICN
2022-04-05,2054.0,2054.0,1950.0,1951.0,LICN
2022-04-06,1985.0,1985.0,1931.0,1968.0,LICN
2022-04-07,1987.7,2070.0,1950.0,2023.0,LICN
2022-04-11,2063.4,2139.0,1976.0,1978.0,LICN
2022-04-12,2017.0,2020.0,1932.0,1940.0,LICN
2022-04-13,1968.0,1968.0,1917.5,1939.9,LICN
2022-04-17,1976.0,1976.0,1880.0,1908.9,LICN
2022-04-18,1935.0,1935.0,1851.1,1863.8,LICN
2022-04-19,1890.0,1890.0,1846.0,1860.0,LICN
2022-04-20,1880.0,1880.0,1817.0,1819.0,LICN
2022-04-21,1813.0,1855.3,1800.0,1842.8,LICN
2022-04-24,1865.0,1900.0,1830.0,1895.0,LICN
2022-04-25,1899.0,1899.0,1840.0,1870.0,LICN
2022-04-26,1869.0,1869.0,1830.0,1840.0,LICN
2022-04-27,1876.8,1876.8,1816.0,1839.2,LICN
2022-04-28,1875.0,1875.0,1802.0,1840.0,LICN
2022-05-02,1875.0,1875.0,1750.0,1777.0,LICN
2022-05-04,1810.0,1810.0,1670.0,1717.9,LICN
2022-05-05,1690.0,1723.8,1630.0,1689.8,LICN
2022-05-08,1695.0,1695.0,1630.0,1690.0,LICN
2022-05-09,1670.0,1684.0,1630.0,1660.0,LICN
2022-05-10,1630.1,1662.9,1627.0,1640.0,LICN
2022-05-11,1640.0,1670.0,1620.1,1656.0,LICN
2022-05-12,1676.0,1676.0,1617.0,1636.0,LICN
2022-05-17,1604.0,1695.0,1565.1,1565.1,LICN
2022-05-18,1572.0,1596.4,1527.9,1573.0,LICN
2022-05-19,1594.0,1594.0,1527.0,1550.0,LICN
2022-05-20,1560.0,1560.0,1491.1,1528.0,LICN
2022-05-23,1555.0,1555.0,1440.0,1451.0,LICN
2022-05-24,1479.0,1530.0,1428.0,1478.5,LICN
2022-05-25,1508.0,1537.0,1465.0,1484.9,LICN
2022-05-26,1456.0,1508.0,1456.0,1500.0,LICN
2022-05-27,1521.0,1550.0,1465.0,1488.0,LICN
2022-05-30,1517.0,1547.0,1346.0,1379.8,LICN
2022-05-31,1353.3,1426.0,1281.0,1426.0,LICN
2022-06-01,1397.5,1397.5,1297.0,1329.0,LICN
2022-06-02,1304.0,1330.0,1275.0,1297.9,LICN
2022-06-03,1304.0,1305.0,1245.1,1255.0,LICN
2022-06-06,1265.0,1275.0,1203.5,1221.9,LICN
2022-06-07,1200.0,1235.9,1197.0,1216.9,LICN
2022-06-08,1238.8,1326.0,1217.0,1255.0,LICN
2022-06-09,1279.0,1329.9,1243.0,1288.9,LICN
2022-06-10,1265.0,1270.0,1225.0,1259.8,LICN
2022-06-13,1245.0,1255.0,1213.0,1234.8,LICN
2022-06-14,1258.9,1258.9,1184.9,1209.9,LICN
2022-06-15,1190.1,1200.0,1098.0,1110.0,LICN
2022-06-16,1132.2,1132.2,1089.0,1107.0,LICN
2022-06-17,1119.9,1124.9,1098.0,1100.0,LICN
2022-06-19,1101.0,1117.9,1100.0,1110.0,LICN
2022-06-20,1100.0,1110.0,1075.1,1085.0,LICN
2022-06-21,1069.0,1180.0,1065.0,1158.0,LICN
2022-06-22,1160.0,1179.0,1112.0,1129.9,LICN
2022-06-23,1120.0,1141.0,1086.0,1140.0,LICN
2022-06-24,1120.0,1240.0,1101.0,1229.9,LICN
2022-06-26,1230.0,1322.0,1206.0,1300.0,LICN
2022-06-27,1323.9,1430.0,1276.0,1419.0,LICN
2022-06-28,1445.0,1530.0,1353.1,1470.0,LICN
2022-06-29,1489.8,1489.8,1441.0,1450.0,LICN
2022-06-30,1475.0,1550.0,1410.0,1488.0,LICN
2022-07-01,1515.0,1548.0,1445.1,1469.0,LICN
2022-07-03,1495.0,1496.0,1430.0,1449.0,LICN
2022-07-04,1477.0,1477.0,1402.2,1444.0,LICN
2022-07-05,1417.1,1454.0,1390.0,1409.0,LICN
2022-07-06,1437.1,1549.9,1437.1,1549.9,LICN
2022-07-07,1580.8,1677.0,1514.1,1525.0,LICN
2022-07-08,1555.0,1580.0,1485.0,1498.0,LICN
2022-07-11,1510.0,1510.0,1399.0,1415.0,LICN
2022-07-12,1420.0,1440.0,1390.0,1395.0,LICN
2022-07-13,1422.9,1435.0,1376.9,1406.0,LICN
2022-07-14,1410.0,1432.0,1390.0,1400.1,LICN
2022-07-15,1421.0,1421.0,1372.2,1415.0,LICN
2022-07-17,1441.0,1441.0,1395.0,1435.0,LICN
2022-07-18,1410.0,1470.0,1391.0,1457.9,LICN
2022-07-19,1430.0,1488.9,1430.0,1480.0,LICN
2022-07-20,1453.0,1490.0,1450.0,1478.0,LICN
2022-07-21,1501.0,1501.0,1422.8,1423.0,LICN
2022-07-22,1448.0,1448.0,1385.0,1390.0,LICN
2022-07-24,1417.0,1460.0,1396.2,1434.0,LICN
2022-07-25,1457.0,1500.0,1430.0,1498.9,LICN
2022-07-26,1500.0,1525.0,1469.0,1499.0,LICN
2022-07-27,1489.0,1524.0,1474.0,1485.0,LICN
2022-07-28,1514.7,1567.0,1481.1,1509.0,LICN
2022-07-29,1535.0,1535.0,1480.0,1490.0,LICN
2022-07-31,1516.0,1555.0,1475.0,1537.1,LICN
2022-08-01,1507.0,1655.0,1507.0,1545.0,LICN
2022-08-02,1545.0,1564.0,1516.0,1536.0,LICN
2022-08-03,1549.0,1566.0,1508.0,1524.0,LICN
2022-08-04,1508.0,1519.0,1475.0,1487.0,LICN
2022-08-05,1470.0,1499.0,1458.0,1467.0,LICN
2022-08-07,1489.5,1489.5,1450.0,1478.0,LICN
2022-08-08,1453.1,1495.0,1446.1,1447.0,LICN
2022-08-09,1434.6,1455.0,1411.2,1436.0,LICN
2022-08-10,1428.0,1437.1,1412.2,1427.0,LICN
2022-08-11,1435.0,1440.0,1420.0,1422.1,LICN
2022-08-14,1400.0,1426.0,1381.0,1390.0,LICN
2022-08-15,1362.2,1400.0,1335.0,1400.0,LICN
2022-08-16,1405.0,1415.0,1370.0,1394.9,LICN
2022-08-17,1370.2,1397.0,1362.2,1389.9,LICN
2022-08-18,1389.9,1409.4,1370.0,1408.0,LICN
2022-08-21,1435.0,1435.0,1385.0,1399.9,LICN
2022-08-22,1395.0,1412.0,1370.0,1389.0,LICN
2022-08-23,1382.0,1396.9,1365.0,1378.0,LICN
2022-08-24,1378.0,1384.9,1365.0,1368.1,LICN
2022-08-25,1369.0,1383.0,1350.0,1363.9,LICN
2022-08-26,1341.0,1500.0,1341.0,1445.0,LICN
2022-08-28,1473.0,1490.0,1409.3,1431.0,LICN
2022-08-29,1459.0,1459.0,1405.0,1433.9,LICN
2022-08-30,1462.5,1551.0,1425.0,1434.9,LICN
2022-08-31,1463.5,1464.0,1372.0,1379.0,LICN
2022-09-01,1406.0,1430.0,1375.0,1420.0,LICN
2022-09-02,1420.0,1438.0,1387.1,1410.0,LICN
2022-09-04,1430.0,1438.0,1385.0,1403.0,LICN
2022-09-05,1431.0,1450.0,1368.1,1420.0,LICN
2022-09-06,1392.0,1406.0,1379.0,1405.9,LICN
2022-09-07,1398.0,1398.0,1363.2,1384.0,LICN
2022-09-08,1390.0,1390.0,1360.0,1365.0,LICN
2022-09-11,1390.0,1390.0,1341.0,1359.0,LICN
2022-09-12,1340.0,1358.0,1319.0,1330.0,LICN
2022-09-13,1350.0,1350.0,1323.0,1336.9,LICN
2022-09-14,1363.6,1365.0,1321.0,1353.9,LICN
2022-09-15,1345.0,1368.0,1295.6,1304.0,LICN
2022-09-16,1298.0,1356.0,1270.0,1356.0,LICN
2022-09-18,1329.0,1346.0,1278.2,1284.8,LICN
2022-09-20,1300.0,1300.0,1231.0,1252.0,LICN
2022-09-21,1263.9,1263.9,1227.0,1250.0,LICN
2022-09-22,1250.0,1250.0,1226.0,1243.0,LICN
2022-09-25,1240.0,1240.0,1210.0,1210.0,LICN
2022-09-27,1234.2,1281.0,1225.0,1225.1,LICN
2022-09-28,1249.0,1268.0,1210.3,1245.0,LICN
2022-09-29,1259.7,1259.7,1211.1,1240.0,LICN
2022-10-09,1263.0,1285.0,1226.1,1285.0,LICN
2022-10-10,1310.7,1310.7,1233.8,1265.0,LICN
2022-10-11,1250.0,1255.0,1221.1,1229.0,LICN
2022-10-12,1229.0,1243.0,1220.0,1240.0,LICN
2022-10-13,1241.0,1249.9,1207.0,1249.9,LICN
2022-10-16,1225.0,1244.5,1214.0,1225.0,LICN
2022-10-17,1238.0,1240.0,1200.0,1200.0,LICN
2022-10-19,1205.1,1208.0,1183.0,1204.9,LICN
2022-10-20,1224.0,1224.0,1185.0,1222.0,LICN
2022-10-23,1222.0,1229.9,1205.0,1219.9,LICN
2022-10-31,1215.0,1229.0,1210.0,1229.0,LICN
