date,open,high,low,close,symbol
2021-08-25,2320.0,2320.0,2255.0,2255.0,LLBS
2021-08-26,2260.0,2280.0,2230.0,2231.0,LLBS
2021-08-29,2215.0,2215.0,2160.0,2192.0,LLBS
2021-08-31,2200.0,2200.0,2115.0,2115.0,LLBS
2021-09-01,2157.3,2170.0,2081.0,2135.0,LLBS
2021-09-02,2135.0,2165.0,2080.0,2121.6,LLBS
2021-09-05,2079.2,2080.0,1950.0,2080.0,LLBS
2021-09-06,2039.1,2140.0,1965.0,2140.0,LLBS
2021-09-07,2178.0,2179.0,2040.0,2040.0,LLBS
2021-09-08,2040.0,2206.0,1970.0,2040.0,LLBS
2021-09-09,2080.0,2118.0,2002.0,2030.0,LLBS
2021-09-12,2001.0,2153.0,2001.0,2086.0,LLBS
2021-09-13,2127.7,2127.7,2040.0,2058.0,LLBS
2021-09-14,2017.0,2225.0,1977.0,2089.0,LLBS
2021-09-15,2127.0,2127.0,2040.0,2070.0,LLBS
2021-09-16,2029.0,2029.0,1960.0,1987.5,LLBS
2021-09-20,1948.0,2027.0,1900.0,2027.0,LLBS
2021-09-21,2020.0,2067.0,1906.6,1985.0,LLBS
2021-09-22,1985.0,2050.0,1985.0,2017.0,LLBS
2021-09-23,2017.0,2040.0,1985.0,1991.0,LLBS
2021-09-26,1991.0,1991.0,1903.0,1920.0,LLBS
2021-09-27,1945.0,1945.0,1851.0,1880.0,LLBS
2021-09-28,1850.0,1880.0,1800.0,1830.0,LLBS
2021-09-29,1830.0,1863.9,1806.0,1863.9,LLBS
2021-09-30,1901.0,1901.0,1793.4,1831.0,LLBS
2021-10-03,1867.6,1942.0,1790.0,1800.0,LLBS
2021-10-04,1836.0,1836.0,1764.0,1830.0,LLBS
2021-10-05,1830.0,1898.0,1820.0,1838.0,LLBS
2021-10-06,1858.0,1945.0,1858.0,1895.0,LLBS
2021-10-10,1932.0,1978.0,1867.0,1882.0,LLBS
2021-10-11,1860.0,1870.0,1794.4,1844.7,LLBS
2021-10-17,1879.0,1879.0,1810.0,1850.0,LLBS
2021-10-18,1850.0,1850.0,1748.1,1752.0,LLBS
2021-10-19,1752.0,1752.0,1701.0,1740.0,LLBS
2021-10-20,1774.8,1799.9,1711.0,1759.0,LLBS
2021-10-21,1770.0,1789.0,1726.0,1750.0,LLBS
2021-10-24,1777.0,1779.9,1715.0,1741.0,LLBS
2021-10-25,1774.0,1809.0,1770.0,1797.0,LLBS
2021-10-26,1832.9,1836.0,1797.2,1828.0,LLBS
2021-10-27,1820.0,1897.2,1794.0,1860.0,LLBS
2021-10-28,1880.0,1907.0,1870.0,1907.0,LLBS
2021-10-31,1930.0,1970.0,1930.0,1959.0,LLBS
2021-11-01,1998.0,1998.0,1895.0,1900.0,LLBS
2021-11-02,1938.0,1964.0,1915.0,1956.0,LLBS
2021-11-03,1961.0,2006.0,1950.0,2006.0,LLBS
2021-11-08,2006.0,2035.0,2006.0,2011.0,LLBS
2021-11-09,2000.0,2000.0,1930.0,1930.0,LLBS
2021-11-11,1921.0,1921.0,1853.0,1885.0,LLBS
2021-11-14,1900.0,1960.0,1870.0,1925.0,LLBS
2021-11-15,1960.0,1974.0,1925.0,1930.6,LLBS
2021-11-16,1641.0,1660.1,1580.0,1628.0,LLBS
2021-11-17,1660.5,1660.5,1600.0,1600.0,LLBS
2021-11-18,1575.0,1632.0,1560.0,1591.0,LLBS
2021-11-21,1599.0,1622.0,1599.0,1600.0,LLBS
2021-11-22,1601.0,1618.0,1590.0,1595.0,LLBS
2021-11-23,1595.0,1595.0,1563.1,1575.0,LLBS
2021-11-24,1551.0,1580.0,1550.0,1575.0,LLBS
2021-11-25,1606.5,1606.5,1575.0,1575.0,LLBS
2021-11-28,1544.0,1544.0,1495.0,1495.0,LLBS
2021-11-29,1495.0,1495.0,1467.0,1493.0,LLBS
2021-11-30,1466.0,1475.0,1460.0,1475.0,LLBS
2021-12-01,1504.5,1504.5,1445.0,1445.0,LLBS
2021-12-02,1435.0,1450.0,1431.0,1431.0,LLBS
2021-12-05,1410.0,1410.0,1380.0,1400.0,LLBS
2021-12-06,1400.0,1425.0,1376.5,1409.4,LLBS
2021-12-07,1410.0,1433.0,1381.0,1381.0,LLBS
2021-12-08,1381.0,1382.0,1328.3,1328.3,LLBS
2021-12-09,1325.0,1352.0,1325.0,1344.9,LLBS
2021-12-12,1319.0,1320.0,1297.0,1297.0,LLBS
2021-12-13,1273.0,1274.0,1205.0,1216.0,LLBS
2021-12-14,1240.0,1260.0,1225.0,1260.0,LLBS
2021-12-15,1285.2,1347.0,1260.0,1285.0,LLBS
2021-12-16,1285.0,1305.0,1261.0,1301.0,LLBS
2021-12-20,1327.0,1327.0,1290.0,1299.0,LLBS
2021-12-21,1305.0,1348.0,1305.0,1310.0,LLBS
2021-12-22,1310.0,1349.0,1292.0,1345.0,LLBS
2021-12-23,1371.9,1410.0,1365.0,1400.0,LLBS
2021-12-26,1427.0,1453.0,1400.0,1449.0,LLBS
2021-12-27,1477.9,1477.9,1400.0,1400.0,LLBS
2021-12-28,1380.0,1420.0,1376.0,1414.0,LLBS
2021-12-29,1414.0,1415.0,1401.0,1401.0,LLBS
2022-01-02,1410.0,1448.0,1400.0,1448.0,LLBS
2022-01-03,1420.0,1518.0,1420.0,1518.0,LLBS
2022-01-04,1490.0,1568.0,1490.0,1559.0,LLBS
2022-01-05,1564.0,1564.0,1495.0,1510.0,LLBS
2022-01-06,1510.0,1533.0,1486.0,1520.0,LLBS
2022-01-09,1550.0,1608.0,1530.0,1580.0,LLBS
2022-01-10,1605.0,1605.0,1577.0,1595.0,LLBS
2022-01-11,1600.0,1662.0,1582.0,1643.0,LLBS
2022-01-12,1645.0,1675.0,1620.0,1670.0,LLBS
2022-01-13,1638.0,1710.0,1637.0,1710.0,LLBS
2022-01-16,1723.0,1745.0,1700.0,1735.0,LLBS
2022-01-17,1701.0,1733.0,1700.0,1720.0,LLBS
2022-01-18,1747.0,1747.0,1685.1,1698.0,LLBS
2022-01-19,1699.0,1699.0,1669.0,1670.0,LLBS
2022-01-20,1670.0,1670.0,1646.0,1663.2,LLBS
2022-01-23,1696.0,1696.0,1664.0,1665.0,LLBS
2022-01-24,1635.0,1635.0,1590.0,1620.0,LLBS
2022-01-25,1587.6,1648.0,1557.0,1600.0,LLBS
2022-01-26,1600.0,1600.0,1550.0,1580.0,LLBS
2022-01-27,1580.0,1580.0,1548.4,1579.9,LLBS
2022-01-30,1611.0,1611.0,1580.0,1600.0,LLBS
2022-01-31,1620.0,1620.0,1564.0,1564.0,LLBS
2022-02-01,1551.0,1620.0,1550.0,1600.0,LLBS
2022-02-03,1620.0,1629.2,1575.0,1588.0,LLBS
2022-02-06,1561.0,1574.0,1551.0,1573.0,LLBS
2022-02-07,1575.0,1580.0,1560.0,1570.0,LLBS
2022-02-08,1601.0,1601.0,1550.0,1566.0,LLBS
2022-02-09,1567.0,1567.0,1534.8,1535.0,LLBS
2022-02-10,1535.0,1535.0,1505.0,1513.0,LLBS
2022-02-13,1482.8,1482.8,1438.0,1440.0,LLBS
2022-02-14,1468.8,1478.8,1431.0,1450.0,LLBS
2022-02-15,1477.0,1508.0,1441.0,1508.0,LLBS
2022-02-16,1529.0,1529.0,1465.0,1495.0,LLBS
2022-02-17,1494.0,1496.0,1466.1,1494.0,LLBS
2022-02-20,1468.0,1469.0,1439.0,1460.0,LLBS
2022-02-21,1479.0,1479.0,1443.2,1470.0,LLBS
2022-02-22,1497.0,1499.3,1470.0,1471.0,LLBS
2022-02-23,1471.0,1472.0,1445.0,1460.0,LLBS
2022-02-24,1433.0,1433.0,1384.0,1400.0,LLBS
2022-02-27,1385.0,1412.0,1384.0,1384.0,LLBS
2022-02-28,1370.0,1380.0,1362.0,1365.0,LLBS
2022-03-02,1341.0,1342.1,1305.1,1314.0,LLBS
2022-03-06,1312.0,1350.0,1300.0,1321.3,LLBS
2022-03-07,1347.7,1351.0,1320.8,1331.0,LLBS
2022-03-09,1331.0,1332.0,1310.0,1332.0,LLBS
2022-03-10,1330.0,1354.0,1330.0,1352.0,LLBS
2022-03-13,1379.0,1400.9,1366.0,1400.0,LLBS
2022-03-14,1400.0,1400.0,1376.0,1376.0,LLBS
2022-03-15,1380.0,1400.0,1367.0,1400.0,LLBS
2022-03-16,1375.0,1419.9,1375.0,1415.0,LLBS
2022-03-20,1386.7,1400.0,1386.7,1390.0,LLBS
2022-03-21,1370.0,1397.0,1370.0,1386.0,LLBS
2022-03-22,1413.7,1428.9,1400.0,1412.0,LLBS
2022-03-23,1429.0,1430.0,1410.0,1420.0,LLBS
2022-03-24,1400.0,1420.0,1392.0,1400.0,LLBS
2022-03-27,1400.0,1400.0,1374.0,1399.0,LLBS
2022-03-28,1380.0,1388.0,1360.0,1380.0,LLBS
2022-03-29,1355.0,1359.0,1350.0,1359.0,LLBS
2022-03-30,1352.0,1400.0,1352.0,1400.0,LLBS
2022-03-31,1414.0,1415.0,1362.0,1401.0,LLBS
2022-04-03,1379.0,1379.0,1379.0,1379.0,LLBS
2022-04-04,1360.0,1379.0,1345.0,1378.0,LLBS
2022-04-05,1380.0,1380.0,1320.1,1345.0,LLBS
