date,open,high,low,close,symbol
2023-10-11,373.2,410.5,373.2,410.5,MANDU
2023-10-12,418.7,451.5,402.0,440.1,MANDU
2023-10-16,431.3,431.3,396.1,407.5,MANDU
2023-10-17,407.5,432.0,407.5,429.6,MANDU
2023-10-18,425.0,460.0,416.5,450.1,MANDU
2023-10-19,450.1,457.0,441.1,446.8,MANDU
2023-10-29,437.9,437.9,421.1,431.5,MANDU
2023-10-30,423.1,454.0,423.1,441.5,MANDU
2023-10-31,440.0,445.2,433.1,442.0,MANDU
2023-11-01,435.0,448.8,435.0,438.0,MANDU
2023-11-02,431.0,436.0,431.0,434.0,MANDU
2023-11-05,435.0,435.0,415.0,424.8,MANDU
2023-11-06,420.0,439.0,417.6,427.0,MANDU
2023-11-07,420.1,445.0,420.1,431.1,MANDU
2023-11-08,439.5,468.0,439.0,460.0,MANDU
2023-11-09,463.0,465.0,446.7,452.0,MANDU
2023-11-20,445.0,474.0,443.0,462.0,MANDU
2023-11-21,459.0,464.8,446.0,462.0,MANDU
2023-11-22,452.9,492.0,452.9,484.5,MANDU
2023-11-23,475.0,520.0,471.0,515.0,MANDU
2023-11-26,510.0,534.0,501.0,531.0,MANDU
2023-11-27,520.4,530.0,497.1,515.2,MANDU
2023-11-28,505.0,525.0,504.9,514.0,MANDU
2023-11-29,520.0,545.0,503.9,523.0,MANDU
2023-11-30,533.4,533.4,499.8,501.2,MANDU
2023-12-03,500.0,508.0,492.0,500.0,MANDU
2023-12-04,495.0,515.0,493.0,506.0,MANDU
2023-12-05,500.0,510.0,485.2,486.0,MANDU
2023-12-06,495.0,504.0,481.0,485.0,MANDU
2023-12-07,475.3,512.0,475.3,507.0,MANDU
2023-12-10,510.0,530.0,510.0,516.0,MANDU
2023-12-11,526.0,536.5,506.0,513.5,MANDU
2023-12-12,510.0,535.3,506.0,529.5,MANDU
2023-12-13,539.0,573.0,522.0,554.1,MANDU
2023-12-14,544.0,575.2,544.0,555.0,MANDU
2023-12-17,544.0,575.0,534.0,575.0,MANDU
2023-12-18,570.0,579.0,550.0,553.0,MANDU
2023-12-19,550.1,572.0,545.0,568.9,MANDU
2023-12-20,580.2,605.0,563.0,592.0,MANDU
2023-12-21,581.0,651.2,581.0,651.0,MANDU
2023-12-24,651.0,716.1,642.1,687.0,MANDU
2023-12-27,700.7,701.0,661.2,685.0,MANDU
2023-12-28,685.0,707.0,666.2,704.9,MANDU
2024-01-01,704.9,747.6,686.0,701.0,MANDU
2024-01-02,687.0,707.8,670.1,707.8,MANDU
2024-01-03,695.0,720.1,673.0,720.1,MANDU
2024-01-04,720.0,775.0,706.0,775.0,MANDU
2024-01-07,782.0,805.8,745.0,795.6,MANDU
2024-01-08,779.7,786.4,762.3,777.0,MANDU
2024-01-09,782.0,782.0,736.0,736.0,MANDU
2024-01-10,722.0,752.0,715.0,728.4,MANDU
2024-01-11,728.4,742.9,707.0,721.0,MANDU
2024-01-14,715.0,746.0,715.0,736.0,MANDU
2024-01-16,746.0,759.9,721.7,750.0,MANDU
2024-01-17,765.0,765.0,719.1,736.0,MANDU
2024-01-18,722.0,729.0,708.0,715.0,MANDU
2024-01-21,722.0,749.9,709.0,709.4,MANDU
2024-01-22,700.1,720.0,690.1,710.0,MANDU
2024-01-23,696.0,722.0,689.0,700.0,MANDU
2024-01-24,687.1,714.0,685.0,700.0,MANDU
2024-01-25,686.0,699.0,680.0,699.0,MANDU
2024-01-28,700.0,710.0,683.0,701.0,MANDU
2024-01-29,689.0,715.0,689.0,704.9,MANDU
2024-01-30,692.0,734.0,692.0,707.0,MANDU
2024-01-31,700.0,721.0,696.0,696.0,MANDU
2024-02-01,688.0,696.0,682.1,684.0,MANDU
2024-02-04,690.0,691.5,671.1,673.0,MANDU
2024-02-05,670.0,689.0,670.0,683.0,MANDU
2024-02-06,685.0,700.0,670.0,689.0,MANDU
2024-02-07,702.7,702.7,682.0,692.0,MANDU
2024-02-08,690.0,705.0,686.1,700.0,MANDU
2024-02-11,710.0,726.0,693.1,703.0,MANDU
2024-02-12,692.0,709.0,692.0,707.0,MANDU
2024-02-13,693.2,730.3,693.2,721.8,MANDU
2024-02-14,734.0,736.2,712.1,730.0,MANDU
2024-02-15,730.0,739.0,705.0,715.0,MANDU
2024-02-18,700.7,715.0,692.0,696.0,MANDU
2024-02-20,696.0,713.0,692.0,708.0,MANDU
2024-02-21,720.0,720.0,690.7,706.0,MANDU
2024-02-22,699.0,700.0,681.0,700.0,MANDU
2024-02-25,700.0,700.0,670.0,687.0,MANDU
2024-02-26,690.0,700.0,663.6,690.0,MANDU
2024-02-27,676.2,690.0,668.0,689.7,MANDU
2024-02-28,676.0,689.0,667.5,687.0,MANDU
2024-02-29,673.4,683.3,658.0,670.0,MANDU
2024-03-03,657.1,661.0,648.6,654.0,MANDU
2024-03-04,667.0,693.6,667.0,693.0,MANDU
2024-03-05,706.8,706.8,663.0,667.0,MANDU
2024-03-06,655.0,677.0,654.3,672.0,MANDU
2024-03-07,680.0,680.0,658.0,675.0,MANDU
2024-03-10,663.6,679.0,663.6,678.0,MANDU
2024-03-12,672.1,702.9,672.0,702.9,MANDU
2024-03-13,690.3,704.0,690.0,703.0,MANDU
2024-03-14,700.0,713.7,690.0,713.7,MANDU
2024-03-17,700.0,708.0,688.0,700.0,MANDU
2024-03-18,687.0,700.0,680.0,683.6,MANDU
2024-03-19,681.0,751.9,680.1,719.2,MANDU
2024-03-20,706.0,715.0,694.1,706.0,MANDU
2024-03-21,720.1,720.1,683.4,690.0,MANDU
2024-03-25,677.0,699.8,675.2,680.0,MANDU
2024-03-26,670.0,687.5,670.0,686.5,MANDU
