date,open,high,low,close,symbol
2024-08-13,1303.9,1406.2,1303.9,1406.2,MATRI
2024-08-14,1434.3,1546.8,1434.3,1546.8,MATRI
2024-08-15,1577.7,1701.4,1577.7,1682.5,MATRI
2024-08-18,1716.0,1716.0,1555.0,1555.0,MATRI
2024-08-21,1555.0,1580.0,1445.0,1462.0,MATRI
2024-08-22,1435.0,1485.0,1433.0,1465.0,MATRI
2024-08-25,1465.0,1599.0,1425.0,1480.0,MATRI
2024-08-27,1470.0,1498.0,1425.0,1430.0,MATRI
2024-08-28,1450.0,1487.0,1400.0,1405.0,MATRI
2024-08-29,1395.0,1431.0,1360.0,1361.0,MATRI
2024-09-01,1388.0,1435.0,1345.0,1351.0,MATRI
2024-09-02,1340.4,1397.4,1340.4,1397.4,MATRI
2024-09-03,1410.1,1537.1,1410.1,1537.1,MATRI
2024-09-04,1567.8,1690.8,1540.0,1551.0,MATRI
2024-09-05,1520.0,1599.0,1490.0,1569.8,MATRI
2024-09-08,1569.8,1600.0,1500.0,1500.0,MATRI
2024-09-09,1500.0,1528.0,1412.0,1528.0,MATRI
2024-09-10,1558.2,1558.2,1446.0,1490.0,MATRI
2024-09-11,1460.2,1488.7,1431.0,1443.0,MATRI
2024-09-12,1470.0,1587.0,1441.0,1500.0,MATRI
2024-09-15,1499.0,1520.0,1460.0,1490.0,MATRI
2024-09-16,1467.1,1475.0,1413.0,1475.0,MATRI
2024-09-18,1500.0,1505.0,1421.0,1460.0,MATRI
2024-09-22,1488.0,1517.0,1415.0,1466.0,MATRI
2024-09-23,1436.7,1540.0,1410.0,1540.0,MATRI
2024-09-24,1509.2,1509.2,1415.0,1458.0,MATRI
2024-09-25,1428.9,1514.0,1400.4,1466.0,MATRI
2024-09-26,1436.7,1523.0,1408.0,1449.4,MATRI
2024-09-29,1420.5,1445.0,1401.0,1443.0,MATRI
2024-09-30,1415.2,1451.0,1400.1,1450.0,MATRI
2024-10-01,1421.0,1470.0,1402.0,1470.0,MATRI
2024-10-02,1440.9,1478.0,1420.0,1454.0,MATRI
2024-10-06,1425.0,1484.0,1425.0,1479.0,MATRI
2024-10-07,1449.5,1505.0,1420.6,1449.0,MATRI
2024-10-08,1420.1,1449.0,1420.1,1435.0,MATRI
2024-10-09,1420.0,1446.5,1420.0,1440.0,MATRI
2024-10-15,1458.9,1458.9,1425.0,1450.0,MATRI
2024-10-16,1421.0,1460.0,1421.0,1459.0,MATRI
2024-10-17,1451.0,1457.0,1431.1,1432.0,MATRI
2024-10-20,1460.6,1460.6,1412.0,1412.0,MATRI
2024-10-21,1393.0,1430.0,1390.0,1395.0,MATRI
2024-10-22,1380.1,1415.0,1380.1,1413.0,MATRI
2024-10-23,1390.0,1417.8,1390.0,1405.0,MATRI
2024-10-24,1386.0,1409.0,1381.6,1400.0,MATRI
2024-10-27,1385.0,1400.0,1381.1,1390.0,MATRI
2024-10-28,1400.0,1412.0,1383.0,1412.0,MATRI
2024-10-29,1400.0,1428.0,1400.0,1425.0,MATRI
2024-10-30,1425.0,1425.0,1391.0,1395.0,MATRI
2024-11-05,1367.1,1421.0,1367.1,1420.9,MATRI
2024-11-06,1420.0,1425.0,1394.0,1405.0,MATRI
2024-11-10,1381.0,1450.0,1381.0,1450.0,MATRI
2024-11-11,1425.0,1482.0,1425.0,1453.0,MATRI
2024-11-12,1425.0,1479.8,1425.0,1432.1,MATRI
2024-11-13,1415.0,1450.0,1410.0,1412.0,MATRI
2024-11-14,1406.0,1438.0,1391.0,1405.0,MATRI
2024-11-17,1401.0,1461.6,1401.0,1410.0,MATRI
2024-11-19,1410.0,1430.0,1392.0,1400.0,MATRI
2024-11-20,1393.0,1410.0,1391.0,1406.0,MATRI
2024-11-21,1405.0,1420.0,1380.0,1380.0,MATRI
2024-11-24,1385.0,1395.0,1370.0,1384.0,MATRI
2024-11-25,1381.2,1397.0,1369.1,1375.0,MATRI
2024-11-26,1348.6,1385.0,1348.6,1379.9,MATRI
2024-11-27,1390.0,1400.0,1375.0,1388.0,MATRI
2024-11-28,1391.0,1394.0,1370.0,1372.0,MATRI
2024-12-01,1345.0,1360.0,1341.0,1343.0,MATRI
2024-12-02,1343.0,1369.8,1340.0,1347.0,MATRI
2024-12-03,1350.0,1360.0,1341.1,1342.0,MATRI
2024-12-04,1345.0,1355.0,1335.0,1336.0,MATRI
2024-12-05,1337.0,1337.0,1315.0,1315.0,MATRI
2024-12-08,1315.5,1315.5,1295.0,1300.0,MATRI
2024-12-09,1290.0,1301.0,1281.0,1292.0,MATRI
2024-12-10,1317.0,1317.0,1275.0,1278.0,MATRI
2024-12-11,1267.0,1290.0,1242.0,1282.5,MATRI
2024-12-12,1282.5,1310.0,1274.1,1274.1,MATRI
2024-12-16,1299.5,1299.5,1250.5,1254.0,MATRI
2024-12-17,1254.0,1270.0,1245.0,1258.0,MATRI
2024-12-18,1262.0,1283.0,1250.1,1265.0,MATRI
2024-12-19,1250.0,1275.0,1245.0,1258.9,MATRI
2024-12-22,1246.0,1255.0,1223.2,1244.6,MATRI
2024-12-23,1269.4,1269.4,1235.0,1240.0,MATRI
2024-12-24,1240.0,1260.0,1240.0,1250.0,MATRI
2024-12-26,1250.0,1257.0,1245.3,1255.0,MATRI
2024-12-29,1255.0,1320.0,1247.1,1280.0,MATRI
2024-12-31,1254.4,1289.0,1240.1,1260.0,MATRI
2025-01-01,1260.0,1260.0,1235.0,1257.0,MATRI
2025-01-02,1278.0,1278.0,1233.0,1256.0,MATRI
2025-01-05,1232.5,1256.9,1232.3,1236.0,MATRI
2025-01-06,1258.0,1260.0,1236.0,1237.3,MATRI
2025-01-07,1231.0,1256.0,1231.0,1250.0,MATRI
2025-01-08,1275.0,1290.0,1251.2,1264.9,MATRI
2025-01-09,1244.1,1278.0,1242.0,1242.0,MATRI
2025-01-12,1263.0,1263.0,1230.1,1230.1,MATRI
2025-01-13,1229.0,1245.0,1212.0,1212.0,MATRI
2025-01-15,1212.0,1236.0,1195.2,1199.9,MATRI
2025-01-16,1200.0,1200.0,1172.3,1172.4,MATRI
2025-01-19,1150.0,1212.0,1150.0,1171.0,MATRI
2025-01-20,1151.1,1190.5,1151.1,1170.0,MATRI
2025-01-21,1170.0,1190.0,1165.0,1165.0,MATRI
2025-01-22,1175.0,1185.0,1170.0,1175.6,MATRI
2025-01-23,1161.0,1204.0,1161.0,1188.0,MATRI
2025-01-26,1200.0,1207.0,1190.0,1192.0,MATRI
2025-01-27,1200.0,1215.0,1180.0,1192.9,MATRI
2025-01-28,1170.3,1214.9,1170.0,1189.5,MATRI
2025-02-02,1213.0,1308.4,1190.1,1291.0,MATRI
2025-02-03,1313.0,1339.0,1286.0,1287.0,MATRI
2025-02-04,1262.1,1280.0,1260.0,1268.0,MATRI
2025-02-05,1251.0,1258.0,1242.0,1256.0,MATRI
2025-02-06,1257.0,1270.0,1233.0,1247.0,MATRI
2025-02-09,1247.0,1255.0,1231.2,1240.0,MATRI
2025-02-10,1240.0,1285.0,1235.1,1241.0,MATRI
2025-02-11,1265.0,1265.0,1239.9,1250.0,MATRI
2025-02-12,1275.0,1297.0,1250.0,1280.0,MATRI
2025-02-13,1285.0,1408.0,1255.4,1408.0,MATRI
2025-02-16,1436.1,1464.8,1370.0,1409.0,MATRI
2025-02-17,1430.0,1430.0,1365.0,1386.5,MATRI
2025-02-18,1407.0,1407.0,1367.1,1367.1,MATRI
2025-02-20,1360.0,1410.0,1350.0,1362.3,MATRI
2025-02-23,1340.2,1371.9,1333.0,1349.9,MATRI
2025-02-24,1360.0,1370.1,1327.1,1350.0,MATRI
2025-02-25,1332.0,1352.0,1325.0,1348.0,MATRI
2025-02-27,1374.0,1374.0,1333.0,1350.0,MATRI
2025-03-02,1340.0,1365.0,1330.0,1359.0,MATRI
2025-03-03,1333.0,1362.0,1333.0,1340.0,MATRI
2025-03-04,1340.0,1340.0,1309.0,1317.0,MATRI
2025-03-05,1324.0,1410.0,1300.0,1326.0,MATRI
2025-03-06,1325.0,1326.0,1300.1,1320.0,MATRI
2025-03-09,1328.9,1329.0,1290.0,1319.9,MATRI
2025-03-10,1293.6,1320.0,1276.7,1296.0,MATRI
2025-03-11,1270.1,1294.0,1244.7,1289.0,MATRI
2025-03-12,1308.0,1333.0,1257.0,1299.0,MATRI
2025-03-16,1273.1,1322.0,1247.0,1288.0,MATRI
2025-03-17,1264.0,1288.0,1246.0,1271.0,MATRI
2025-03-18,1251.1,1269.9,1247.0,1247.2,MATRI
2025-03-19,1245.0,1320.0,1227.0,1240.1,MATRI
2025-03-20,1264.9,1315.0,1221.0,1242.79,MATRI
2025-03-23,1250.5,1250.5,1202.0,1203.0,MATRI
2025-03-24,1203.0,1215.0,1190.0,1211.18,MATRI
2025-03-25,1230.0,1230.0,1166.0,1169.89,MATRI
2025-03-26,1169.0,1200.0,1169.0,1184.46,MATRI
2025-03-27,1198.0,1269.1,1176.1,1215.53,MATRI
2025-03-30,1219.5,1235.0,1203.0,1230.52,MATRI
2025-04-01,1210.0,1257.0,1196.0,1239.73,MATRI
2025-04-02,1215.0,1313.0,1215.0,1253.44,MATRI
2025-04-03,1228.4,1269.0,1200.0,1230.33,MATRI
2025-04-07,1230.33,1230.33,1204.0,1205.88,MATRI
2025-04-08,1220.0,1220.0,1190.0,1199.21,MATRI
2025-04-09,1191.0,1262.0,1191.0,1195.98,MATRI
2025-04-10,1198.1,1269.0,1180.2,1225.52,MATRI
2025-04-13,1250.0,1250.0,1196.2,1214.71,MATRI
2025-04-15,1205.0,1230.0,1205.0,1209.54,MATRI
2025-04-16,1200.0,1224.0,1200.0,1209.27,MATRI
2025-04-17,1192.0,1218.8,1192.0,1209.67,MATRI
2025-04-20,1200.0,1224.0,1192.0,1204.89,MATRI
2025-04-21,1180.8,1277.0,1180.8,1199.92,MATRI
2025-04-22,1220.0,1220.0,1187.0,1199.0,MATRI
2025-04-23,1183.0,1194.9,1180.0,1180.5,MATRI
2025-04-24,1171.0,1204.0,1171.0,1178.09,MATRI
2025-04-27,1180.0,1182.0,1150.1,1152.94,MATRI
2025-04-28,1150.0,1192.0,1132.0,1158.34,MATRI
2025-04-29,1160.0,1175.0,1151.0,1159.0,MATRI
2025-04-30,1160.0,1268.0,1143.0,1243.78,MATRI
2025-05-04,1220.0,1220.0,1170.9,1180.38,MATRI
2025-05-05,1199.0,1199.0,1140.0,1146.01,MATRI
2025-05-06,1167.0,1173.0,1149.0,1161.09,MATRI
2025-05-07,1150.0,1180.0,1140.0,1175.59,MATRI
2025-05-08,1161.0,1193.0,1160.1,1187.2,MATRI
2025-05-11,1187.2,1193.0,1165.1,1191.74,MATRI
2025-05-13,1215.5,1215.5,1166.5,1179.0,MATRI
2025-05-14,1202.5,1226.0,1156.0,1179.0,MATRI
2025-05-15,1169.0,1181.0,1152.0,1157.79,MATRI
2025-05-18,1174.9,1197.9,1155.0,1191.66,MATRI
2025-05-19,1168.0,1209.0,1168.0,1174.3,MATRI
2025-05-20,1151.0,1285.0,1151.0,1266.22,MATRI
2025-05-21,1267.0,1267.0,1180.0,1187.68,MATRI
2025-05-22,1175.0,1233.9,1175.0,1199.89,MATRI
2025-05-25,1175.9,1244.0,1175.9,1218.56,MATRI
2025-05-26,1240.0,1264.0,1200.2,1212.03,MATRI
2025-05-27,1200.0,1215.0,1197.0,1212.79,MATRI
2025-05-28,1197.0,1237.0,1192.0,1210.36,MATRI
2025-06-02,1234.5,1284.2,1191.0,1201.5,MATRI
2025-06-03,1201.5,1224.0,1178.0,1220.45,MATRI
2025-06-04,1244.8,1244.8,1178.0,1186.76,MATRI
2025-06-05,1210.0,1234.0,1163.9,1172.46,MATRI
2025-06-08,1165.0,1166.1,1155.0,1155.12,MATRI
2025-06-09,1160.0,1200.0,1150.0,1175.49,MATRI
2025-06-10,1177.0,1227.0,1165.0,1201.18,MATRI
2025-06-11,1177.6,1203.6,1140.0,1174.76,MATRI
2025-06-12,1152.2,1185.0,1152.2,1165.0,MATRI
2025-06-15,1145.0,1192.5,1145.0,1188.12,MATRI
2025-06-16,1170.0,1207.0,1161.1,1199.3,MATRI
2025-06-17,1176.0,1203.6,1170.0,1179.15,MATRI
2025-06-18,1156.1,1202.0,1156.1,1162.41,MATRI
2025-06-19,1185.0,1185.0,1152.0,1158.45,MATRI
2025-06-22,1150.0,1166.9,1144.1,1150.0,MATRI
2025-06-23,1150.0,1170.0,1138.0,1160.55,MATRI
2025-06-24,1141.0,1150.1,1141.0,1149.01,MATRI
2025-06-25,1150.0,1157.0,1130.0,1130.59,MATRI
2025-06-26,1150.0,1150.0,1125.0,1144.41,MATRI
2025-06-29,1126.2,1160.0,1126.2,1155.95,MATRI
2025-06-30,1147.1,1185.0,1135.1,1160.3,MATRI
2025-07-01,1161.0,1179.0,1142.0,1169.39,MATRI
2025-07-02,1160.0,1198.9,1160.0,1192.07,MATRI
2025-07-03,1198.0,1198.0,1175.0,1179.9,MATRI
2025-07-06,1157.0,1196.5,1150.0,1156.83,MATRI
2025-07-07,1137.0,1205.6,1137.0,1144.88,MATRI
2025-07-08,1163.0,1167.7,1140.0,1141.98,MATRI
2025-07-09,1136.9,1160.0,1136.9,1149.67,MATRI
2025-07-10,1170.0,1170.0,1150.0,1163.42,MATRI
2025-07-13,1186.6,1234.0,1170.0,1178.91,MATRI
2025-07-14,1160.0,1175.0,1160.0,1165.0,MATRI
2025-07-15,1164.0,1179.0,1160.0,1169.0,MATRI
2025-07-16,1192.0,1212.8,1169.5,1204.85,MATRI
2025-07-17,1180.8,1254.0,1180.8,1249.19,MATRI
2025-07-20,1224.3,1347.0,1224.3,1269.87,MATRI
2025-07-21,1244.5,1294.6,1225.2,1231.51,MATRI
2025-07-22,1250.0,1290.0,1246.0,1256.28,MATRI
2025-07-23,1278.5,1278.5,1217.0,1241.69,MATRI
2025-07-24,1230.0,1274.9,1221.0,1235.78,MATRI
2025-07-27,1240.0,1265.0,1230.1,1235.44,MATRI
