date,open,high,low,close,symbol
2021-08-31,1555.1,1560.5,1515.0,1526.0,MERO
2021-09-01,1535.0,1540.0,1490.0,1501.1,MERO
2021-09-02,1491.0,1550.0,1486.0,1510.0,MERO
2021-09-05,1490.0,1505.0,1442.0,1450.5,MERO
2021-09-06,1460.0,1529.0,1440.0,1518.0,MERO
2021-09-07,1520.0,1524.0,1470.0,1492.0,MERO
2021-09-08,1472.0,1500.0,1460.0,1480.0,MERO
2021-09-09,1490.0,1490.0,1461.0,1475.0,MERO
2021-09-12,1504.0,1517.0,1482.0,1517.0,MERO
2021-09-13,1536.0,1546.5,1505.2,1505.2,MERO
2021-09-14,1510.0,1604.0,1491.0,1550.0,MERO
2021-09-15,1570.0,1601.0,1527.0,1541.1,MERO
2021-09-16,1530.1,1530.1,1470.0,1491.0,MERO
2021-09-20,1490.0,1490.0,1416.1,1420.0,MERO
2021-09-21,1420.0,1448.6,1363.8,1410.0,MERO
2021-09-22,1438.0,1447.0,1400.0,1418.0,MERO
2021-09-23,1446.0,1446.0,1390.0,1400.0,MERO
2021-09-26,1428.0,1428.0,1364.0,1378.0,MERO
2021-09-27,1378.0,1378.0,1310.0,1328.0,MERO
2021-09-28,1302.0,1310.0,1266.0,1266.2,MERO
2021-09-29,1260.0,1325.0,1259.9,1286.0,MERO
2021-09-30,1310.0,1377.0,1291.0,1330.0,MERO
2021-10-03,1321.0,1335.0,1296.0,1335.0,MERO
2021-10-04,1361.7,1365.0,1295.0,1321.5,MERO
2021-10-05,1347.9,1425.0,1347.0,1404.0,MERO
2021-10-06,1432.0,1480.0,1407.0,1467.0,MERO
2021-10-10,1481.0,1496.0,1425.0,1435.0,MERO
2021-10-11,1430.0,1430.0,1353.0,1385.0,MERO
2021-10-17,1400.0,1405.0,1381.0,1389.9,MERO
2021-10-18,1389.9,1389.9,1338.0,1380.0,MERO
2021-10-19,1353.0,1407.6,1296.0,1407.6,MERO
2021-10-20,1420.0,1541.0,1365.0,1541.0,MERO
2021-10-21,1510.2,1695.1,1407.0,1695.1,MERO
2021-10-24,1661.2,1661.2,1525.6,1525.6,MERO
2021-10-25,1495.1,1520.9,1435.9,1465.0,MERO
2021-10-26,1489.0,1585.0,1465.0,1482.0,MERO
2021-10-27,1455.0,1499.0,1453.0,1470.0,MERO
2021-10-28,1470.0,1490.0,1453.0,1471.0,MERO
2021-10-31,1475.0,1525.0,1467.0,1503.0,MERO
2021-11-01,1530.0,1531.0,1460.0,1460.0,MERO
2021-11-02,1465.0,1476.0,1455.0,1463.1,MERO
2021-11-03,1489.9,1490.0,1467.0,1468.5,MERO
2021-11-08,1470.0,1484.9,1451.0,1466.0,MERO
2021-11-09,1495.3,1520.0,1430.0,1454.0,MERO
2021-11-11,1430.0,1445.0,1410.2,1416.0,MERO
2021-11-14,1416.0,1430.0,1402.2,1405.0,MERO
2021-11-15,1433.0,1433.0,1405.0,1416.0,MERO
2021-11-16,1426.0,1438.0,1412.0,1431.0,MERO
2021-11-17,1458.0,1458.0,1440.0,1440.0,MERO
2021-11-18,1462.0,1468.8,1439.0,1444.0,MERO
2021-11-21,1472.0,1472.0,1446.0,1449.0,MERO
2021-11-22,1450.0,1463.0,1450.0,1452.0,MERO
2021-11-23,1452.0,1455.0,1405.0,1405.0,MERO
2021-11-24,1433.1,1449.0,1385.0,1440.0,MERO
2021-11-25,1224.0,1224.0,1200.0,1215.0,MERO
2021-11-28,1215.0,1215.0,1139.8,1165.0,MERO
2021-11-29,1159.0,1180.0,1141.0,1141.0,MERO
2021-11-30,1155.0,1155.0,1116.0,1125.0,MERO
2021-12-01,1147.5,1237.5,1097.6,1110.0,MERO
2021-12-02,1120.0,1201.3,1095.0,1095.2,MERO
2021-12-05,1082.0,1090.0,1050.0,1052.0,MERO
2021-12-06,1045.0,1157.2,1000.0,1157.2,MERO
2021-12-07,1180.3,1180.3,1068.2,1097.0,MERO
2021-12-08,1100.0,1100.0,1018.3,1045.0,MERO
2021-12-09,1027.0,1044.0,1015.0,1030.0,MERO
2021-12-12,1049.0,1049.0,952.0,970.0,MERO
2021-12-13,950.6,974.9,878.1,900.0,MERO
2021-12-14,912.0,988.0,912.0,988.0,MERO
2021-12-15,1007.0,1049.0,955.5,970.0,MERO
2021-12-16,970.0,984.0,950.0,955.0,MERO
2021-12-20,950.0,969.0,946.0,948.0,MERO
2021-12-21,966.9,968.9,950.0,967.0,MERO
2021-12-22,986.0,1025.0,976.0,1016.0,MERO
2021-12-23,1035.0,1035.0,1000.0,1005.0,MERO
2021-12-26,1025.0,1071.0,1023.1,1070.0,MERO
2021-12-27,1091.0,1100.0,1029.0,1030.0,MERO
2021-12-28,1014.0,1035.0,1010.0,1013.5,MERO
