date,open,high,low,close,symbol
2022-08-17,237.3,261.0,237.3,261.0,MHL
2022-08-18,266.2,287.1,266.2,287.1,MHL
2022-08-21,292.8,315.8,292.8,315.8,MHL
2022-08-22,322.1,347.3,322.1,347.3,MHL
2022-08-23,354.2,382.0,354.2,382.0,MHL
2022-08-24,389.6,420.2,389.6,420.2,MHL
2022-08-25,428.6,436.0,403.8,415.0,MHL
2022-08-26,407.0,410.1,400.1,407.6,MHL
2022-08-28,400.1,400.1,378.7,380.0,MHL
2022-08-29,374.1,390.0,370.0,383.3,MHL
2022-08-30,390.0,390.0,373.0,375.0,MHL
2022-08-31,368.1,387.6,361.2,377.0,MHL
2022-09-01,379.0,390.0,362.3,388.0,MHL
2022-09-02,388.0,399.0,381.0,393.0,MHL
2022-09-04,386.1,407.0,386.1,400.0,MHL
2022-09-05,394.0,416.0,392.0,392.3,MHL
2022-09-06,386.0,400.0,386.0,400.0,MHL
2022-09-07,392.3,398.0,388.0,398.0,MHL
2022-09-08,393.0,408.8,390.2,400.0,MHL
2022-09-11,393.1,402.0,392.6,393.0,MHL
2022-09-12,386.0,395.0,383.3,383.3,MHL
2022-09-13,383.3,394.9,378.8,394.9,MHL
2022-09-14,400.0,404.0,387.1,402.0,MHL
2022-09-15,410.0,410.0,377.0,389.9,MHL
2022-09-16,382.2,384.9,370.0,384.9,MHL
2022-09-18,378.0,379.9,366.0,374.7,MHL
2022-09-20,368.0,380.0,358.2,363.0,MHL
2022-09-21,356.0,377.1,356.0,369.0,MHL
2022-09-22,361.7,383.8,355.2,358.0,MHL
2022-09-25,351.0,352.1,338.8,339.0,MHL
2022-09-27,345.0,355.9,338.1,342.5,MHL
2022-09-28,349.3,374.0,336.1,374.0,MHL
2022-09-29,374.0,375.0,355.1,375.0,MHL
2022-10-09,375.0,375.0,356.0,372.3,MHL
2022-10-10,368.0,368.0,350.0,359.8,MHL
2022-10-11,352.7,353.8,338.8,353.8,MHL
2022-10-12,346.8,367.0,335.3,358.0,MHL
2022-10-13,350.9,360.9,344.1,360.9,MHL
2022-10-16,353.7,353.7,337.2,349.8,MHL
2022-10-17,344.0,356.0,336.3,356.0,MHL
2022-10-19,348.9,348.9,332.0,340.7,MHL
2022-10-20,334.0,344.0,325.1,332.0,MHL
2022-10-23,325.6,331.0,322.1,324.9,MHL
2022-10-31,318.6,334.0,312.9,325.0,MHL
2022-11-01,318.5,344.2,310.0,338.0,MHL
2022-11-02,331.3,345.0,325.0,345.0,MHL
2022-11-03,340.0,341.0,322.0,328.0,MHL
2022-11-06,321.5,335.0,321.5,335.0,MHL
2022-11-07,328.4,345.5,323.1,341.4,MHL
2022-11-08,334.6,334.6,324.0,326.1,MHL
2022-11-09,320.4,339.2,315.7,319.0,MHL
2022-11-10,325.0,331.5,306.9,331.5,MHL
2022-11-13,324.9,344.8,313.0,343.9,MHL
2022-11-14,337.1,337.1,318.0,332.9,MHL
2022-11-15,337.8,337.9,312.2,320.0,MHL
2022-11-16,320.0,332.5,317.0,332.5,MHL
2022-11-17,325.9,343.0,320.0,338.6,MHL
2022-11-22,332.0,332.2,321.2,328.0,MHL
2022-11-23,321.5,322.0,314.0,316.6,MHL
2022-11-24,310.7,320.2,310.0,320.2,MHL
2022-11-27,313.9,332.8,313.9,324.9,MHL
2022-11-28,322.0,326.0,318.0,318.3,MHL
2022-11-29,313.0,324.0,313.0,318.1,MHL
2022-11-30,316.0,320.0,316.0,320.0,MHL
2022-12-01,314.1,325.0,314.1,320.0,MHL
2022-12-04,314.0,325.0,314.0,321.0,MHL
2022-12-05,316.3,320.0,310.8,317.0,MHL
2022-12-06,310.8,317.8,310.2,315.0,MHL
2022-12-07,308.9,315.1,308.9,314.1,MHL
2022-12-11,308.0,315.0,302.0,315.0,MHL
2022-12-12,308.7,316.4,303.0,315.0,MHL
2022-12-13,308.7,320.0,303.2,314.0,MHL
2022-12-14,308.0,311.0,307.8,311.0,MHL
2022-12-15,305.0,311.0,297.3,306.9,MHL
2022-12-18,300.8,300.8,290.3,297.0,MHL
2022-12-19,291.1,314.0,285.1,295.0,MHL
2022-12-20,289.4,308.9,289.4,308.9,MHL
2022-12-21,302.8,306.8,298.2,306.0,MHL
2022-12-22,299.9,299.9,295.1,298.0,MHL
2022-12-26,303.8,319.0,298.1,319.0,MHL
2022-12-27,325.3,330.0,316.0,326.0,MHL
2022-12-28,320.0,324.0,307.0,320.0,MHL
2022-12-29,314.0,340.0,313.6,340.0,MHL
2023-01-01,335.0,341.7,322.1,329.0,MHL
2023-01-02,322.5,335.9,318.1,334.0,MHL
2023-01-03,329.0,339.8,328.2,337.9,MHL
2023-01-04,333.0,362.0,333.0,359.0,MHL
2023-01-05,355.0,379.0,347.9,377.0,MHL
2023-01-08,369.5,389.9,363.2,369.0,MHL
2023-01-09,362.2,392.0,362.2,387.7,MHL
2023-01-10,395.4,418.1,373.0,399.0,MHL
2023-01-12,391.5,393.0,371.1,381.0,MHL
2023-01-17,374.0,397.5,361.0,390.0,MHL
2023-01-18,395.0,407.0,384.2,395.0,MHL
2023-01-19,390.0,397.0,383.3,387.0,MHL
2023-01-23,387.0,395.3,370.7,394.8,MHL
2023-01-24,387.0,394.0,373.0,389.0,MHL
2023-01-25,396.0,398.5,376.1,390.0,MHL
2023-01-26,397.0,410.0,385.0,395.0,MHL
2023-01-29,387.1,398.0,379.4,394.0,MHL
2023-01-30,401.8,401.8,380.0,380.0,MHL
2023-01-31,372.4,394.0,366.0,378.3,MHL
2023-02-01,371.3,388.6,371.3,375.5,MHL
2023-02-02,370.0,390.0,370.0,374.8,MHL
2023-02-05,369.0,382.0,369.0,378.0,MHL
2023-02-06,371.0,378.0,370.8,377.0,MHL
2023-02-07,374.0,414.0,371.0,407.0,MHL
2023-02-08,415.1,415.1,390.0,395.0,MHL
2023-02-09,387.2,403.0,385.0,400.0,MHL
2023-02-12,392.0,393.8,380.0,387.9,MHL
2023-02-14,381.0,392.0,381.0,389.5,MHL
2023-02-15,382.1,397.2,378.2,380.0,MHL
2023-02-16,376.0,395.3,376.0,381.8,MHL
2023-02-20,374.6,380.0,372.0,378.9,MHL
