date,open,high,low,close,symbol
2021-08-29,656.8,696.0,649.0,660.0,MPFL
2021-08-31,668.0,668.0,620.0,646.0,MPFL
2021-09-01,633.1,683.0,603.0,636.0,MPFL
2021-09-02,641.0,648.0,603.0,610.0,MPFL
2021-09-05,599.0,609.0,549.0,563.0,MPFL
2021-09-06,570.0,619.0,547.0,619.0,MPFL
2021-09-07,629.0,630.0,593.0,593.0,MPFL
2021-09-08,599.0,602.0,577.0,585.0,MPFL
2021-09-09,596.0,601.9,570.0,578.0,MPFL
2021-09-12,589.5,600.0,580.0,589.0,MPFL
2021-09-13,600.7,612.0,590.0,593.0,MPFL
2021-09-14,599.8,599.8,579.0,585.0,MPFL
2021-09-15,585.0,585.0,569.0,570.0,MPFL
2021-09-16,570.0,570.0,537.0,540.0,MPFL
2021-09-20,540.0,550.0,486.0,491.0,MPFL
2021-09-21,482.0,521.6,445.0,490.0,MPFL
2021-09-22,499.8,539.0,499.8,539.0,MPFL
2021-09-23,549.7,581.0,549.7,560.0,MPFL
2021-09-26,570.0,570.0,517.1,517.1,MPFL
2021-09-27,508.0,518.0,485.0,485.0,MPFL
2021-09-28,494.0,503.0,450.0,459.0,MPFL
2021-09-29,458.0,482.3,442.0,474.5,MPFL
2021-09-30,474.0,489.8,446.9,455.5,MPFL
2021-10-03,463.9,463.9,439.2,439.2,MPFL
2021-10-04,432.0,456.8,432.0,438.0,MPFL
2021-10-05,440.0,481.8,440.0,481.8,MPFL
2021-10-06,481.8,515.0,472.2,505.5,MPFL
2021-10-10,510.0,510.0,479.3,483.0,MPFL
2021-10-11,476.0,476.0,440.1,457.9,MPFL
2021-10-17,451.1,469.0,451.1,460.1,MPFL
2021-10-18,460.0,460.0,431.0,440.0,MPFL
2021-10-19,433.0,433.0,409.0,416.0,MPFL
2021-10-20,424.3,455.0,424.3,445.0,MPFL
2021-10-21,450.0,450.0,436.1,444.0,MPFL
2021-10-24,452.8,465.0,445.0,456.0,MPFL
2021-10-25,465.1,501.6,465.1,501.6,MPFL
2021-10-26,511.6,538.0,511.6,535.0,MPFL
