date,open,high,low,close,symbol
2021-03-07,1020.0,1051.0,1020.0,1051.0,NBBD2085
2021-03-09,1045.0,1045.0,1045.0,1045.0,NBBD2085
2021-03-10,1065.0,1065.0,1065.0,1065.0,NBBD2085
2021-03-14,1065.0,1065.0,1065.0,1065.0,NBBD2085
2021-03-15,1045.0,1052.0,1045.0,1052.0,NBBD2085
2021-03-16,1051.0,1060.0,1051.0,1056.0,NBBD2085
2021-03-18,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-03-21,1055.0,1060.0,1055.0,1060.0,NBBD2085
2021-03-22,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-03-23,1055.0,1060.0,1055.0,1060.0,NBBD2085
2021-03-24,1055.0,1060.0,1055.0,1060.0,NBBD2085
2021-03-25,1055.0,1055.0,1055.0,1055.0,NBBD2085
2021-03-29,1060.0,1060.0,1056.0,1056.0,NBBD2085
2021-03-30,1055.0,1056.0,1055.0,1056.0,NBBD2085
2021-03-31,1055.0,1055.0,1055.0,1055.0,NBBD2085
2021-04-01,1050.0,1050.0,1050.0,1050.0,NBBD2085
2021-04-04,1050.0,1050.0,1050.0,1050.0,NBBD2085
2021-04-05,1045.0,1046.0,1045.0,1046.0,NBBD2085
2021-04-06,1045.0,1045.0,1045.0,1045.0,NBBD2085
2021-04-07,1055.0,1055.0,1050.0,1050.0,NBBD2085
2021-04-12,1045.0,1050.0,1045.0,1045.0,NBBD2085
2021-04-15,1046.0,1046.0,1046.0,1046.0,NBBD2085
2021-04-21,1048.0,1048.0,1048.0,1048.0,NBBD2085
2021-04-22,1051.0,1055.0,1051.0,1055.0,NBBD2085
2021-04-25,1060.0,1060.0,1046.0,1046.0,NBBD2085
2021-04-26,1047.0,1047.0,1046.0,1046.0,NBBD2085
2021-04-27,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-04-28,1050.0,1060.0,1050.0,1060.0,NBBD2085
2021-05-02,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-05-04,1051.0,1051.0,1051.0,1051.0,NBBD2085
2021-05-05,1046.0,1046.0,1046.0,1046.0,NBBD2085
2021-05-09,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-05-10,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-05-11,1080.0,1081.0,1080.0,1081.0,NBBD2085
2021-05-17,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-05-18,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-05-20,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-05-23,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-05-24,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-05-25,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-05-27,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-05-31,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-06-01,1060.0,1070.0,1060.0,1070.0,NBBD2085
2021-06-02,1051.0,1051.0,1051.0,1051.0,NBBD2085
2021-06-03,1072.0,1072.0,1072.0,1072.0,NBBD2085
2021-06-07,1060.0,1093.0,1060.0,1093.0,NBBD2085
2021-06-09,1075.0,1075.0,1075.0,1075.0,NBBD2085
2021-06-10,1062.0,1062.0,1062.0,1062.0,NBBD2085
2021-06-15,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-06-20,1043.0,1043.0,1042.0,1042.0,NBBD2085
2021-06-21,1062.0,1080.0,1062.0,1080.0,NBBD2085
2021-06-22,1080.0,1080.0,1075.0,1080.0,NBBD2085
2021-07-08,1080.0,1080.0,1080.0,1080.0,NBBD2085
2021-07-11,1060.0,1060.0,1060.0,1060.0,NBBD2085
2021-07-12,1080.0,1101.0,1080.0,1101.0,NBBD2085
2021-07-13,1120.0,1145.0,1120.0,1145.0,NBBD2085
2021-08-11,1122.1,1122.1,1122.1,1122.1,NBBD2085
2021-09-26,1100.0,1100.0,1100.0,1100.0,NBBD2085
