date,open,high,low,close,symbol
2021-09-01,443.4,456.0,435.0,437.0,NHPC
2021-09-02,445.7,450.0,422.0,424.0,NHPC
2021-09-05,415.6,420.2,381.6,393.0,NHPC
2021-09-06,386.0,432.3,386.0,432.3,NHPC
2021-09-07,440.0,442.0,420.0,425.0,NHPC
2021-09-08,424.0,429.4,410.0,413.0,NHPC
2021-09-09,415.0,429.4,410.0,425.0,NHPC
2021-09-12,433.5,467.5,433.5,467.5,NHPC
2021-09-13,476.8,498.7,456.7,466.0,NHPC
2021-09-14,475.0,477.0,459.0,468.0,NHPC
2021-09-15,468.0,468.0,450.0,455.0,NHPC
2021-09-16,445.9,450.0,431.0,432.0,NHPC
2021-09-20,430.0,435.0,400.0,410.0,NHPC
2021-09-21,410.0,446.0,393.0,414.0,NHPC
2021-09-22,422.0,450.8,419.0,449.0,NHPC
2021-09-23,457.9,460.0,434.0,439.0,NHPC
2021-09-26,440.0,445.0,414.0,420.0,NHPC
2021-09-27,428.0,451.0,411.1,418.0,NHPC
2021-09-28,415.0,422.0,401.0,403.0,NHPC
2021-09-29,403.0,420.0,396.0,419.0,NHPC
2021-09-30,424.0,426.0,402.8,402.8,NHPC
2021-10-03,405.0,408.0,376.0,381.0,NHPC
2021-10-04,373.4,392.0,369.0,371.5,NHPC
2021-10-05,371.5,390.6,366.0,387.0,NHPC
2021-10-06,394.0,410.0,394.0,398.0,NHPC
2021-10-10,405.0,413.0,386.3,388.9,NHPC
2021-10-11,385.5,385.5,373.0,381.0,NHPC
2021-10-17,385.0,395.7,372.2,388.0,NHPC
2021-10-18,381.0,385.0,368.0,369.0,NHPC
2021-10-19,369.0,369.0,332.1,334.0,NHPC
2021-10-20,340.6,367.4,340.6,367.3,NHPC
2021-10-21,374.0,381.3,360.0,363.1,NHPC
2021-10-24,364.0,384.0,360.0,374.0,NHPC
2021-10-25,381.4,408.0,377.0,407.0,NHPC
2021-10-26,415.0,428.0,406.8,418.0,NHPC
2021-10-27,415.0,424.0,402.0,408.0,NHPC
2021-10-28,406.0,446.0,400.0,434.0,NHPC
2021-10-31,442.0,453.0,434.0,443.0,NHPC
2021-11-01,451.8,451.8,423.0,424.0,NHPC
2021-11-02,429.0,432.0,415.0,426.0,NHPC
2021-11-03,434.2,442.0,422.0,422.0,NHPC
2021-11-08,429.0,450.0,424.0,439.0,NHPC
2021-11-09,447.7,456.0,424.0,428.5,NHPC
2021-11-11,429.0,430.0,411.7,415.0,NHPC
2021-11-14,423.0,429.0,412.0,416.0,NHPC
2021-11-15,424.3,431.0,420.1,424.5,NHPC
2021-11-16,430.0,464.0,427.0,463.0,NHPC
2021-11-17,472.2,481.0,454.0,457.0,NHPC
2021-11-18,466.1,484.0,442.1,444.0,NHPC
2021-11-21,444.0,466.0,444.0,458.9,NHPC
2021-11-22,468.0,471.0,455.6,460.5,NHPC
2021-11-23,461.0,462.0,443.0,448.0,NHPC
2021-11-24,440.0,453.8,436.0,448.0,NHPC
2021-11-25,450.0,453.0,440.0,440.0,NHPC
2021-11-28,431.2,441.0,407.0,409.0,NHPC
2021-11-29,409.0,430.0,402.0,412.0,NHPC
2021-11-30,405.0,427.0,405.0,421.0,NHPC
2021-12-01,429.4,429.4,417.0,417.0,NHPC
2021-12-02,423.0,423.0,405.0,408.0,NHPC
2021-12-05,416.1,439.0,401.0,404.0,NHPC
2021-12-06,412.0,420.0,388.0,411.0,NHPC
2021-12-07,419.2,422.0,395.0,397.0,NHPC
2021-12-08,395.0,403.9,373.0,382.0,NHPC
2021-12-09,375.0,387.8,371.7,380.3,NHPC
2021-12-12,380.0,380.0,347.0,348.0,NHPC
2021-12-13,349.0,349.0,313.5,315.0,NHPC
2021-12-14,321.3,346.5,320.0,346.5,NHPC
2021-12-15,353.4,374.3,340.0,353.0,NHPC
2021-12-16,355.0,359.0,339.2,341.0,NHPC
2021-12-20,341.0,341.0,318.5,328.0,NHPC
2021-12-21,334.5,347.8,329.1,346.0,NHPC
2021-12-22,352.0,372.3,352.0,372.0,NHPC
2021-12-23,378.4,384.0,364.0,364.0,NHPC
2021-12-26,364.0,371.2,352.0,355.0,NHPC
2021-12-27,362.0,362.0,335.0,338.0,NHPC
2021-12-28,332.0,351.0,329.5,337.0,NHPC
2021-12-29,343.0,343.0,330.0,334.0,NHPC
2022-01-02,339.0,340.0,333.0,335.0,NHPC
2022-01-03,340.6,349.7,336.0,337.0,NHPC
2022-01-04,340.0,347.3,335.0,345.0,NHPC
2022-01-05,345.0,364.0,345.0,350.0,NHPC
2022-01-06,353.0,365.0,346.0,362.0,NHPC
2022-01-09,369.0,394.0,369.0,391.0,NHPC
2022-01-10,398.8,410.0,385.1,389.9,NHPC
2022-01-11,397.0,397.4,384.2,390.0,NHPC
