date,open,high,low,close,symbol
2021-09-07,10.0,10.01,9.81,9.99,NICSF
2021-09-08,10.0,10.0,9.83,9.98,NICSF
2021-09-09,9.99,10.0,9.82,9.82,NICSF
2021-09-12,9.7,10.1,9.7,9.91,NICSF
2021-09-13,9.9,9.9,9.76,9.9,NICSF
2021-09-14,9.9,9.99,9.74,9.8,NICSF
2021-09-15,9.7,9.99,9.7,9.75,NICSF
2021-09-16,9.6,9.79,9.6,9.67,NICSF
2021-09-20,9.49,9.67,9.31,9.34,NICSF
2021-09-21,9.18,9.43,9.01,9.29,NICSF
2021-09-22,9.4,9.58,9.37,9.57,NICSF
2021-09-23,9.39,9.6,9.39,9.6,NICSF
2021-09-26,9.6,9.79,9.43,9.45,NICSF
2021-09-27,9.45,9.5,9.4,9.5,NICSF
2021-09-28,9.31,9.5,9.31,9.32,NICSF
2021-09-29,9.32,9.6,9.32,9.6,NICSF
2021-09-30,9.41,9.7,9.41,9.46,NICSF
2021-10-03,9.28,9.75,9.28,9.59,NICSF
2021-10-04,9.55,9.55,9.42,9.42,NICSF
2021-10-05,9.41,9.69,9.41,9.42,NICSF
2021-10-06,9.42,9.79,9.42,9.6,NICSF
2021-10-10,9.79,9.9,9.6,9.8,NICSF
2021-10-11,9.8,10.1,9.63,9.63,NICSF
2021-10-17,9.5,9.6,9.44,9.6,NICSF
2021-10-18,9.79,9.79,9.45,9.75,NICSF
2021-10-19,9.56,9.56,9.04,9.38,NICSF
2021-10-20,9.22,9.56,9.22,9.4,NICSF
2021-10-21,9.3,9.4,9.22,9.35,NICSF
2021-10-24,9.3,9.5,9.17,9.18,NICSF
2021-10-25,9.2,9.53,9.2,9.53,NICSF
2021-10-26,9.72,9.72,9.56,9.57,NICSF
2021-10-27,9.38,9.7,9.27,9.5,NICSF
2021-10-28,9.52,9.79,9.38,9.79,NICSF
2021-10-31,9.6,9.89,9.6,9.71,NICSF
2021-11-01,9.7,9.8,9.61,9.7,NICSF
2021-11-02,9.89,10.0,9.7,9.8,NICSF
2021-11-03,9.62,9.99,9.62,9.62,NICSF
2021-11-08,9.6,9.94,9.6,9.74,NICSF
2021-11-09,9.65,9.95,9.6,9.6,NICSF
2021-11-11,9.6,9.8,9.6,9.6,NICSF
2021-11-14,9.45,9.7,9.45,9.51,NICSF
2021-11-15,9.35,9.77,9.32,9.58,NICSF
2021-11-16,9.5,9.7,9.44,9.7,NICSF
2021-11-17,9.53,9.7,9.51,9.55,NICSF
2021-11-18,9.36,9.68,9.36,9.68,NICSF
2021-11-21,9.55,9.55,9.49,9.49,NICSF
2021-11-22,9.5,9.69,9.49,9.49,NICSF
2021-11-23,9.39,9.5,9.38,9.41,NICSF
2021-11-24,9.31,9.59,9.26,9.29,NICSF
2021-11-25,9.29,9.48,9.29,9.31,NICSF
2021-11-28,9.25,9.44,9.25,9.27,NICSF
2021-11-29,9.15,9.38,9.15,9.2,NICSF
2021-11-30,9.2,9.38,9.2,9.38,NICSF
2021-12-01,9.39,9.5,9.22,9.5,NICSF
2021-12-02,9.32,9.32,9.2,9.25,NICSF
2021-12-05,9.3,9.3,9.07,9.07,NICSF
2021-12-06,9.25,9.25,9.0,9.06,NICSF
2021-12-07,8.89,9.2,8.89,9.05,NICSF
2021-12-08,8.9,9.1,8.9,9.03,NICSF
2021-12-09,9.0,9.1,8.88,9.0,NICSF
2021-12-12,8.95,9.1,8.91,8.91,NICSF
2021-12-13,8.91,9.08,8.75,8.8,NICSF
2021-12-14,8.8,9.28,8.76,9.28,NICSF
2021-12-15,9.1,9.27,8.93,9.27,NICSF
2021-12-16,9.35,9.44,9.35,9.44,NICSF
2021-12-20,9.26,9.26,8.93,9.0,NICSF
2021-12-21,8.83,9.04,8.83,8.89,NICSF
2021-12-22,9.0,9.18,8.82,8.88,NICSF
2021-12-23,8.8,9.05,8.78,8.95,NICSF
2021-12-26,8.95,9.12,8.78,8.99,NICSF
2021-12-27,8.85,9.0,8.85,8.9,NICSF
2021-12-28,8.76,8.95,8.76,8.95,NICSF
2021-12-29,8.9,8.98,8.78,8.87,NICSF
2022-01-02,8.87,9.0,8.83,9.0,NICSF
2022-01-03,8.88,9.12,8.88,9.0,NICSF
2022-01-04,9.0,9.18,8.9,9.18,NICSF
2022-01-05,9.0,9.19,8.9,8.94,NICSF
2022-01-06,8.77,9.18,8.77,9.12,NICSF
2022-01-09,9.03,9.3,9.03,9.13,NICSF
2022-01-10,9.0,9.28,9.0,9.26,NICSF
