date,open,high,low,close,symbol
2025-04-21,10.0,10.0,9.08,9.23,NMBHF2
2025-04-22,9.1,9.25,9.06,9.1,NMBHF2
2025-04-23,9.0,9.14,8.93,9.05,NMBHF2
2025-04-24,9.0,9.11,8.94,9.02,NMBHF2
2025-04-27,8.93,9.12,8.93,9.09,NMBHF2
2025-04-28,8.93,9.27,8.93,9.25,NMBHF2
2025-04-29,9.07,9.15,9.01,9.04,NMBHF2
2025-04-30,8.89,9.11,8.89,9.04,NMBHF2
2025-05-04,8.86,9.2,8.86,9.05,NMBHF2
2025-05-05,8.95,9.06,8.88,9.05,NMBHF2
2025-05-06,8.9,9.0,8.87,9.0,NMBHF2
2025-05-07,9.0,9.06,8.82,8.9,NMBHF2
2025-05-08,8.74,9.08,8.39,8.64,NMBHF2
2025-05-11,8.47,8.81,8.45,8.47,NMBHF2
2025-05-13,8.34,8.91,8.34,8.47,NMBHF2
2025-05-14,8.35,8.63,8.31,8.41,NMBHF2
2025-05-15,8.33,8.59,8.25,8.46,NMBHF2
2025-05-18,8.3,8.65,8.16,8.4,NMBHF2
2025-05-19,8.34,8.61,8.34,8.4,NMBHF2
2025-05-20,8.25,8.72,8.25,8.64,NMBHF2
2025-05-21,8.64,8.98,8.47,8.57,NMBHF2
2025-05-22,8.58,8.73,8.42,8.67,NMBHF2
2025-05-25,8.5,8.8,8.5,8.57,NMBHF2
2025-05-26,8.4,8.74,8.4,8.5,NMBHF2
2025-05-27,8.34,8.58,8.34,8.43,NMBHF2
2025-05-28,8.27,9.03,8.27,8.59,NMBHF2
2025-06-02,8.43,8.5,8.33,8.5,NMBHF2
2025-06-03,8.38,8.5,8.38,8.42,NMBHF2
2025-06-04,8.27,8.74,8.27,8.51,NMBHF2
2025-06-05,8.34,8.71,8.21,8.7,NMBHF2
2025-06-08,8.53,8.69,8.5,8.66,NMBHF2
2025-06-09,8.66,8.82,8.21,8.57,NMBHF2
2025-06-10,8.73,8.73,8.42,8.55,NMBHF2
2025-06-11,8.5,8.71,8.5,8.69,NMBHF2
2025-06-12,8.52,8.57,8.52,8.55,NMBHF2
2025-06-15,8.55,9.1,8.55,8.8,NMBHF2
2025-06-16,8.63,8.9,8.5,8.67,NMBHF2
2025-06-17,8.5,8.84,8.44,8.57,NMBHF2
2025-06-18,8.45,8.94,8.45,8.7,NMBHF2
2025-06-19,8.56,8.61,8.56,8.57,NMBHF2
2025-06-22,8.56,8.65,8.42,8.65,NMBHF2
2025-06-23,8.5,8.7,8.48,8.7,NMBHF2
2025-06-24,8.53,8.7,8.43,8.69,NMBHF2
2025-06-25,8.69,8.73,8.53,8.72,NMBHF2
2025-06-26,8.89,9.06,8.44,8.77,NMBHF2
2025-06-29,8.75,8.94,8.61,8.7,NMBHF2
2025-06-30,8.7,8.98,8.61,8.8,NMBHF2
2025-07-01,8.96,9.1,8.64,8.67,NMBHF2
2025-07-02,8.5,8.67,8.5,8.65,NMBHF2
2025-07-03,8.82,9.16,8.5,8.69,NMBHF2
2025-07-06,8.55,9.0,8.55,8.91,NMBHF2
2025-07-07,8.91,9.18,8.74,8.9,NMBHF2
2025-07-08,8.73,8.99,8.63,8.98,NMBHF2
2025-07-09,8.81,9.1,8.66,8.71,NMBHF2
2025-07-10,8.8,9.0,8.8,8.99,NMBHF2
2025-07-13,8.82,9.1,8.76,9.01,NMBHF2
2025-07-14,9.19,9.19,8.75,9.01,NMBHF2
2025-07-15,8.9,9.16,8.83,9.14,NMBHF2
2025-07-16,9.0,9.5,8.92,9.06,NMBHF2
2025-07-17,9.06,9.53,8.99,9.25,NMBHF2
2025-07-20,9.09,9.6,9.08,9.13,NMBHF2
2025-07-21,9.31,9.38,9.03,9.3,NMBHF2
2025-07-22,9.3,9.48,9.13,9.17,NMBHF2
2025-07-23,8.99,9.4,8.99,9.4,NMBHF2
2025-07-24,9.22,9.58,9.22,9.26,NMBHF2
2025-07-27,9.08,9.38,8.91,9.38,NMBHF2
2025-07-28,9.38,9.51,9.03,9.3,NMBHF2
2025-07-29,9.12,9.48,9.12,9.26,NMBHF2
2025-07-30,9.44,9.44,9.12,9.31,NMBHF2
2025-07-31,9.13,9.39,8.97,9.13,NMBHF2
2025-08-03,9.13,9.31,8.79,8.92,NMBHF2
2025-08-04,9.09,9.12,8.9,8.97,NMBHF2
2025-08-05,9.14,9.14,8.8,9.1,NMBHF2
2025-08-06,8.92,9.18,8.89,9.0,NMBHF2
2025-08-07,9.1,9.27,8.92,9.09,NMBHF2
2025-08-11,9.25,9.25,8.8,8.86,NMBHF2
2025-08-12,9.03,9.1,8.8,9.1,NMBHF2
2025-08-13,8.93,9.12,8.93,9.05,NMBHF2
2025-08-14,9.0,9.1,9.0,9.05,NMBHF2
2025-08-17,9.0,9.05,8.92,9.01,NMBHF2
2025-08-18,8.91,9.02,8.91,8.97,NMBHF2
2025-08-19,8.91,9.18,8.85,9.04,NMBHF2
2025-08-20,9.0,9.07,8.72,8.79,NMBHF2
2025-08-21,8.8,9.12,8.8,8.86,NMBHF2
2025-08-24,8.86,8.93,8.75,8.93,NMBHF2
2025-08-25,8.77,8.94,8.77,8.85,NMBHF2
2025-08-26,8.85,9.08,8.8,9.0,NMBHF2
2025-08-27,9.18,9.18,8.83,9.02,NMBHF2
2025-08-28,9.02,9.15,8.85,9.15,NMBHF2
2025-08-31,8.97,9.0,8.97,9.0,NMBHF2
2025-09-01,8.9,9.1,8.73,9.1,NMBHF2
2025-09-02,8.92,8.92,8.76,8.86,NMBHF2
2025-09-03,8.82,9.15,8.82,9.15,NMBHF2
2025-09-04,8.97,9.3,8.91,8.91,NMBHF2
2025-09-07,8.85,9.15,8.8,9.15,NMBHF2
2025-09-08,8.98,9.1,8.98,9.0,NMBHF2
2025-09-21,8.82,8.99,8.66,8.76,NMBHF2
2025-09-23,8.6,8.85,8.6,8.76,NMBHF2
2025-09-24,8.75,8.93,8.75,8.82,NMBHF2
2025-09-25,8.8,8.99,8.8,8.8,NMBHF2
2025-09-28,8.95,9.14,8.93,9.09,NMBHF2
2025-10-07,8.91,9.12,8.91,8.92,NMBHF2
2025-10-08,8.91,9.09,8.8,9.09,NMBHF2
2025-10-09,8.91,9.11,8.91,9.0,NMBHF2
2025-10-12,8.82,9.14,8.8,9.14,NMBHF2
2025-10-13,8.96,8.96,8.79,8.86,NMBHF2
2025-10-14,8.74,8.91,8.74,8.89,NMBHF2
2025-10-15,8.8,9.06,8.78,9.06,NMBHF2
2025-10-16,8.88,8.9,8.73,8.85,NMBHF2
2025-10-19,8.7,9.02,8.7,9.02,NMBHF2
2025-10-26,8.84,9.14,8.84,9.05,NMBHF2
2025-10-28,9.0,9.16,9.0,9.0,NMBHF2
2025-10-29,8.9,9.13,8.9,9.13,NMBHF2
2025-10-30,8.95,8.95,8.85,8.91,NMBHF2
2025-11-02,8.75,9.05,8.75,9.05,NMBHF2
2025-11-03,8.87,9.11,8.87,9.0,NMBHF2
2025-11-04,8.9,9.16,8.9,9.16,NMBHF2
2025-11-05,8.98,9.1,8.95,9.0,NMBHF2
2025-11-06,8.82,9.16,8.82,9.16,NMBHF2
2025-11-09,9.15,9.15,8.98,8.98,NMBHF2
2025-11-10,8.82,8.99,8.82,8.85,NMBHF2
2025-11-11,8.72,8.9,8.72,8.78,NMBHF2
2025-11-12,8.78,8.89,8.64,8.89,NMBHF2
2025-11-13,8.72,8.89,8.57,8.8,NMBHF2
2025-11-16,8.65,8.9,8.65,8.9,NMBHF2
2025-11-17,8.73,8.95,8.73,8.9,NMBHF2
2025-11-18,8.73,8.9,8.7,8.82,NMBHF2
2025-11-19,8.65,8.98,8.65,8.94,NMBHF2
2025-11-20,8.77,8.94,8.77,8.8,NMBHF2
2025-11-23,8.67,9.01,8.67,8.83,NMBHF2
2025-11-24,8.8,9.18,8.8,8.9,NMBHF2
2025-11-25,8.85,8.86,8.78,8.86,NMBHF2
2025-11-26,8.7,8.85,8.7,8.85,NMBHF2
2025-11-27,8.88,9.1,8.75,8.92,NMBHF2
2025-11-30,8.92,9.09,8.92,8.95,NMBHF2
2025-12-01,8.79,9.21,8.79,8.95,NMBHF2
2025-12-02,9.12,9.12,8.95,8.96,NMBHF2
2025-12-03,8.79,9.16,8.79,9.0,NMBHF2
2025-12-07,8.82,9.04,8.82,8.96,NMBHF2
2025-12-08,8.86,9.17,8.86,8.99,NMBHF2
2025-12-09,8.85,9.05,8.85,9.0,NMBHF2
2025-12-10,9.0,9.12,8.89,9.05,NMBHF2
2025-12-11,8.91,9.1,8.91,9.02,NMBHF2
2025-12-14,8.85,9.2,8.85,9.05,NMBHF2
2025-12-15,8.9,9.12,8.9,9.05,NMBHF2
2025-12-16,9.06,9.22,9.06,9.07,NMBHF2
2025-12-17,9.08,9.1,9.06,9.1,NMBHF2
2025-12-18,9.05,9.2,9.05,9.09,NMBHF2
2025-12-21,9.25,9.82,8.92,9.5,NMBHF2
2025-12-22,9.31,9.4,9.14,9.14,NMBHF2
2025-12-23,9.01,9.5,9.01,9.06,NMBHF2
2025-12-24,9.0,9.24,8.9,9.15,NMBHF2
2025-12-28,9.33,9.74,8.97,9.03,NMBHF2
2025-12-29,9.0,9.5,9.0,9.12,NMBHF2
2025-12-31,9.21,9.3,9.21,9.29,NMBHF2
2026-01-01,9.15,9.29,9.15,9.19,NMBHF2
2026-01-04,9.05,9.28,9.05,9.28,NMBHF2
2026-01-05,9.15,9.3,9.15,9.3,NMBHF2
2026-01-06,9.48,9.66,9.12,9.52,NMBHF2
2026-01-07,9.33,9.33,9.16,9.16,NMBHF2
2026-01-08,9.05,9.67,9.05,9.5,NMBHF2
2026-01-12,9.4,9.44,9.15,9.2,NMBHF2
2026-01-13,9.12,9.29,9.12,9.29,NMBHF2
2026-01-14,9.14,9.38,9.14,9.24,NMBHF2
2026-01-18,9.24,9.24,9.16,9.19,NMBHF2
2026-01-20,9.17,9.48,9.17,9.41,NMBHF2
2026-01-21,9.32,9.54,9.32,9.5,NMBHF2
2026-01-22,9.31,9.51,9.31,9.4,NMBHF2
2026-01-25,9.34,9.52,9.34,9.52,NMBHF2
2026-01-26,9.35,9.66,9.35,9.6,NMBHF2
2026-01-27,9.5,9.6,9.5,9.5,NMBHF2
2026-01-28,9.4,9.69,9.4,9.53,NMBHF2
2026-01-29,9.52,9.79,9.5,9.6,NMBHF2
2026-02-01,9.6,9.71,9.55,9.55,NMBHF2
2026-02-02,9.46,9.55,9.46,9.5,NMBHF2
2026-02-03,9.31,9.69,9.31,9.41,NMBHF2
2026-02-04,9.4,9.59,9.4,9.5,NMBHF2
2026-02-05,9.5,9.69,9.5,9.69,NMBHF2
2026-02-08,9.5,9.5,9.35,9.5,NMBHF2
2026-02-09,9.32,9.5,9.32,9.38,NMBHF2
2026-02-10,9.31,9.4,9.31,9.35,NMBHF2
2026-02-11,9.26,9.41,9.26,9.4,NMBHF2
2026-02-12,9.3,9.58,9.3,9.45,NMBHF2
2026-02-16,9.31,9.55,9.31,9.55,NMBHF2
2026-02-17,9.38,9.5,9.38,9.5,NMBHF2
2026-02-22,9.33,9.52,9.33,9.46,NMBHF2
2026-02-23,9.32,9.7,9.32,9.65,NMBHF2
2026-02-24,9.75,9.75,9.47,9.73,NMBHF2
2026-02-26,9.54,9.55,9.39,9.41,NMBHF2
2026-03-01,9.4,9.64,9.4,9.46,NMBHF2
2026-03-03,9.4,9.53,9.4,9.44,NMBHF2
2026-03-10,9.4,9.82,9.37,9.82,NMBHF2
2026-03-11,9.63,9.82,9.46,9.56,NMBHF2
2026-03-12,9.43,9.76,9.43,9.61,NMBHF2
2026-03-15,9.44,9.84,9.44,9.84,NMBHF2
2026-03-16,9.84,10.03,9.65,9.7,NMBHF2
2026-03-17,9.64,9.83,9.64,9.8,NMBHF2
2026-03-19,9.65,9.89,9.65,9.74,NMBHF2
2026-03-22,9.7,9.93,9.7,9.91,NMBHF2
2026-03-23,9.73,10.2,9.73,10.1,NMBHF2
2026-03-24,10.0,10.1,9.91,10.0,NMBHF2
2026-03-25,9.81,10.19,9.81,9.92,NMBHF2
2026-03-26,9.74,10.11,9.74,9.93,NMBHF2
2026-03-29,9.91,10.02,9.6,9.75,NMBHF2
2026-03-30,9.71,10.0,9.71,9.92,NMBHF2
2026-03-31,9.76,9.99,9.76,9.91,NMBHF2
2026-04-01,9.8,10.08,9.61,9.9,NMBHF2
2026-04-02,9.71,9.79,9.63,9.63,NMBHF2
2026-04-05,9.63,9.98,9.47,9.8,NMBHF2
2026-04-06,9.62,9.99,9.43,9.83,NMBHF2
2026-04-07,9.83,10.0,9.64,9.81,NMBHF2
2026-04-08,9.99,9.99,9.62,9.95,NMBHF2
2026-04-09,9.76,9.99,9.59,9.99,NMBHF2
2026-04-10,9.88,10.0,9.36,9.99,NMBHF2
2026-04-13,9.98,9.99,9.82,9.85,NMBHF2
2026-04-15,9.66,10.0,9.66,9.85,NMBHF2
2026-04-16,9.84,9.9,9.72,9.9,NMBHF2
2026-04-17,9.71,9.97,9.71,9.97,NMBHF2
2026-04-20,9.7,9.99,9.7,9.82,NMBHF2
2026-04-21,9.53,9.94,9.53,9.94,NMBHF2
2026-04-22,9.65,9.94,9.65,9.72,NMBHF2
2026-04-23,9.43,9.86,9.43,9.86,NMBHF2
2026-04-24,9.86,9.87,9.7,9.7,NMBHF2
2026-04-27,9.7,10.0,9.41,9.65,NMBHF2
2026-04-28,9.17,9.89,9.17,9.62,NMBHF2
2026-04-29,9.62,9.88,9.35,9.59,NMBHF2
2026-04-30,9.58,9.58,9.45,9.47,NMBHF2
2026-05-04,9.45,9.7,9.27,9.27,NMBHF2
2026-05-05,9.34,9.5,9.12,9.4,NMBHF2
2026-05-06,9.13,9.4,9.13,9.36,NMBHF2
2026-05-07,9.35,9.52,9.23,9.52,NMBHF2
2026-05-08,9.61,9.88,9.6,9.6,NMBHF2
2026-05-11,9.36,9.89,9.36,9.88,NMBHF2
2026-05-12,9.8,9.8,9.61,9.63,NMBHF2
2026-05-13,9.35,9.8,9.35,9.51,NMBHF2
2026-05-14,9.34,9.79,9.34,9.78,NMBHF2
2026-05-15,9.54,9.55,9.54,9.55,NMBHF2
2026-05-18,9.35,9.64,9.35,9.44,NMBHF2
2026-05-19,9.7,9.71,9.44,9.45,NMBHF2
2026-05-20,9.4,9.76,9.4,9.76,NMBHF2
2026-05-21,9.76,9.84,9.51,9.84,NMBHF2
2026-05-22,9.84,9.84,9.56,9.67,NMBHF2
2026-05-25,9.6,9.7,9.6,9.7,NMBHF2
2026-05-26,9.68,9.93,9.6,9.64,NMBHF2
2026-05-27,9.6,9.88,9.6,9.64,NMBHF2
2026-06-01,9.6,9.64,9.55,9.64,NMBHF2
2026-06-02,9.52,9.83,9.52,9.83,NMBHF2
2026-06-03,9.61,9.89,9.61,9.72,NMBHF2
2026-06-04,9.7,9.71,9.66,9.71,NMBHF2
2026-06-05,9.56,9.9,9.56,9.71,NMBHF2
2026-06-08,9.56,9.9,9.56,9.71,NMBHF2
