date,open,high,low,close,symbol
2021-09-01,500.0,504.9,496.0,502.0,PCBL
2021-09-02,502.0,508.0,492.0,495.0,PCBL
2021-09-05,494.0,495.0,470.0,485.0,PCBL
2021-09-06,482.0,503.0,476.6,501.0,PCBL
2021-09-07,501.0,507.0,491.4,498.0,PCBL
2021-09-08,497.0,497.0,484.0,488.0,PCBL
2021-09-09,493.0,494.0,485.0,487.0,PCBL
2021-09-12,496.5,498.0,486.0,494.9,PCBL
2021-09-13,502.0,503.0,494.0,495.0,PCBL
2021-09-14,500.0,500.0,491.0,494.0,PCBL
2021-09-15,494.0,495.0,488.0,492.0,PCBL
2021-09-16,488.0,490.0,475.6,480.0,PCBL
2021-09-20,480.0,481.0,461.0,462.0,PCBL
2021-09-21,455.0,482.0,440.1,468.0,PCBL
2021-09-22,470.0,484.0,470.0,483.0,PCBL
2021-09-23,492.6,520.0,490.0,500.0,PCBL
2021-09-26,510.0,515.0,489.0,493.0,PCBL
2021-09-27,488.0,489.0,478.0,481.1,PCBL
2021-09-28,475.0,485.5,470.0,474.0,PCBL
2021-09-29,483.3,490.0,463.0,490.0,PCBL
2021-09-30,492.0,492.0,474.1,476.0,PCBL
2021-10-03,477.0,478.0,465.0,470.0,PCBL
2021-10-04,462.1,474.0,460.6,467.5,PCBL
2021-10-05,475.0,476.0,468.0,474.0,PCBL
2021-10-06,480.0,487.0,477.0,484.9,PCBL
2021-10-10,484.9,494.0,481.0,484.0,PCBL
2021-10-11,484.0,489.0,475.0,477.0,PCBL
2021-10-17,486.0,486.0,470.0,479.0,PCBL
2021-10-18,482.0,482.0,463.0,467.0,PCBL
2021-10-19,461.0,461.0,441.0,447.9,PCBL
2021-10-20,456.0,483.0,453.0,465.0,PCBL
2021-10-21,466.0,475.0,456.0,470.0,PCBL
2021-10-24,465.0,469.0,459.0,463.0,PCBL
2021-10-25,471.0,471.0,463.0,471.0,PCBL
2021-10-26,471.0,483.0,471.0,480.0,PCBL
2021-10-27,480.0,488.0,477.0,480.0,PCBL
2021-10-28,485.0,485.0,478.0,481.0,PCBL
2021-10-31,481.0,487.0,479.0,480.0,PCBL
2021-11-01,470.4,485.0,468.0,470.0,PCBL
2021-11-02,473.5,473.5,465.0,470.0,PCBL
2021-11-03,471.0,478.1,470.0,474.9,PCBL
2021-11-08,474.0,480.0,466.0,470.0,PCBL
2021-11-09,479.4,498.0,471.0,477.4,PCBL
2021-11-11,480.0,485.0,470.0,473.0,PCBL
2021-11-14,471.0,475.0,465.0,467.0,PCBL
2021-11-15,475.0,475.0,466.0,468.9,PCBL
2021-11-16,476.0,476.0,465.0,469.5,PCBL
2021-11-17,473.0,476.0,469.0,470.0,PCBL
2021-11-18,477.9,477.9,466.0,466.5,PCBL
2021-11-21,466.5,469.0,461.2,463.0,PCBL
2021-11-22,466.0,468.0,460.0,465.9,PCBL
2021-11-23,464.0,465.0,461.0,461.0,PCBL
2021-11-24,461.0,461.0,452.0,458.7,PCBL
2021-11-25,458.1,462.0,455.0,458.0,PCBL
2021-11-28,458.1,461.0,452.0,453.0,PCBL
2021-11-29,459.0,460.0,452.0,458.0,PCBL
2021-11-30,458.0,460.0,450.2,454.0,PCBL
2021-12-01,452.0,460.0,452.0,458.0,PCBL
2021-12-02,460.0,460.0,449.0,452.5,PCBL
2021-12-05,452.0,452.1,439.0,442.0,PCBL
2021-12-06,437.0,444.0,425.0,442.0,PCBL
2021-12-07,450.8,458.0,442.0,443.0,PCBL
2021-12-08,381.0,381.0,360.7,360.9,PCBL
2021-12-09,359.0,359.0,344.0,348.8,PCBL
2021-12-12,343.0,345.0,328.0,329.0,PCBL
2021-12-13,325.0,329.0,310.0,313.0,PCBL
2021-12-14,313.0,335.0,313.0,333.0,PCBL
2021-12-15,339.0,351.9,328.0,333.0,PCBL
2021-12-16,333.0,333.0,327.0,329.0,PCBL
2021-12-20,335.5,335.5,320.0,324.0,PCBL
2021-12-21,330.0,330.4,326.0,329.0,PCBL
2021-12-22,335.5,348.0,330.1,346.0,PCBL
2021-12-23,352.9,355.0,336.5,344.3,PCBL
2021-12-26,350.0,350.8,346.0,350.0,PCBL
2021-12-27,355.0,355.0,339.2,340.0,PCBL
2021-12-28,340.0,342.0,330.3,334.9,PCBL
2021-12-29,339.0,339.0,331.0,334.0,PCBL
2022-01-02,340.0,340.0,330.0,335.0,PCBL
2022-01-03,341.7,346.0,334.0,345.0,PCBL
2022-01-04,345.0,361.9,344.0,360.8,PCBL
2022-01-05,368.0,368.0,356.0,360.0,PCBL
2022-01-06,352.8,366.0,352.8,364.0,PCBL
2022-01-09,371.2,379.9,370.0,376.0,PCBL
2022-01-10,383.5,383.5,376.0,379.0,PCBL
2022-01-11,386.5,386.5,373.0,379.4,PCBL
2022-01-12,386.9,386.9,371.0,371.5,PCBL
2022-01-13,374.0,377.0,365.0,372.0,PCBL
2022-01-16,379.4,384.0,373.0,374.0,PCBL
2022-01-17,378.0,383.0,373.0,375.8,PCBL
2022-01-18,376.0,386.0,376.0,380.0,PCBL
2022-01-19,387.6,389.0,380.0,380.0,PCBL
2022-01-20,380.0,392.0,376.1,383.9,PCBL
2022-01-23,385.0,385.0,372.0,375.0,PCBL
2022-01-24,374.0,374.0,358.1,365.0,PCBL
2022-01-25,360.0,367.0,352.8,360.0,PCBL
2022-01-26,360.0,360.0,352.0,352.0,PCBL
2022-01-27,351.1,358.0,350.0,353.0,PCBL
2022-01-30,360.0,370.0,355.0,365.0,PCBL
2022-01-31,372.0,372.0,357.0,360.0,PCBL
2022-02-01,360.0,360.0,353.1,359.9,PCBL
2022-02-03,362.0,367.5,357.6,359.0,PCBL
2022-02-06,360.0,366.1,354.1,357.0,PCBL
2022-02-07,352.0,358.4,352.0,355.0,PCBL
2022-02-08,362.1,369.0,351.0,352.0,PCBL
2022-02-09,352.0,352.0,348.0,349.9,PCBL
2022-02-10,353.0,353.0,346.0,348.0,PCBL
2022-02-13,344.0,345.0,334.4,336.0,PCBL
2022-02-14,340.0,341.7,334.0,337.0,PCBL
2022-02-15,342.0,342.0,335.0,337.0,PCBL
2022-02-16,342.0,342.0,335.0,336.0,PCBL
2022-02-17,338.0,338.0,330.1,337.0,PCBL
2022-02-20,335.0,335.0,330.0,330.6,PCBL
2022-02-21,332.0,338.0,331.0,337.0,PCBL
2022-02-22,343.0,343.0,333.0,335.0,PCBL
2022-02-23,337.2,337.2,330.1,332.0,PCBL
2022-02-24,330.0,330.0,321.0,325.0,PCBL
2022-02-27,320.0,326.0,319.0,319.0,PCBL
2022-02-28,321.0,325.0,315.0,316.0,PCBL
2022-03-02,315.0,320.0,311.3,315.0,PCBL
2022-03-06,320.0,320.0,315.0,319.1,PCBL
2022-03-07,315.7,323.0,315.7,319.9,PCBL
2022-03-09,320.0,320.0,313.0,315.0,PCBL
2022-03-10,315.0,318.0,310.0,316.1,PCBL
2022-03-13,320.0,333.0,320.0,332.8,PCBL
2022-03-14,339.0,339.4,330.0,330.0,PCBL
2022-03-15,330.0,333.0,326.0,330.0,PCBL
2022-03-16,325.5,332.0,325.5,328.0,PCBL
2022-03-20,328.0,333.0,321.5,325.0,PCBL
2022-03-21,325.0,325.0,320.1,323.2,PCBL
2022-03-22,325.5,327.0,322.0,326.0,PCBL
2022-03-23,325.0,326.0,321.9,324.0,PCBL
2022-03-24,320.0,324.0,319.2,319.5,PCBL
2022-03-27,320.0,320.0,313.7,314.0,PCBL
2022-03-28,312.0,315.0,311.0,312.0,PCBL
2022-03-29,318.0,318.0,311.0,311.2,PCBL
