date,open,high,low,close,symbol
2021-09-01,535.0,558.0,530.0,540.0,PROFL
2021-09-02,549.0,549.0,500.0,510.0,PROFL
2021-09-05,510.0,519.0,459.0,519.0,PROFL
2021-09-06,529.3,570.0,486.0,554.0,PROFL
2021-09-07,554.0,556.0,520.0,523.0,PROFL
2021-09-08,514.0,523.0,495.9,501.0,PROFL
2021-09-09,502.0,513.9,490.0,502.0,PROFL
2021-09-12,510.0,519.0,497.0,518.0,PROFL
2021-09-13,528.3,538.0,503.0,515.0,PROFL
2021-09-14,504.7,525.0,495.0,502.0,PROFL
2021-09-15,512.0,512.0,488.2,496.0,PROFL
2021-09-16,487.0,492.9,458.8,469.0,PROFL
2021-09-20,478.0,478.3,422.1,422.1,PROFL
2021-09-21,413.7,444.0,390.2,422.0,PROFL
2021-09-22,430.4,459.9,430.0,452.9,PROFL
2021-09-23,461.9,471.0,435.1,438.1,PROFL
2021-09-26,446.8,446.8,399.0,407.0,PROFL
2021-09-27,399.0,415.0,370.0,387.0,PROFL
2021-09-28,390.0,408.0,352.0,355.0,PROFL
2021-09-29,355.0,390.5,330.0,380.0,PROFL
2021-09-30,387.6,402.0,364.0,365.0,PROFL
2021-10-03,360.0,368.0,340.0,348.0,PROFL
2021-10-04,341.1,361.9,323.5,337.0,PROFL
2021-10-05,343.0,369.0,331.0,359.0,PROFL
2021-10-06,366.1,394.9,366.0,394.9,PROFL
2021-10-10,400.0,423.0,393.0,398.0,PROFL
2021-10-11,392.0,401.0,385.0,399.0,PROFL
2021-10-17,406.0,414.1,390.2,402.0,PROFL
2021-10-18,394.0,399.0,375.0,378.0,PROFL
2021-10-19,370.5,370.5,343.0,359.0,PROFL
2021-10-20,366.1,385.0,360.1,374.0,PROFL
2021-10-21,381.0,381.4,362.0,364.0,PROFL
2021-10-24,364.1,386.2,364.1,376.0,PROFL
2021-10-25,383.0,413.0,383.0,412.0,PROFL
2021-10-26,420.2,445.6,410.0,430.0,PROFL
2021-10-27,438.0,443.7,416.5,424.9,PROFL
2021-10-28,429.0,432.0,416.0,425.1,PROFL
2021-10-31,430.0,453.0,421.0,450.5,PROFL
2021-11-01,459.5,477.9,431.2,439.0,PROFL
2021-11-02,440.0,456.0,434.2,454.0,PROFL
2021-11-03,463.0,470.0,446.0,447.0,PROFL
2021-11-08,450.0,458.0,434.0,442.0,PROFL
2021-11-09,442.0,446.0,413.0,419.4,PROFL
2021-11-11,411.2,428.0,400.0,400.0,PROFL
2021-11-14,401.0,430.0,392.0,411.0,PROFL
2021-11-15,419.0,433.0,416.0,425.4,PROFL
2021-11-16,428.0,440.0,417.1,435.0,PROFL
2021-11-17,441.6,461.0,427.0,430.0,PROFL
2021-11-18,422.0,435.0,415.0,421.0,PROFL
2021-11-21,421.0,443.9,421.0,422.0,PROFL
2021-11-22,425.0,432.0,422.0,424.0,PROFL
2021-11-23,420.0,423.0,406.7,408.0,PROFL
2021-11-24,400.0,424.0,395.0,418.9,PROFL
2021-11-25,425.0,425.0,415.0,415.0,PROFL
2021-11-28,413.0,413.0,396.0,396.0,PROFL
2021-11-29,388.5,410.0,388.5,398.0,PROFL
2021-11-30,398.0,404.9,392.5,399.9,PROFL
2021-12-01,400.0,408.0,400.0,402.0,PROFL
2021-12-02,400.0,400.0,384.0,388.0,PROFL
2021-12-05,383.0,388.1,368.0,370.0,PROFL
2021-12-06,377.0,396.0,342.0,389.0,PROFL
2021-12-07,396.0,410.0,370.6,380.0,PROFL
2021-12-08,374.0,387.0,363.0,366.0,PROFL
2021-12-09,370.0,374.9,359.0,365.0,PROFL
2021-12-12,360.0,361.0,334.2,335.0,PROFL
2021-12-13,329.0,335.0,306.0,311.0,PROFL
2021-12-14,317.0,342.1,317.0,342.1,PROFL
2021-12-15,348.9,376.3,337.0,357.0,PROFL
2021-12-16,350.0,357.0,342.1,346.0,PROFL
2021-12-20,347.0,352.0,329.0,335.0,PROFL
2021-12-21,341.7,360.0,336.0,346.0,PROFL
2021-12-22,352.1,370.0,346.0,368.0,PROFL
2021-12-23,368.0,377.0,363.1,366.0,PROFL
2021-12-26,372.0,372.0,355.0,364.5,PROFL
2021-12-27,365.0,365.0,339.0,343.1,PROFL
2021-12-28,336.3,358.0,330.0,350.0,PROFL
2021-12-29,350.0,355.9,343.0,350.0,PROFL
2022-01-02,346.0,357.0,345.0,354.9,PROFL
2022-01-03,338.3,352.9,338.0,345.0,PROFL
2022-01-04,351.9,379.0,343.0,368.0,PROFL
2022-01-05,372.0,372.9,350.0,360.0,PROFL
2022-01-06,360.0,365.0,355.0,360.1,PROFL
2022-01-09,367.0,393.7,367.0,393.7,PROFL
2022-01-10,401.0,410.0,382.2,398.0,PROFL
2022-01-11,390.1,437.8,390.1,424.0,PROFL
2022-01-12,415.6,440.0,410.0,411.0,PROFL
2022-01-13,410.0,423.2,403.0,420.1,PROFL
2022-01-16,428.0,442.0,426.3,429.0,PROFL
2022-01-17,431.0,437.0,418.2,429.9,PROFL
2022-01-18,430.0,433.0,405.0,417.0,PROFL
2022-01-19,414.0,423.0,403.0,408.0,PROFL
2022-01-20,406.5,423.0,405.0,419.0,PROFL
2022-01-23,427.0,427.0,407.0,410.0,PROFL
2022-01-24,402.0,410.0,382.0,389.1,PROFL
2022-01-25,390.0,403.0,380.0,385.6,PROFL
2022-01-26,380.0,392.0,375.1,377.0,PROFL
2022-01-27,377.1,390.0,377.1,380.0,PROFL
2022-01-30,387.6,411.9,387.6,411.9,PROFL
2022-01-31,413.0,415.0,395.0,401.0,PROFL
2022-02-01,401.0,409.0,400.0,406.0,PROFL
2022-02-03,411.0,414.0,395.0,399.0,PROFL
2022-02-06,395.0,400.9,389.0,389.0,PROFL
2022-02-07,381.3,402.0,381.3,395.0,PROFL
2022-02-08,402.0,427.0,392.0,395.0,PROFL
2022-02-09,390.0,397.8,386.4,387.0,PROFL
2022-02-10,394.0,394.0,385.0,387.0,PROFL
2022-02-13,381.0,382.0,369.5,370.0,PROFL
2022-02-14,363.0,384.5,363.0,373.9,PROFL
2022-02-15,381.0,384.0,374.0,380.9,PROFL
2022-02-16,388.1,388.1,374.0,374.4,PROFL
2022-02-17,380.0,382.0,370.0,370.0,PROFL
2022-02-20,362.6,375.0,355.4,367.0,PROFL
2022-02-21,367.0,375.0,366.0,372.9,PROFL
2022-02-22,373.1,382.5,373.1,375.5,PROFL
2022-02-23,383.0,383.0,371.1,372.1,PROFL
2022-02-24,365.1,372.0,359.0,361.3,PROFL
2022-02-27,358.0,374.7,357.0,359.1,PROFL
2022-02-28,366.0,366.0,352.0,352.0,PROFL
2022-03-02,352.0,352.0,335.0,339.0,PROFL
2022-03-06,344.0,350.8,334.0,337.0,PROFL
2022-03-07,343.0,346.0,333.3,333.3,PROFL
2022-03-09,339.9,339.9,322.5,322.5,PROFL
2022-03-10,325.0,350.0,318.6,350.0,PROFL
2022-03-13,352.0,368.0,352.0,368.0,PROFL
2022-03-14,372.0,372.0,356.9,365.9,PROFL
2022-03-15,372.7,372.7,355.0,355.0,PROFL
2022-03-16,360.0,360.0,345.0,347.0,PROFL
2022-03-20,347.0,352.9,343.0,348.0,PROFL
2022-03-21,354.0,359.9,343.0,358.9,PROFL
2022-03-22,365.0,366.0,355.8,358.0,PROFL
2022-03-23,350.9,360.0,348.0,356.0,PROFL
2022-03-24,360.0,360.0,345.0,345.0,PROFL
2022-03-27,341.0,348.0,333.5,334.0,PROFL
2022-03-28,328.0,340.0,325.0,326.0,PROFL
2022-03-29,331.0,339.9,324.0,325.9,PROFL
2022-03-30,325.0,350.0,325.0,340.0,PROFL
2022-03-31,344.0,347.9,327.0,327.0,PROFL
2022-04-03,325.0,332.0,320.5,326.0,PROFL
2022-04-04,321.0,335.0,321.0,323.1,PROFL
2022-04-05,320.0,325.0,314.0,321.9,PROFL
2022-04-06,328.0,329.0,309.4,320.0,PROFL
2022-04-07,325.9,330.0,316.2,324.0,PROFL
2022-04-11,330.4,342.0,314.0,314.0,PROFL
2022-04-12,314.0,317.2,305.2,308.0,PROFL
2022-04-13,310.0,315.0,307.8,311.0,PROFL
2022-04-17,312.0,314.0,300.0,307.9,PROFL
2022-04-18,301.8,305.0,290.2,290.2,PROFL
2022-04-19,290.2,312.0,279.3,296.0,PROFL
2022-04-20,301.0,301.0,283.0,287.8,PROFL
2022-04-21,283.0,289.0,275.0,289.0,PROFL
2022-04-24,293.5,317.9,288.0,315.0,PROFL
2022-04-25,320.0,324.3,302.0,312.0,PROFL
2022-04-26,314.0,314.0,298.0,309.0,PROFL
2022-04-27,304.0,309.5,301.1,308.0,PROFL
2022-04-28,311.0,311.0,294.2,297.0,PROFL
2022-05-02,291.2,291.5,282.3,290.0,PROFL
2022-05-04,285.0,287.0,279.3,281.0,PROFL
2022-05-05,276.0,284.0,270.5,276.0,PROFL
2022-05-08,270.5,295.0,265.0,290.0,PROFL
2022-05-09,290.0,296.6,281.0,285.9,PROFL
2022-05-10,290.0,296.0,285.2,293.9,PROFL
2022-05-11,299.0,311.1,290.0,311.1,PROFL
2022-05-12,315.0,317.3,302.0,303.5,PROFL
2022-05-17,297.5,303.4,282.1,287.0,PROFL
2022-05-18,282.0,296.0,280.0,296.0,PROFL
2022-05-19,290.5,299.9,284.0,285.0,PROFL
2022-05-20,279.3,288.0,275.4,285.8,PROFL
2022-05-23,290.0,290.0,269.0,276.0,PROFL
2022-05-24,274.0,289.0,269.0,280.0,PROFL
2022-05-25,285.0,285.6,275.1,280.0,PROFL
2022-05-26,282.0,282.0,274.6,282.0,PROFL
2022-05-27,282.0,282.0,274.0,275.0,PROFL
2022-05-30,271.0,271.0,258.0,262.9,PROFL
2022-05-31,258.0,268.0,255.0,255.8,PROFL
2022-06-01,260.0,265.2,254.0,259.9,PROFL
2022-06-02,262.0,265.0,254.0,258.9,PROFL
2022-06-03,259.0,259.0,247.0,247.0,PROFL
2022-06-06,249.0,256.9,245.0,248.0,PROFL
2022-06-07,245.0,245.0,235.4,242.7,PROFL
2022-06-08,246.0,266.5,234.0,261.0,PROFL
2022-06-09,256.5,271.3,250.0,250.0,PROFL
2022-06-10,246.0,253.0,245.0,247.0,PROFL
2022-06-13,250.0,250.0,245.5,245.5,PROFL
2022-06-14,242.0,242.0,230.0,231.5,PROFL
2022-06-15,227.0,238.6,222.0,224.2,PROFL
2022-06-16,227.0,236.2,225.0,226.0,PROFL
2022-06-17,230.0,234.4,223.0,226.0,PROFL
2022-06-19,227.0,227.0,216.5,216.5,PROFL
2022-06-20,215.0,215.0,206.0,209.8,PROFL
2022-06-21,213.0,222.0,212.0,218.0,PROFL
2022-06-22,220.0,220.0,208.0,209.0,PROFL
2022-06-23,205.0,205.0,195.0,199.0,PROFL
2022-06-24,196.0,218.4,192.0,208.0,PROFL
2022-06-26,212.1,228.8,212.1,228.8,PROFL
2022-06-27,233.3,237.8,220.0,231.0,PROFL
2022-06-28,230.0,230.0,218.3,222.0,PROFL
2022-06-29,217.6,230.0,217.6,230.0,PROFL
2022-06-30,226.0,244.8,226.0,244.8,PROFL
2022-07-01,242.0,249.0,235.3,241.5,PROFL
2022-07-03,245.0,250.0,237.0,250.0,PROFL
2022-07-04,250.0,268.0,240.1,245.0,PROFL
2022-07-05,241.0,250.8,230.0,239.0,PROFL
2022-07-06,240.0,249.6,230.3,243.1,PROFL
2022-07-07,245.0,251.9,240.0,242.1,PROFL
2022-07-08,238.0,240.0,233.0,233.0,PROFL
2022-07-11,230.0,232.0,213.2,216.0,PROFL
2022-07-12,220.0,224.0,214.1,224.0,PROFL
2022-07-13,224.0,245.0,221.0,242.0,PROFL
2022-07-14,244.0,246.5,230.0,243.0,PROFL
2022-07-15,238.5,246.0,231.0,246.0,PROFL
2022-07-17,245.0,249.0,235.2,237.1,PROFL
2022-07-18,236.1,242.0,233.0,238.0,PROFL
2022-07-19,242.0,253.7,238.0,247.3,PROFL
2022-07-20,243.0,260.0,243.0,252.0,PROFL
2022-07-21,250.0,257.0,247.1,249.9,PROFL
2022-07-22,245.2,255.6,240.3,252.0,PROFL
2022-07-24,248.0,273.3,247.0,273.3,PROFL
2022-07-25,275.0,299.0,275.0,299.0,PROFL
2022-07-26,302.0,312.0,280.3,290.0,PROFL
2022-07-27,284.2,305.0,273.0,301.0,PROFL
2022-07-28,303.0,315.0,294.0,304.0,PROFL
2022-07-29,303.0,314.1,299.0,307.0,PROFL
