date,open,high,low,close,symbol
2021-09-02,10.0,10.15,9.98,10.1,RMF1
2021-09-05,10.1,10.3,9.85,9.95,RMF1
2021-09-06,9.95,10.1,9.95,10.05,RMF1
2021-09-07,9.95,10.09,9.95,10.0,RMF1
2021-09-08,10.0,10.05,9.97,10.03,RMF1
2021-09-09,9.95,10.0,9.85,9.88,RMF1
2021-09-12,9.89,10.0,9.89,9.96,RMF1
2021-09-13,9.98,9.98,9.85,9.92,RMF1
2021-09-14,9.9,10.05,9.9,9.91,RMF1
2021-09-15,9.9,10.1,9.9,9.93,RMF1
2021-09-16,9.85,10.0,9.82,9.85,RMF1
2021-09-20,9.8,9.89,9.71,9.71,RMF1
2021-09-21,9.6,9.8,9.5,9.61,RMF1
2021-09-22,9.7,10.0,9.62,9.65,RMF1
2021-09-23,9.47,9.88,9.47,9.7,RMF1
2021-09-26,9.7,9.8,9.58,9.59,RMF1
2021-09-27,9.5,9.69,9.32,9.5,RMF1
2021-09-28,9.32,9.52,9.32,9.4,RMF1
2021-09-29,9.4,9.67,9.4,9.61,RMF1
2021-09-30,9.6,9.65,9.42,9.52,RMF1
2021-10-03,9.33,9.5,9.3,9.5,RMF1
2021-10-04,9.32,9.69,9.31,9.32,RMF1
2021-10-05,9.3,9.61,9.25,9.51,RMF1
2021-10-06,9.7,9.89,9.61,9.62,RMF1
2021-10-10,9.62,9.9,9.57,9.81,RMF1
2021-10-11,9.62,9.75,9.56,9.75,RMF1
2021-10-17,9.7,10.04,9.7,10.04,RMF1
2021-10-18,9.85,9.89,9.7,9.89,RMF1
2021-10-19,9.9,9.9,9.36,9.41,RMF1
2021-10-20,9.5,9.97,9.5,9.9,RMF1
2021-10-21,10.0,10.0,9.71,9.9,RMF1
2021-10-24,9.72,9.9,9.54,9.7,RMF1
2021-10-25,9.65,9.89,9.65,9.77,RMF1
2021-10-26,9.77,10.0,9.65,9.97,RMF1
2021-10-27,9.79,9.9,9.78,9.82,RMF1
2021-10-28,9.7,9.9,9.7,9.78,RMF1
2021-10-31,9.78,9.81,9.6,9.76,RMF1
2021-11-01,9.8,9.85,9.65,9.66,RMF1
2021-11-02,9.66,9.8,9.6,9.6,RMF1
2021-11-03,9.78,9.78,9.6,9.61,RMF1
2021-11-08,9.5,9.7,9.5,9.69,RMF1
2021-11-09,9.7,9.7,9.47,9.5,RMF1
2021-11-11,9.36,9.6,9.36,9.48,RMF1
2021-11-14,9.36,9.54,9.36,9.54,RMF1
2021-11-15,9.54,9.72,9.2,9.55,RMF1
2021-11-16,9.5,9.69,9.4,9.64,RMF1
2021-11-17,9.45,9.83,9.38,9.5,RMF1
2021-11-18,9.6,9.68,9.4,9.5,RMF1
2021-11-21,9.4,9.54,9.36,9.54,RMF1
2021-11-22,9.35,9.63,9.35,9.41,RMF1
2021-11-23,9.35,9.5,9.35,9.37,RMF1
2021-11-24,9.37,9.5,9.31,9.32,RMF1
2021-11-25,9.33,9.48,9.3,9.32,RMF1
2021-11-28,9.32,9.44,9.22,9.44,RMF1
2021-11-29,9.47,9.5,9.35,9.35,RMF1
2021-11-30,9.2,9.3,9.18,9.21,RMF1
2021-12-01,9.21,9.35,9.17,9.35,RMF1
2021-12-02,9.2,9.36,9.2,9.21,RMF1
2021-12-05,9.11,9.12,9.0,9.03,RMF1
2021-12-06,9.0,9.15,8.97,9.15,RMF1
2021-12-07,9.0,9.2,9.0,9.19,RMF1
2021-12-08,9.1,9.2,8.96,8.96,RMF1
2021-12-09,9.12,9.13,8.99,9.03,RMF1
2021-12-12,9.03,9.17,9.0,9.09,RMF1
2021-12-13,9.0,9.0,8.91,8.95,RMF1
2021-12-14,8.95,9.11,8.95,9.11,RMF1
2021-12-15,9.12,9.2,9.0,9.0,RMF1
2021-12-16,9.18,9.48,8.82,8.99,RMF1
2021-12-20,8.82,9.12,8.82,8.94,RMF1
2021-12-21,8.94,9.15,8.85,9.15,RMF1
2021-12-22,9.0,9.15,8.8,9.15,RMF1
2021-12-23,8.97,9.17,8.97,9.17,RMF1
2021-12-26,8.99,9.2,8.99,9.1,RMF1
2021-12-27,9.11,9.17,9.0,9.0,RMF1
2021-12-28,9.0,9.18,9.0,9.0,RMF1
2021-12-29,8.93,9.1,8.93,9.1,RMF1
2022-01-02,8.92,9.2,8.91,8.91,RMF1
2022-01-03,9.01,9.01,8.81,8.97,RMF1
2022-01-04,8.96,9.13,8.96,9.0,RMF1
2022-01-05,8.91,9.1,8.91,9.0,RMF1
2022-01-06,9.18,9.54,9.18,9.35,RMF1
2022-01-09,9.53,9.53,9.2,9.3,RMF1
2022-01-10,9.4,9.48,9.25,9.43,RMF1
2022-01-11,9.42,9.58,9.25,9.39,RMF1
2022-01-12,9.26,9.38,9.16,9.16,RMF1
2022-01-13,9.16,9.2,9.02,9.2,RMF1
2022-01-16,9.02,9.4,9.0,9.3,RMF1
2022-01-17,9.22,9.3,9.05,9.25,RMF1
2022-01-18,9.25,9.28,9.1,9.28,RMF1
2022-01-19,9.11,9.35,9.11,9.18,RMF1
2022-01-20,9.1,9.33,9.02,9.33,RMF1
2022-01-23,9.25,9.33,9.2,9.25,RMF1
2022-01-24,9.07,9.3,9.07,9.09,RMF1
2022-01-25,9.22,9.22,9.13,9.2,RMF1
2022-01-26,9.15,9.2,9.1,9.1,RMF1
2022-01-27,9.06,9.15,9.03,9.1,RMF1
2022-01-30,9.1,9.5,9.04,9.04,RMF1
2022-01-31,9.0,9.41,8.9,9.2,RMF1
2022-02-01,9.02,9.2,9.02,9.16,RMF1
2022-02-03,9.1,9.2,9.1,9.16,RMF1
2022-02-06,9.0,9.16,9.0,9.1,RMF1
2022-02-07,9.05,9.2,9.05,9.15,RMF1
