date,open,high,low,close,symbol
2021-10-21,1000.0,1000.0,1000.0,1000.0,SDBD87
2021-10-25,980.0,980.0,945.0,960.0,SDBD87
2021-10-26,950.0,960.0,950.0,959.9,SDBD87
2021-10-27,954.1,955.0,954.1,955.0,SDBD87
2021-10-28,960.0,962.0,960.0,962.0,SDBD87
2021-10-31,950.0,957.0,950.0,957.0,SDBD87
2021-11-01,960.0,976.1,960.0,961.1,SDBD87
2021-11-08,970.0,970.0,966.0,967.0,SDBD87
2021-11-09,967.0,967.0,967.0,967.0,SDBD87
2021-11-11,960.0,960.0,960.0,960.0,SDBD87
2021-11-14,960.0,960.0,960.0,960.0,SDBD87
2021-11-15,960.1,960.1,960.1,960.1,SDBD87
2021-11-16,960.0,960.0,960.0,960.0,SDBD87
2021-11-17,960.0,960.0,960.0,960.0,SDBD87
2021-11-18,960.0,960.0,960.0,960.0,SDBD87
2021-11-21,960.0,960.0,957.7,957.7,SDBD87
2021-11-25,960.0,960.0,960.0,960.0,SDBD87
2021-11-28,960.0,960.0,960.0,960.0,SDBD87
2021-11-29,960.0,960.0,955.6,955.6,SDBD87
2021-12-01,955.2,955.2,955.2,955.2,SDBD87
2021-12-02,954.5,954.5,954.5,954.5,SDBD87
2021-12-05,954.6,954.6,953.6,953.6,SDBD87
2021-12-07,951.3,955.2,951.3,955.2,SDBD87
2021-12-08,951.1,951.1,951.1,951.1,SDBD87
2021-12-13,950.0,950.0,950.0,950.0,SDBD87
2021-12-14,950.2,951.2,950.0,951.2,SDBD87
2021-12-15,950.2,950.2,950.1,950.1,SDBD87
2021-12-16,955.0,969.0,955.0,969.0,SDBD87
2021-12-20,969.5,969.5,969.5,969.5,SDBD87
2021-12-22,950.4,969.0,950.4,969.0,SDBD87
2021-12-26,951.2,951.2,951.2,951.2,SDBD87
2022-01-02,949.6,950.9,949.6,950.3,SDBD87
2022-01-03,955.0,955.0,955.0,955.0,SDBD87
2022-01-04,974.1,974.1,974.1,974.1,SDBD87
2022-01-05,955.0,955.0,955.0,955.0,SDBD87
2022-01-06,974.1,980.0,970.0,980.0,SDBD87
2022-01-09,990.0,999.6,990.0,999.6,SDBD87
2022-01-10,999.9,1000.0,995.0,995.0,SDBD87
2022-01-11,1000.1,1000.1,1000.1,1000.1,SDBD87
2022-01-12,985.0,985.0,985.0,985.0,SDBD87
2022-01-13,1000.0,1000.0,980.0,980.0,SDBD87
2022-01-18,960.4,960.4,960.4,960.4,SDBD87
2022-01-23,941.2,941.2,923.0,923.0,SDBD87
2022-01-24,910.0,910.0,910.0,910.0,SDBD87
2022-01-25,903.0,903.0,895.0,899.0,SDBD87
2022-01-26,895.0,895.0,895.0,895.0,SDBD87
2022-01-30,895.0,895.0,895.0,895.0,SDBD87
2022-01-31,897.0,897.0,897.0,897.0,SDBD87
2022-02-01,895.5,899.1,895.5,899.1,SDBD87
2022-02-15,887.0,890.0,886.0,890.0,SDBD87
2022-02-16,887.0,890.0,886.5,890.0,SDBD87
2022-02-23,885.5,885.5,885.0,885.0,SDBD87
2022-03-07,880.0,880.0,878.0,878.0,SDBD87
2022-03-09,890.0,890.0,890.0,890.0,SDBD87
2022-03-15,874.5,874.5,874.5,874.5,SDBD87
2022-03-16,874.6,875.0,874.0,875.0,SDBD87
2022-03-20,872.9,872.9,866.0,866.0,SDBD87
2022-03-22,866.1,867.0,866.0,866.5,SDBD87
2022-03-27,861.0,865.0,860.3,865.0,SDBD87
2022-03-29,865.0,865.0,865.0,865.0,SDBD87
2022-04-11,882.3,885.0,882.3,885.0,SDBD87
2022-04-17,900.0,902.5,900.0,902.5,SDBD87
2022-04-27,884.5,884.5,884.5,884.5,SDBD87
2022-04-28,884.5,884.5,884.5,884.5,SDBD87
2022-05-17,868.2,868.2,867.0,867.0,SDBD87
2022-05-18,865.0,865.0,865.0,865.0,SDBD87
2022-05-19,865.0,865.0,863.0,863.0,SDBD87
2022-05-23,861.7,861.7,861.7,861.7,SDBD87
2022-05-25,862.6,862.6,862.6,862.6,SDBD87
2022-05-30,864.1,864.1,864.1,864.1,SDBD87
2022-06-01,863.2,863.2,863.2,863.2,SDBD87
2022-06-10,863.1,863.1,862.0,862.0,SDBD87
2022-06-13,862.5,862.5,862.5,862.5,SDBD87
2022-06-14,862.5,862.5,862.5,862.5,SDBD87
2022-06-15,862.5,862.5,862.5,862.5,SDBD87
2022-06-20,861.7,861.7,861.7,861.7,SDBD87
2022-06-29,861.5,875.0,861.5,875.0,SDBD87
2022-07-03,892.4,892.5,875.0,875.0,SDBD87
2022-07-15,892.0,892.5,892.0,892.5,SDBD87
2022-07-20,874.7,874.7,857.3,857.3,SDBD87
2022-07-21,857.3,857.3,857.3,857.3,SDBD87
2022-07-22,857.0,857.0,857.0,857.0,SDBD87
2022-07-24,856.0,856.0,856.0,856.0,SDBD87
2022-07-27,838.9,838.9,838.9,838.9,SDBD87
2022-07-29,822.2,822.2,822.2,822.2,SDBD87
2022-08-03,822.5,822.5,822.5,822.5,SDBD87
2022-08-10,822.0,822.0,822.0,822.0,SDBD87
2022-08-16,810.0,810.0,810.0,810.0,SDBD87
2022-08-18,806.0,807.0,800.0,800.0,SDBD87
2022-08-22,791.3,791.3,791.3,791.3,SDBD87
2022-08-30,791.2,791.2,791.0,791.0,SDBD87
2022-08-31,790.0,790.0,790.0,790.0,SDBD87
2022-09-01,790.0,790.0,782.0,782.0,SDBD87
2022-09-08,771.1,771.1,771.1,771.1,SDBD87
2022-09-12,771.0,771.0,771.0,771.0,SDBD87
2022-09-15,768.1,768.1,768.1,768.1,SDBD87
2022-09-20,760.1,760.1,760.1,760.1,SDBD87
2022-09-22,761.0,761.0,761.0,761.0,SDBD87
2022-10-10,776.2,776.2,776.2,776.2,SDBD87
2022-10-11,775.0,791.7,775.0,791.7,SDBD87
2022-10-12,807.4,807.4,807.4,807.4,SDBD87
2022-10-20,791.4,791.4,791.4,791.4,SDBD87
2022-11-02,777.5,777.5,777.5,777.5,SDBD87
2022-11-06,762.0,762.0,762.0,762.0,SDBD87
2022-11-08,756.0,756.0,756.0,756.0,SDBD87
2022-12-13,756.0,757.1,756.0,757.1,SDBD87
2022-12-18,757.1,757.1,757.0,757.0,SDBD87
2022-12-19,754.3,754.3,754.3,754.3,SDBD87
2022-12-20,756.3,756.3,756.3,756.3,SDBD87
2022-12-26,771.4,771.4,771.4,771.4,SDBD87
2022-12-27,771.4,771.4,771.4,771.4,SDBD87
2023-01-01,771.4,771.4,771.4,771.4,SDBD87
2023-01-04,786.8,786.8,786.8,786.8,SDBD87
2023-01-10,786.0,786.0,786.0,786.0,SDBD87
2023-01-12,801.7,801.7,801.7,801.7,SDBD87
2023-01-23,790.0,790.0,780.0,780.0,SDBD87
2023-01-25,780.0,780.0,780.0,780.0,SDBD87
2023-01-29,780.0,780.0,780.0,780.0,SDBD87
2023-02-01,764.4,764.4,764.4,764.4,SDBD87
2023-02-05,750.1,750.1,750.1,750.1,SDBD87
2023-02-12,755.0,755.0,755.0,755.0,SDBD87
2023-02-22,770.0,770.0,770.0,770.0,SDBD87
2023-03-22,756.1,756.1,756.1,756.1,SDBD87
2023-03-23,746.0,746.0,746.0,746.0,SDBD87
2023-03-26,746.2,746.2,746.1,746.1,SDBD87
2023-04-05,750.0,760.4,750.0,760.4,SDBD87
2023-04-06,753.2,753.2,753.2,753.2,SDBD87
2023-04-09,745.0,750.1,745.0,750.1,SDBD87
2023-04-16,765.1,765.9,765.1,765.9,SDBD87
2023-04-19,781.2,781.2,781.2,781.2,SDBD87
2023-04-27,780.0,780.0,780.0,780.0,SDBD87
2023-05-03,795.6,795.6,781.0,781.0,SDBD87
2023-05-04,780.0,780.0,780.0,780.0,SDBD87
2023-05-09,795.6,795.6,795.6,795.6,SDBD87
2023-05-16,810.0,811.5,810.0,811.5,SDBD87
2023-06-04,800.0,800.0,800.0,800.0,SDBD87
2023-06-05,816.0,816.0,816.0,816.0,SDBD87
2023-06-07,816.0,816.0,816.0,816.0,SDBD87
2023-06-08,800.0,800.0,800.0,800.0,SDBD87
2023-06-14,785.1,790.0,785.1,790.0,SDBD87
2023-06-15,791.7,791.7,791.5,791.5,SDBD87
2023-06-26,807.3,807.3,807.3,807.3,SDBD87
2023-06-28,800.2,800.2,800.1,800.1,SDBD87
2023-07-02,805.4,805.4,805.4,805.4,SDBD87
2023-07-04,815.0,815.0,815.0,815.0,SDBD87
2023-07-11,831.0,831.0,831.0,831.0,SDBD87
2023-07-13,847.6,847.6,847.6,847.6,SDBD87
2023-07-16,864.5,864.5,864.5,864.5,SDBD87
2023-07-23,847.3,847.3,847.3,847.3,SDBD87
2023-07-24,847.0,847.3,847.0,847.3,SDBD87
2023-07-27,849.0,850.0,849.0,850.0,SDBD87
2023-07-30,835.0,835.0,830.0,830.0,SDBD87
2023-08-03,830.0,830.0,830.0,830.0,SDBD87
2023-08-07,830.0,830.0,830.0,830.0,SDBD87
2023-08-10,814.0,830.2,814.0,830.2,SDBD87
2023-08-13,815.0,815.0,815.0,815.0,SDBD87
2023-08-27,815.0,825.0,815.0,825.0,SDBD87
2023-08-28,838.0,838.0,838.0,838.0,SDBD87
2023-09-05,825.0,825.0,825.0,825.0,SDBD87
2023-09-10,820.0,820.0,820.0,820.0,SDBD87
2023-09-17,805.0,805.0,805.0,805.0,SDBD87
2023-09-25,805.0,805.0,805.0,805.0,SDBD87
2023-09-26,810.0,810.0,810.0,810.0,SDBD87
2023-09-27,801.0,810.0,801.0,810.0,SDBD87
2023-10-03,810.0,810.0,810.0,810.0,SDBD87
2023-10-05,794.1,794.1,794.0,794.0,SDBD87
2023-10-08,778.3,778.3,778.3,778.3,SDBD87
2023-10-18,793.8,793.8,793.8,793.8,SDBD87
2023-11-06,800.0,800.0,800.0,800.0,SDBD87
2023-11-08,816.0,816.0,816.0,816.0,SDBD87
2023-11-09,802.2,802.2,802.2,802.2,SDBD87
2023-11-21,818.0,820.0,818.0,820.0,SDBD87
2023-11-26,815.7,815.7,815.7,815.7,SDBD87
2023-11-27,820.4,820.4,820.4,820.4,SDBD87
2023-11-28,817.1,833.0,817.1,833.0,SDBD87
2023-11-30,820.1,820.1,820.1,820.1,SDBD87
2023-12-12,836.5,840.0,836.5,840.0,SDBD87
2023-12-14,835.2,835.2,835.2,835.2,SDBD87
2023-12-18,851.9,903.9,851.9,900.0,SDBD87
2023-12-27,910.0,910.0,910.0,910.0,SDBD87
2024-01-02,910.0,910.0,910.0,910.0,SDBD87
2024-01-03,874.0,874.0,874.0,874.0,SDBD87
2024-01-07,874.0,874.0,874.0,874.0,SDBD87
2024-01-10,857.0,857.0,857.0,857.0,SDBD87
2024-01-17,841.0,841.0,839.9,839.9,SDBD87
2024-01-21,837.1,837.1,837.1,837.1,SDBD87
2024-01-22,835.0,835.0,830.2,830.2,SDBD87
2024-01-23,830.1,830.1,830.1,830.1,SDBD87
2024-01-29,837.0,837.0,837.0,837.0,SDBD87
2024-01-30,853.7,853.7,853.7,853.7,SDBD87
2024-01-31,845.0,850.0,845.0,850.0,SDBD87
2024-02-01,867.0,867.0,867.0,867.0,SDBD87
2024-02-04,884.0,909.9,884.0,901.0,SDBD87
2024-02-05,919.0,930.0,912.0,912.0,SDBD87
2024-02-06,919.0,920.0,915.5,915.5,SDBD87
2024-02-07,900.0,900.0,900.0,900.0,SDBD87
2024-02-08,910.0,910.0,910.0,910.0,SDBD87
2024-02-12,906.0,906.0,906.0,906.0,SDBD87
2024-02-13,900.0,900.0,891.1,891.1,SDBD87
2024-02-18,900.0,900.0,900.0,900.0,SDBD87
2024-02-20,900.0,900.0,900.0,900.0,SDBD87
2024-02-21,918.0,918.0,918.0,918.0,SDBD87
2024-02-25,920.0,920.0,899.7,900.0,SDBD87
2024-02-28,885.2,885.2,885.2,885.2,SDBD87
2024-03-05,902.9,902.9,902.9,902.9,SDBD87
2024-03-06,905.0,910.0,905.0,910.0,SDBD87
2024-03-07,910.1,910.1,910.1,910.1,SDBD87
2024-03-13,905.0,928.3,905.0,928.3,SDBD87
2024-03-17,915.0,915.1,915.0,915.1,SDBD87
2024-03-20,933.0,933.3,933.0,933.3,SDBD87
2024-03-21,915.0,915.0,915.0,915.0,SDBD87
2024-03-25,911.0,911.0,911.0,911.0,SDBD87
2024-03-28,919.0,919.0,919.0,919.0,SDBD87
2024-03-31,921.5,921.5,921.0,921.0,SDBD87
2024-04-01,956.0,956.0,945.0,945.0,SDBD87
2024-04-03,960.0,963.9,960.0,963.9,SDBD87
2024-04-07,950.0,977.2,950.0,977.2,SDBD87
2024-04-10,968.0,987.3,968.0,987.3,SDBD87
2024-04-14,990.0,990.0,990.0,990.0,SDBD87
2024-04-16,1000.0,1000.0,1000.0,1000.0,SDBD87
2024-04-18,982.3,982.3,982.3,982.3,SDBD87
2024-04-22,995.0,995.0,995.0,995.0,SDBD87
2024-04-24,995.0,995.0,995.0,995.0,SDBD87
2024-04-25,1014.0,1014.9,1000.0,1000.0,SDBD87
2024-04-28,1004.9,1005.0,1004.9,1005.0,SDBD87
2024-04-29,1000.0,1000.0,1000.0,1000.0,SDBD87
2024-04-30,1000.0,1019.0,1000.0,1019.0,SDBD87
2024-05-05,999.0,1023.0,980.0,1023.0,SDBD87
2024-05-14,1002.6,1005.0,1002.6,1005.0,SDBD87
2024-05-15,1005.0,1005.0,1005.0,1005.0,SDBD87
2024-05-21,1000.0,1000.0,987.1,987.1,SDBD87
2024-05-22,981.0,981.0,978.0,980.1,SDBD87
2024-05-26,979.0,979.0,971.2,971.2,SDBD87
2024-05-29,982.1,982.1,982.0,982.0,SDBD87
2024-06-02,1001.6,1001.6,1000.0,1000.0,SDBD87
2024-06-03,1010.0,1010.0,1010.0,1010.0,SDBD87
2024-06-04,989.8,989.8,989.8,989.8,SDBD87
2024-06-06,988.0,988.0,978.1,978.1,SDBD87
2024-06-10,997.6,997.6,997.6,997.6,SDBD87
2024-06-12,981.0,981.0,981.0,981.0,SDBD87
2024-06-13,981.2,981.2,981.2,981.2,SDBD87
2024-06-18,982.1,982.1,982.0,982.0,SDBD87
2024-06-20,1000.0,1000.0,1000.0,1000.0,SDBD87
2024-06-23,1000.0,1000.0,1000.0,1000.0,SDBD87
2024-06-25,998.0,998.0,998.0,998.0,SDBD87
2024-06-30,1005.0,1017.7,1005.0,1017.7,SDBD87
2024-07-02,998.0,998.0,998.0,998.0,SDBD87
2024-07-07,995.1,995.1,995.1,995.1,SDBD87
2024-07-08,982.3,982.3,982.3,982.3,SDBD87
2024-07-11,1000.0,1000.0,1000.0,1000.0,SDBD87
2024-07-16,980.0,980.0,975.0,975.0,SDBD87
2024-07-21,965.5,965.5,965.5,965.5,SDBD87
2024-07-22,947.0,980.0,947.0,965.9,SDBD87
2024-07-23,985.2,985.2,975.0,975.1,SDBD87
2024-07-24,993.0,1008.0,993.0,1002.0,SDBD87
2024-07-25,1002.0,1012.5,1002.0,1012.5,SDBD87
2024-07-28,1008.0,1008.0,988.0,988.0,SDBD87
2024-07-29,980.0,980.0,980.0,980.0,SDBD87
2024-07-30,970.0,985.0,970.0,977.0,SDBD87
2024-07-31,975.1,975.1,975.1,975.1,SDBD87
2024-08-01,974.6,994.0,974.6,994.0,SDBD87
2024-08-05,1009.9,1010.0,989.8,989.8,SDBD87
2024-08-06,980.3,980.6,980.3,980.6,SDBD87
2024-08-07,980.9,1000.0,980.9,1000.0,SDBD87
2024-08-11,990.0,990.1,990.0,990.1,SDBD87
2024-08-12,981.1,995.0,981.1,995.0,SDBD87
2024-08-13,995.0,1010.0,995.0,1010.0,SDBD87
2024-08-14,995.0,995.3,995.0,995.3,SDBD87
2024-08-15,986.1,1005.8,986.1,987.1,SDBD87
2024-08-18,987.1,987.5,987.1,987.5,SDBD87
2024-08-21,989.1,989.1,989.1,989.1,SDBD87
2024-08-22,1000.0,1007.0,990.0,1007.0,SDBD87
2024-08-25,1007.0,1007.0,1000.0,1000.0,SDBD87
2024-08-27,1010.0,1020.0,1010.0,1020.0,SDBD87
2024-08-28,1007.0,1015.0,1007.0,1015.0,SDBD87
2024-08-29,1010.0,1015.0,996.3,1015.0,SDBD87
2024-09-01,1010.0,1010.0,1010.0,1010.0,SDBD87
2024-09-02,1005.0,1020.0,1005.0,1020.0,SDBD87
2024-09-03,1020.0,1020.0,1010.0,1010.0,SDBD87
2024-09-05,993.5,1024.0,993.5,1024.0,SDBD87
2024-09-08,1004.1,1004.1,1002.0,1002.0,SDBD87
2024-09-09,1022.0,1022.0,1020.0,1020.0,SDBD87
2024-09-12,1002.0,1022.0,1002.0,1022.0,SDBD87
2024-09-16,1007.3,1009.4,1007.3,1009.4,SDBD87
2024-09-18,1013.1,1029.5,1013.1,1029.5,SDBD87
2024-09-22,1030.0,1031.0,1030.0,1031.0,SDBD87
2024-09-23,1011.3,1027.0,1011.3,1027.0,SDBD87
2024-09-25,1016.1,1016.1,1016.1,1016.1,SDBD87
2024-09-26,1013.4,1017.1,1013.4,1017.1,SDBD87
2024-09-29,1034.0,1037.0,1025.0,1025.0,SDBD87
