date,open,high,low,close,symbol
2021-07-08,13.7,13.8,13.54,13.8,SEF
2021-07-11,14.0,14.0,13.6,14.0,SEF
2021-07-12,14.0,14.47,13.91,14.0,SEF
2021-07-13,14.0,14.19,13.91,13.91,SEF
2021-07-14,13.91,14.15,13.78,14.13,SEF
2021-07-15,14.2,14.2,13.97,14.05,SEF
2021-07-18,14.24,14.49,14.11,14.4,SEF
2021-07-19,14.3,14.76,14.3,14.6,SEF
2021-07-20,14.89,15.91,14.89,15.71,SEF
2021-07-22,16.02,17.04,16.02,16.57,SEF
2021-07-25,16.9,16.9,15.95,16.47,SEF
2021-07-26,16.15,16.5,16.0,16.02,SEF
2021-07-27,15.83,16.6,15.83,16.33,SEF
2021-07-28,16.05,16.33,16.05,16.18,SEF
2021-07-29,15.87,16.2,15.87,16.03,SEF
2021-08-01,16.3,16.38,15.9,16.02,SEF
2021-08-02,16.04,16.3,16.04,16.25,SEF
2021-08-03,16.16,16.25,16.0,16.14,SEF
2021-08-04,16.4,16.4,15.51,15.88,SEF
2021-08-05,15.73,16.02,15.73,15.9,SEF
2021-08-08,16.21,16.21,15.72,15.76,SEF
2021-08-09,15.99,15.99,15.65,15.7,SEF
2021-08-10,15.7,15.8,15.4,15.75,SEF
2021-08-11,15.6,15.9,15.6,15.77,SEF
2021-08-12,15.54,15.77,15.5,15.74,SEF
2021-08-15,16.05,16.05,15.5,15.6,SEF
2021-08-16,12.58,12.59,12.0,12.35,SEF
2021-08-17,12.41,12.57,11.95,11.95,SEF
2021-08-18,12.18,12.18,11.94,12.0,SEF
2021-08-19,11.8,12.46,11.8,12.1,SEF
2021-08-24,11.9,12.1,11.9,12.0,SEF
2021-08-25,12.03,12.03,11.61,11.61,SEF
2021-08-26,11.61,11.78,11.56,11.58,SEF
2021-08-29,11.81,12.0,11.51,11.74,SEF
2021-08-31,11.52,11.75,11.4,11.5,SEF
2021-09-01,11.73,11.8,11.42,11.46,SEF
2021-09-02,11.68,11.85,11.23,11.27,SEF
2021-09-05,11.49,11.49,11.12,11.2,SEF
2021-09-06,11.0,11.27,11.0,11.2,SEF
2021-09-07,11.0,11.32,11.0,11.32,SEF
2021-09-08,11.3,11.3,11.15,11.16,SEF
2021-09-09,11.16,11.16,10.96,11.15,SEF
2021-09-12,10.99,11.19,10.99,11.09,SEF
2021-09-13,11.3,11.3,11.0,11.0,SEF
2021-09-14,11.0,11.05,11.0,11.0,SEF
2021-09-15,10.78,10.9,10.78,10.87,SEF
2021-09-16,10.7,10.96,10.7,10.77,SEF
2021-09-20,10.56,10.56,10.26,10.4,SEF
2021-09-21,10.3,10.4,10.15,10.4,SEF
2021-09-22,10.5,10.7,10.44,10.5,SEF
2021-09-23,10.6,10.7,10.52,10.52,SEF
2021-09-26,10.47,10.5,10.47,10.48,SEF
2021-09-27,10.41,10.41,10.39,10.4,SEF
2021-09-28,10.39,10.41,10.2,10.2,SEF
2021-09-29,10.25,10.47,10.25,10.4,SEF
2021-09-30,10.55,10.55,10.34,10.4,SEF
2021-10-03,10.4,10.4,10.22,10.22,SEF
2021-10-04,10.42,10.42,10.22,10.23,SEF
2021-10-05,10.29,10.38,10.27,10.37,SEF
2021-10-06,10.4,10.44,10.21,10.4,SEF
2021-10-10,10.5,10.5,10.29,10.4,SEF
2021-10-11,10.4,10.44,10.31,10.44,SEF
2021-10-17,10.44,10.51,10.32,10.4,SEF
2021-10-18,10.45,10.45,10.42,10.42,SEF
2021-10-19,10.25,10.35,10.24,10.35,SEF
2021-10-20,10.3,10.37,10.26,10.37,SEF
2021-10-21,10.27,10.37,10.26,10.37,SEF
2021-10-24,10.21,10.57,10.21,10.43,SEF
2021-10-25,10.34,10.6,10.34,10.6,SEF
2021-10-26,10.6,10.7,10.52,10.67,SEF
2021-10-27,10.67,10.7,10.61,10.7,SEF
2021-10-28,10.49,10.8,10.49,10.75,SEF
2021-10-31,10.54,10.95,10.5,10.92,SEF
2021-11-01,10.92,10.92,10.72,10.73,SEF
2021-11-02,10.8,11.0,10.8,10.89,SEF
2021-11-03,11.0,11.22,10.87,11.02,SEF
2021-11-08,11.01,11.01,11.0,11.0,SEF
2021-11-09,10.91,10.91,10.7,10.9,SEF
2021-11-11,11.1,11.1,10.69,10.7,SEF
2021-11-14,10.51,10.65,10.51,10.65,SEF
2021-11-15,10.65,10.85,10.5,10.67,SEF
2021-11-16,10.6,10.7,10.6,10.6,SEF
2021-11-17,10.6,10.8,10.6,10.62,SEF
2021-11-18,10.62,10.62,10.53,10.61,SEF
2021-11-21,10.5,10.62,10.5,10.55,SEF
2021-11-22,10.41,10.92,10.41,10.7,SEF
2021-11-23,10.53,10.79,10.53,10.65,SEF
2021-11-24,10.44,10.55,10.44,10.55,SEF
2021-11-25,10.75,10.75,10.4,10.5,SEF
2021-11-28,10.36,10.4,10.13,10.29,SEF
2021-11-29,10.49,10.49,10.3,10.33,SEF
2021-11-30,10.33,10.5,10.31,10.32,SEF
2021-12-01,10.36,10.5,10.36,10.4,SEF
2021-12-02,10.59,10.59,10.29,10.34,SEF
2021-12-05,10.34,10.54,10.15,10.17,SEF
2021-12-06,10.1,10.21,10.05,10.21,SEF
2021-12-07,10.22,10.32,10.09,10.32,SEF
2021-12-08,10.13,10.2,10.13,10.2,SEF
2021-12-09,10.01,10.49,10.01,10.49,SEF
2021-12-12,10.29,10.29,10.09,10.2,SEF
2021-12-13,10.15,10.25,10.14,10.25,SEF
2021-12-14,10.33,10.34,10.33,10.34,SEF
2021-12-15,10.49,10.49,10.14,10.27,SEF
2021-12-16,10.21,10.25,10.21,10.25,SEF
2021-12-20,10.25,10.39,10.19,10.19,SEF
2021-12-21,10.16,10.25,10.15,10.25,SEF
2021-12-22,10.3,10.3,10.3,10.3,SEF
2021-12-23,10.2,10.48,10.2,10.31,SEF
2021-12-26,10.2,10.4,10.2,10.35,SEF
2021-12-27,10.3,10.34,10.26,10.3,SEF
2021-12-28,10.21,10.5,10.21,10.21,SEF
2021-12-29,10.21,10.41,10.2,10.36,SEF
2022-01-02,10.2,10.4,10.19,10.4,SEF
2022-01-03,10.4,10.6,10.4,10.43,SEF
2022-01-04,10.43,10.64,10.43,10.64,SEF
2022-01-05,10.45,10.5,10.34,10.34,SEF
2022-01-06,10.4,10.6,10.4,10.45,SEF
2022-01-09,10.6,10.65,10.45,10.64,SEF
2022-01-10,10.51,10.91,10.51,10.9,SEF
2022-01-11,10.69,11.11,10.69,10.89,SEF
2022-01-12,10.7,10.92,10.7,10.72,SEF
2022-01-13,10.85,11.06,10.84,11.05,SEF
2022-01-16,11.05,11.19,11.0,11.15,SEF
2022-01-17,10.93,11.29,10.93,11.2,SEF
2022-01-18,11.21,11.5,11.2,11.39,SEF
2022-01-19,11.2,11.36,11.2,11.36,SEF
2022-01-20,11.4,11.54,11.4,11.51,SEF
2022-01-23,11.3,11.64,11.3,11.54,SEF
2022-01-24,11.35,11.36,11.18,11.3,SEF
2022-01-25,11.16,11.43,11.16,11.25,SEF
2022-01-26,11.4,11.4,11.11,11.15,SEF
2022-01-27,11.15,11.37,10.94,11.15,SEF
2022-01-30,11.15,11.62,11.15,11.47,SEF
2022-01-31,11.3,11.45,11.27,11.27,SEF
2022-02-01,11.3,11.41,11.3,11.4,SEF
2022-02-03,11.3,11.56,11.29,11.42,SEF
2022-02-06,11.37,11.38,11.27,11.38,SEF
2022-02-07,11.17,11.38,11.17,11.28,SEF
2022-02-08,11.5,11.5,11.25,11.25,SEF
2022-02-09,11.18,11.31,11.1,11.25,SEF
2022-02-10,11.43,11.44,11.1,11.1,SEF
2022-02-13,10.91,11.12,10.91,10.91,SEF
2022-02-14,11.12,11.12,10.98,10.98,SEF
2022-02-15,10.95,11.1,10.95,10.99,SEF
2022-02-16,10.82,11.15,10.82,11.1,SEF
2022-02-17,11.03,11.03,11.02,11.02,SEF
2022-02-20,11.11,11.17,10.8,11.0,SEF
2022-02-21,10.78,11.2,10.78,10.9,SEF
2022-02-22,11.11,11.11,10.9,10.92,SEF
2022-02-23,11.0,11.0,10.9,10.99,SEF
2022-02-24,10.86,10.97,10.67,10.97,SEF
2022-02-27,11.16,11.18,10.77,10.98,SEF
2022-02-28,10.98,10.98,10.55,10.77,SEF
2022-03-02,10.61,10.61,10.5,10.55,SEF
2022-03-06,10.44,10.7,10.43,10.57,SEF
2022-03-07,10.51,10.57,10.45,10.45,SEF
2022-03-09,10.65,10.65,10.27,10.45,SEF
2022-03-10,10.3,10.5,10.3,10.5,SEF
2022-03-13,10.4,10.79,10.4,10.79,SEF
2022-03-14,10.96,10.97,10.96,10.97,SEF
2022-03-15,10.78,11.0,10.7,10.99,SEF
2022-03-16,10.99,10.99,10.78,10.98,SEF
2022-03-20,10.79,10.79,10.61,10.75,SEF
2022-03-21,10.75,11.01,10.62,10.97,SEF
2022-03-22,11.0,11.1,10.94,10.94,SEF
2022-03-23,10.85,10.99,10.85,10.98,SEF
2022-03-24,10.91,10.91,10.85,10.85,SEF
2022-03-27,10.81,10.9,10.81,10.84,SEF
2022-03-28,10.87,10.95,10.86,10.95,SEF
2022-03-29,10.85,10.98,10.81,10.98,SEF
2022-03-30,10.82,10.85,10.77,10.85,SEF
2022-03-31,11.04,11.25,10.91,10.91,SEF
2022-04-03,10.85,10.99,10.85,10.99,SEF
2022-04-04,10.79,10.9,10.57,10.7,SEF
2022-04-05,10.58,10.6,10.58,10.6,SEF
2022-04-06,10.6,10.81,10.6,10.81,SEF
2022-04-07,10.7,10.89,10.7,10.75,SEF
2022-04-11,10.57,10.8,10.56,10.6,SEF
2022-04-12,10.59,10.6,10.33,10.33,SEF
2022-04-13,10.4,10.52,10.4,10.4,SEF
2022-04-17,10.5,10.9,10.31,10.48,SEF
2022-04-18,10.5,10.5,10.33,10.4,SEF
2022-04-19,10.23,10.63,10.23,10.63,SEF
2022-04-20,10.69,10.79,10.56,10.78,SEF
2022-04-21,10.58,10.58,10.42,10.56,SEF
2022-04-24,10.37,10.57,10.37,10.5,SEF
2022-04-25,10.5,10.92,10.5,10.92,SEF
2022-04-26,10.92,11.22,10.78,11.22,SEF
2022-04-27,11.0,11.0,10.58,10.96,SEF
2022-04-28,10.77,10.98,10.77,10.98,SEF
2022-05-02,10.79,10.85,10.75,10.84,SEF
2022-05-04,10.84,10.84,10.64,10.8,SEF
2022-05-05,10.75,10.75,10.6,10.75,SEF
2022-05-08,10.54,10.71,10.34,10.71,SEF
2022-05-09,10.71,10.9,10.71,10.8,SEF
2022-05-10,10.59,10.8,10.59,10.65,SEF
2022-05-11,10.86,10.86,10.6,10.6,SEF
2022-05-12,10.62,10.8,10.61,10.75,SEF
2022-05-17,10.54,10.75,10.54,10.75,SEF
2022-05-18,10.65,10.65,10.65,10.65,SEF
2022-05-19,10.65,10.65,10.61,10.61,SEF
2022-05-20,10.82,10.82,10.55,10.7,SEF
2022-05-23,10.49,10.69,10.46,10.5,SEF
2022-05-24,10.55,10.71,10.55,10.71,SEF
2022-05-25,10.5,10.6,10.4,10.6,SEF
2022-05-26,10.7,10.7,10.7,10.7,SEF
2022-05-27,10.49,10.69,10.49,10.59,SEF
2022-05-30,10.65,10.65,10.38,10.55,SEF
2022-05-31,10.63,10.63,10.63,10.63,SEF
2022-06-01,10.42,10.71,10.3,10.71,SEF
2022-06-02,10.5,10.6,10.32,10.32,SEF
2022-06-03,10.2,10.2,10.01,10.01,SEF
2022-06-06,10.2,10.6,10.15,10.4,SEF
2022-06-07,10.2,10.2,10.03,10.2,SEF
2022-06-08,10.2,10.27,9.81,10.27,SEF
2022-06-09,10.07,10.2,10.07,10.2,SEF
2022-06-10,10.0,10.2,9.82,10.2,SEF
2022-06-13,10.01,10.11,9.81,10.11,SEF
2022-06-14,10.31,10.31,9.8,10.05,SEF
2022-06-15,9.9,10.09,9.77,10.09,SEF
2022-06-16,9.89,10.28,9.73,10.28,SEF
2022-06-17,10.08,10.25,9.88,10.25,SEF
2022-06-19,10.05,10.05,9.71,9.71,SEF
2022-06-20,9.75,9.75,9.41,9.75,SEF
2022-06-21,9.61,9.72,9.6,9.72,SEF
2022-06-22,9.73,9.9,9.54,9.9,SEF
2022-06-23,9.71,9.71,9.2,9.38,SEF
2022-06-24,9.38,9.38,9.38,9.38,SEF
2022-06-26,9.2,9.66,9.2,9.6,SEF
2022-06-27,9.7,9.79,9.23,9.23,SEF
2022-06-28,9.23,9.23,9.23,9.23,SEF
2022-06-29,9.4,9.6,9.4,9.6,SEF
2022-06-30,9.79,9.8,9.79,9.8,SEF
2022-07-01,9.8,9.8,9.75,9.75,SEF
2022-07-03,9.75,9.75,9.65,9.65,SEF
2022-07-04,9.65,10.03,9.65,9.84,SEF
2022-07-05,9.72,9.72,9.7,9.7,SEF
2022-07-06,9.7,9.7,9.51,9.55,SEF
2022-07-07,9.7,9.7,9.7,9.7,SEF
2022-07-08,9.6,9.6,9.6,9.6,SEF
2022-07-11,9.41,9.5,9.1,9.1,SEF
2022-07-12,9.1,9.1,8.99,8.99,SEF
2022-07-13,9.16,9.5,9.16,9.5,SEF
2022-07-14,9.69,10.05,9.69,9.71,SEF
2022-07-15,9.9,9.9,9.53,9.88,SEF
2022-07-17,10.07,10.07,10.0,10.0,SEF
2022-07-18,9.82,9.84,9.82,9.84,SEF
2022-07-19,10.02,10.03,9.71,9.71,SEF
2022-07-20,9.71,9.9,9.71,9.88,SEF
2022-07-21,9.7,9.78,9.7,9.77,SEF
2022-07-22,9.59,9.59,9.58,9.58,SEF
2022-07-24,9.6,9.75,9.53,9.75,SEF
2022-07-25,9.61,9.82,9.61,9.82,SEF
2022-07-26,9.83,9.83,9.6,9.65,SEF
2022-07-27,9.51,9.56,9.51,9.53,SEF
2022-07-28,9.53,9.7,9.53,9.65,SEF
2022-07-29,9.6,9.69,9.6,9.69,SEF
2022-07-31,9.69,10.07,9.69,10.02,SEF
2022-08-01,9.82,9.99,9.64,9.65,SEF
2022-08-02,9.75,9.99,9.75,9.99,SEF
2022-08-04,9.81,9.81,9.61,9.7,SEF
2022-08-05,9.52,9.71,9.52,9.71,SEF
2022-08-07,9.56,9.6,9.56,9.6,SEF
2022-08-08,9.79,9.98,9.79,9.98,SEF
2022-08-10,9.79,9.79,9.65,9.65,SEF
2022-08-11,9.56,9.82,9.56,9.82,SEF
2022-08-14,9.82,9.83,9.44,9.44,SEF
2022-08-15,9.41,9.59,9.41,9.51,SEF
2022-08-16,9.7,9.89,9.52,9.71,SEF
2022-08-17,9.9,9.9,9.9,9.9,SEF
2022-08-18,10.08,10.08,9.5,9.74,SEF
2022-08-21,9.55,9.75,9.37,9.72,SEF
2022-08-22,9.91,9.91,9.54,9.6,SEF
2022-08-23,9.41,9.41,8.92,8.94,SEF
2022-08-24,8.78,8.78,8.62,8.62,SEF
2022-08-25,8.62,8.62,8.62,8.62,SEF
2022-08-26,8.77,8.77,8.52,8.69,SEF
2022-08-28,8.52,8.53,8.37,8.53,SEF
2022-08-29,8.37,8.37,8.37,8.37,SEF
2022-08-30,8.52,8.52,8.52,8.52,SEF
2022-08-31,8.5,8.5,8.28,8.28,SEF
2022-09-01,8.44,8.6,8.28,8.5,SEF
2022-09-02,8.33,8.33,8.33,8.33,SEF
2022-09-04,8.25,8.34,8.18,8.33,SEF
2022-09-05,8.33,8.49,8.33,8.49,SEF
2022-09-06,8.34,8.36,8.24,8.24,SEF
2022-09-07,8.2,8.2,8.1,8.11,SEF
2022-09-08,8.07,8.21,8.05,8.21,SEF
2022-09-11,8.2,8.2,8.2,8.2,SEF
2022-09-12,8.1,8.15,7.99,7.99,SEF
2022-09-13,8.0,8.0,8.0,8.0,SEF
2022-09-14,8.0,8.16,8.0,8.16,SEF
2022-09-15,8.16,8.25,8.13,8.21,SEF
2022-09-16,8.05,8.05,8.05,8.05,SEF
2022-09-18,8.21,8.21,7.89,8.1,SEF
2022-09-20,7.95,8.27,7.95,8.19,SEF
2022-09-21,8.03,8.19,8.03,8.19,SEF
2022-09-22,8.04,8.18,7.89,8.18,SEF
2022-09-25,8.09,8.09,8.02,8.09,SEF
2022-09-27,8.1,8.25,8.09,8.25,SEF
2022-10-09,8.41,8.41,8.41,8.41,SEF
2022-10-10,8.25,8.25,8.25,8.25,SEF
2022-10-11,8.1,8.1,8.1,8.1,SEF
2022-10-12,7.95,8.24,7.81,8.24,SEF
2022-10-13,8.4,8.42,8.4,8.42,SEF
2022-10-16,8.55,8.56,8.55,8.56,SEF
2022-10-17,8.4,8.4,8.24,8.4,SEF
2022-10-19,8.24,8.24,8.24,8.24,SEF
2022-10-23,8.36,8.36,8.2,8.2,SEF
2022-10-31,8.32,8.36,8.32,8.36,SEF
2022-11-02,8.35,8.47,8.25,8.44,SEF
2022-11-03,8.28,8.28,8.15,8.15,SEF
2022-11-06,8.0,8.13,7.85,8.13,SEF
2022-11-07,8.02,8.02,8.0,8.02,SEF
2022-11-08,8.18,8.18,8.03,8.03,SEF
2022-11-09,8.03,8.18,8.03,8.18,SEF
2022-11-10,8.05,8.21,8.05,8.21,SEF
2022-11-14,8.32,8.48,8.32,8.48,SEF
2022-11-15,8.32,8.32,8.16,8.16,SEF
2022-11-16,8.04,8.04,8.0,8.0,SEF
2022-11-22,8.16,8.3,8.16,8.3,SEF
2022-11-23,8.14,8.14,8.14,8.14,SEF
2022-11-24,8.13,8.13,8.13,8.13,SEF
2022-11-28,8.1,8.15,8.0,8.1,SEF
2022-11-29,7.94,8.09,7.94,8.09,SEF
2022-11-30,8.25,8.25,8.25,8.25,SEF
2022-12-01,8.2,8.2,8.2,8.2,SEF
2022-12-04,8.2,8.2,8.2,8.2,SEF
2022-12-05,8.04,8.04,7.89,7.89,SEF
2022-12-06,8.02,8.02,8.02,8.02,SEF
2022-12-07,8.02,8.17,8.01,8.17,SEF
2022-12-11,8.01,8.01,7.85,7.99,SEF
2022-12-13,7.84,7.99,7.84,7.99,SEF
2022-12-14,7.84,7.84,7.84,7.84,SEF
2022-12-15,7.69,7.69,7.69,7.69,SEF
2022-12-18,7.69,7.69,7.69,7.69,SEF
2022-12-19,7.7,7.77,7.7,7.76,SEF
2022-12-20,7.8,7.95,7.8,7.95,SEF
2022-12-22,7.99,7.99,7.99,7.99,SEF
2022-12-26,7.9,8.53,7.9,8.53,SEF
2022-12-27,8.6,8.6,8.6,8.6,SEF
2022-12-28,8.45,8.75,8.14,8.62,SEF
2022-12-29,8.79,8.79,8.79,8.79,SEF
2023-01-01,8.62,8.62,8.21,8.3,SEF
2023-01-02,8.3,8.32,8.17,8.32,SEF
2023-01-03,8.48,8.6,8.32,8.32,SEF
2023-01-04,8.48,8.6,8.48,8.6,SEF
2023-01-05,8.43,8.59,8.43,8.43,SEF
2023-01-08,8.45,8.6,8.45,8.55,SEF
2023-01-09,8.39,9.03,8.39,8.72,SEF
2023-01-10,8.89,8.95,8.73,8.9,SEF
2023-01-12,9.0,9.0,8.7,8.7,SEF
2023-01-17,8.7,8.85,8.6,8.83,SEF
2023-01-18,8.83,9.0,8.83,8.99,SEF
2023-01-19,9.07,9.07,8.8,8.8,SEF
2023-01-23,8.97,9.32,8.82,8.82,SEF
2023-01-24,8.65,8.83,8.65,8.83,SEF
2023-01-25,8.83,9.0,8.83,9.0,SEF
2023-01-26,9.1,9.1,9.0,9.1,SEF
2023-01-29,8.92,9.0,8.75,8.77,SEF
2023-01-30,8.6,8.75,8.6,8.75,SEF
2023-01-31,8.7,8.7,8.4,8.4,SEF
