date,open,high,low,close,symbol
2021-08-31,720.0,725.0,675.0,682.0,SIFC
2021-09-01,682.0,709.9,650.0,650.0,SIFC
2021-09-02,663.0,682.0,614.0,630.0,SIFC
2021-09-05,630.0,630.0,567.0,570.0,SIFC
2021-09-06,571.0,627.0,548.0,627.0,SIFC
2021-09-07,639.5,652.0,603.0,621.0,SIFC
2021-09-08,610.0,621.0,588.1,597.9,SIFC
2021-09-09,609.0,609.0,588.0,589.0,SIFC
2021-09-12,600.0,627.0,600.0,618.0,SIFC
2021-09-13,630.0,656.0,628.1,638.0,SIFC
2021-09-14,649.0,649.0,621.1,625.1,SIFC
2021-09-15,637.6,637.6,604.0,613.0,SIFC
2021-09-16,600.8,612.0,568.4,574.0,SIFC
2021-09-20,584.0,584.0,516.6,517.0,SIFC
2021-09-21,527.0,547.0,481.2,518.0,SIFC
2021-09-22,528.0,569.8,528.0,569.7,SIFC
2021-09-23,581.0,600.0,550.0,569.0,SIFC
2021-09-26,570.0,570.0,526.4,532.0,SIFC
2021-09-27,523.0,530.0,490.7,499.0,SIFC
2021-09-28,490.0,510.0,449.1,450.0,SIFC
2021-09-29,453.0,480.0,423.9,477.0,SIFC
2021-09-30,486.0,500.0,451.0,457.0,SIFC
2021-10-03,450.0,466.0,436.3,442.0,SIFC
2021-10-04,443.0,456.0,426.0,437.0,SIFC
2021-10-05,445.0,458.0,437.1,455.6,SIFC
2021-10-06,464.7,488.0,446.9,481.0,SIFC
2021-10-10,490.0,509.0,477.0,477.0,SIFC
2021-10-11,486.0,486.0,460.0,470.0,SIFC
2021-10-17,479.4,498.4,461.0,470.0,SIFC
2021-10-18,460.6,467.0,442.0,445.1,SIFC
2021-10-19,454.0,454.0,411.0,418.0,SIFC
2021-10-20,426.3,450.0,426.3,443.9,SIFC
2021-10-21,447.0,451.0,422.0,425.3,SIFC
2021-10-24,425.0,447.0,421.0,447.0,SIFC
2021-10-25,454.0,491.7,454.0,491.7,SIFC
2021-10-26,501.5,540.8,501.5,540.8,SIFC
2021-10-27,545.0,565.0,520.0,538.0,SIFC
2021-10-28,538.0,546.1,517.9,539.0,SIFC
2021-10-31,549.0,574.0,537.2,572.0,SIFC
2021-11-01,583.3,586.0,551.0,551.0,SIFC
2021-11-02,552.0,582.0,538.2,565.0,SIFC
