date,open,high,low,close,symbol
2021-09-01,550.0,560.0,532.1,538.0,SINDU
2021-09-02,538.1,545.0,510.0,512.0,SINDU
2021-09-05,502.0,502.0,460.8,463.0,SINDU
2021-09-06,460.0,509.3,453.0,509.3,SINDU
2021-09-07,519.4,549.0,505.0,516.0,SINDU
2021-09-08,506.0,516.0,497.0,500.0,SINDU
2021-09-09,510.0,520.0,500.0,510.0,SINDU
2021-09-12,520.0,549.0,515.0,546.0,SINDU
2021-09-13,556.0,565.0,537.0,540.0,SINDU
2021-09-14,548.0,548.0,525.0,538.0,SINDU
2021-09-15,538.0,538.0,513.0,514.0,SINDU
2021-09-16,510.0,515.0,483.0,498.0,SINDU
2021-09-20,498.0,498.0,450.0,452.0,SINDU
2021-09-21,452.0,486.0,414.2,460.0,SINDU
2021-09-22,469.0,506.0,469.0,506.0,SINDU
2021-09-23,516.1,526.0,488.0,497.0,SINDU
2021-09-26,497.0,506.9,475.0,475.0,SINDU
2021-09-27,466.0,475.3,450.8,451.0,SINDU
2021-09-28,442.0,465.0,420.1,424.9,SINDU
2021-09-29,425.0,460.0,415.0,446.7,SINDU
2021-09-30,455.6,464.0,425.0,426.0,SINDU
2021-10-03,418.1,421.2,409.0,412.0,SINDU
2021-10-04,405.0,415.0,393.1,393.1,SINDU
2021-10-05,400.9,416.0,400.0,410.0,SINDU
2021-10-06,417.0,440.0,416.0,430.0,SINDU
2021-10-10,438.6,459.0,432.0,432.0,SINDU
2021-10-11,424.0,439.0,416.5,425.1,SINDU
2021-10-17,433.6,434.0,425.0,434.0,SINDU
2021-10-18,426.0,426.0,412.0,413.0,SINDU
2021-10-19,405.0,405.0,380.0,398.0,SINDU
2021-10-20,405.8,420.0,405.8,410.0,SINDU
2021-10-21,418.2,418.2,393.8,399.0,SINDU
2021-10-24,404.9,405.0,390.0,404.6,SINDU
2021-10-25,412.6,438.0,407.0,432.0,SINDU
2021-10-26,440.0,459.0,435.0,450.0,SINDU
2021-10-27,450.0,459.0,440.0,445.0,SINDU
2021-10-28,453.0,455.0,436.0,451.0,SINDU
2021-10-31,460.0,491.0,453.0,489.0,SINDU
2021-11-01,489.0,501.0,469.0,470.0,SINDU
2021-11-02,470.0,495.0,453.0,477.1,SINDU
2021-11-03,478.0,490.0,470.0,477.0,SINDU
2021-11-08,477.0,477.0,460.0,462.0,SINDU
2021-11-09,454.0,466.0,426.0,444.0,SINDU
2021-11-11,435.2,452.0,427.1,429.0,SINDU
2021-11-14,421.1,441.0,421.0,428.0,SINDU
2021-11-15,436.5,459.0,436.5,458.0,SINDU
2021-11-16,458.0,464.0,450.0,463.0,SINDU
2021-11-17,466.0,466.1,445.0,449.0,SINDU
2021-11-18,441.0,457.0,435.0,438.9,SINDU
2021-11-21,447.0,447.6,433.0,435.1,SINDU
2021-11-22,439.0,446.9,428.1,437.9,SINDU
2021-11-23,430.1,434.0,424.0,429.0,SINDU
2021-11-24,420.8,451.0,415.1,439.9,SINDU
2021-11-25,448.6,448.6,424.0,432.9,SINDU
2021-11-28,425.0,430.0,413.0,415.0,SINDU
2021-11-29,410.0,429.4,407.0,412.0,SINDU
2021-11-30,420.2,420.2,407.0,414.0,SINDU
2021-12-01,412.0,417.8,410.0,411.5,SINDU
2021-12-02,412.0,418.0,386.2,396.0,SINDU
2021-12-05,396.0,400.0,372.4,374.1,SINDU
2021-12-06,381.5,408.0,357.0,397.8,SINDU
2021-12-07,405.7,410.0,378.0,378.0,SINDU
2021-12-08,370.5,391.0,365.0,372.0,SINDU
2021-12-09,372.0,372.0,365.0,367.0,SINDU
2021-12-12,362.0,362.0,341.0,342.0,SINDU
2021-12-13,336.9,348.8,315.0,322.0,SINDU
2021-12-14,328.4,350.0,321.5,350.0,SINDU
2021-12-15,357.0,375.0,338.0,350.0,SINDU
2021-12-16,350.0,350.0,338.0,344.0,SINDU
2021-12-20,338.0,343.9,330.0,343.0,SINDU
