date,open,high,low,close,symbol
2021-06-10,1645.0,1646.0,1629.0,1636.0,SKBBL
2021-06-13,1636.0,1650.0,1630.0,1635.0,SKBBL
2021-06-14,1638.0,1646.0,1633.0,1644.0,SKBBL
2021-06-15,1650.0,1676.0,1626.0,1629.0,SKBBL
2021-06-16,1600.0,1730.0,1600.0,1685.0,SKBBL
2021-06-17,1718.0,1720.0,1657.0,1660.0,SKBBL
2021-06-20,1685.0,1720.0,1625.0,1625.0,SKBBL
2021-06-21,1625.0,1650.0,1606.0,1607.0,SKBBL
2021-06-22,1639.0,1639.0,1610.0,1622.0,SKBBL
2021-06-23,1703.0,1703.0,1595.0,1595.0,SKBBL
2021-06-24,1583.0,1605.0,1580.0,1590.0,SKBBL
2021-06-27,1614.0,1614.0,1565.0,1587.0,SKBBL
2021-06-28,1600.0,1620.0,1600.0,1611.0,SKBBL
2021-06-29,1561.0,1663.0,1561.0,1617.0,SKBBL
2021-06-30,1600.0,1605.0,1590.0,1591.0,SKBBL
2021-07-01,1619.0,1619.0,1592.0,1592.0,SKBBL
2021-07-04,1595.0,1610.0,1585.0,1585.0,SKBBL
2021-07-05,1609.0,1609.0,1580.0,1582.0,SKBBL
2021-07-06,1585.0,1595.0,1582.0,1585.0,SKBBL
2021-07-07,1590.0,1599.0,1581.0,1590.0,SKBBL
2021-07-08,1615.0,1615.0,1591.0,1606.0,SKBBL
2021-07-11,1638.0,1665.0,1610.0,1617.0,SKBBL
2021-07-12,1640.0,1670.0,1598.0,1601.0,SKBBL
2021-07-13,1602.0,1671.0,1602.0,1630.0,SKBBL
2021-07-14,1645.0,1645.0,1615.0,1620.0,SKBBL
2021-07-15,1630.0,1640.0,1622.0,1640.0,SKBBL
2021-07-18,1672.0,1694.0,1650.0,1683.0,SKBBL
2021-07-19,1700.0,1730.0,1685.0,1700.0,SKBBL
2021-07-20,1671.0,1700.0,1670.0,1700.0,SKBBL
2021-07-22,1714.0,1725.0,1695.0,1698.0,SKBBL
2021-07-25,1725.0,1836.0,1698.0,1800.0,SKBBL
2021-07-26,1830.0,1855.0,1805.0,1848.0,SKBBL
2021-07-27,1811.1,1880.0,1740.0,1854.0,SKBBL
2021-07-28,1850.0,1860.0,1826.0,1852.0,SKBBL
2021-07-29,1889.0,1889.0,1815.0,1843.0,SKBBL
2021-08-01,1850.0,1865.0,1831.1,1854.5,SKBBL
2021-08-02,1865.0,1987.0,1854.0,1953.0,SKBBL
2021-08-03,1992.0,2069.0,1953.0,1987.0,SKBBL
2021-08-04,2000.0,2008.0,1912.0,1920.9,SKBBL
2021-08-05,1959.3,1959.3,1878.0,1922.0,SKBBL
2021-08-08,1925.0,1950.0,1901.0,1901.0,SKBBL
2021-08-09,1939.0,1939.0,1850.0,1860.1,SKBBL
2021-08-10,1874.5,1910.0,1850.0,1895.0,SKBBL
2021-08-11,1931.0,1931.0,1886.0,1895.0,SKBBL
2021-08-12,1910.0,1930.0,1873.0,1878.0,SKBBL
2021-08-15,1840.5,1929.0,1804.0,1885.0,SKBBL
2021-08-16,1900.0,1995.0,1870.0,1942.0,SKBBL
2021-08-17,1950.0,2025.0,1940.0,1995.0,SKBBL
2021-08-18,2034.9,2050.0,1995.0,2025.0,SKBBL
2021-08-19,2025.0,2184.0,1995.0,2177.0,SKBBL
2021-08-24,2160.0,2165.0,2041.0,2060.0,SKBBL
2021-08-25,2028.0,2043.0,1970.0,1975.0,SKBBL
2021-08-26,2000.0,2037.0,1940.0,1988.9,SKBBL
2021-08-29,2010.0,2025.0,1915.0,1922.0,SKBBL
2021-08-31,1920.0,1929.0,1850.0,1870.0,SKBBL
2021-09-01,1907.0,1920.0,1850.0,1875.0,SKBBL
