date,open,high,low,close,symbol
2021-06-22,1382.0,1465.0,1382.0,1409.0,SLBSL
2021-06-23,1390.0,1437.0,1382.0,1382.0,SLBSL
2021-06-24,1400.0,1404.0,1385.0,1390.0,SLBSL
2021-06-27,1382.0,1400.0,1375.0,1385.0,SLBSL
2021-06-28,1400.0,1500.0,1400.0,1450.0,SLBSL
2021-06-29,1500.0,1550.0,1497.0,1503.0,SLBSL
2021-06-30,1500.0,1500.0,1476.0,1476.0,SLBSL
2021-07-01,1470.0,1475.0,1448.0,1474.0,SLBSL
2021-07-04,1450.0,1455.0,1447.0,1455.0,SLBSL
2021-07-05,1440.0,1441.0,1414.0,1414.0,SLBSL
2021-07-06,1420.0,1420.0,1406.0,1410.0,SLBSL
2021-07-07,1438.0,1511.0,1404.0,1450.0,SLBSL
2021-07-08,1478.0,1497.0,1450.0,1480.0,SLBSL
2021-07-11,1481.0,1550.0,1481.0,1505.0,SLBSL
2021-07-12,1490.0,1514.0,1470.0,1475.0,SLBSL
2021-07-13,1500.0,1505.0,1480.0,1480.0,SLBSL
2021-07-14,1451.0,1491.0,1451.0,1491.0,SLBSL
2021-07-15,1492.0,1520.0,1492.0,1518.0,SLBSL
2021-07-18,1548.0,1575.0,1530.0,1575.0,SLBSL
2021-07-19,1606.0,1638.1,1555.0,1555.0,SLBSL
2021-07-20,1555.0,1555.0,1520.0,1534.0,SLBSL
2021-07-22,1520.0,1550.4,1518.0,1540.0,SLBSL
2021-07-25,1520.0,1550.4,1520.0,1538.0,SLBSL
2021-07-26,1513.0,1655.0,1513.0,1655.0,SLBSL
2021-07-27,1621.9,1708.0,1568.0,1670.0,SLBSL
2021-07-28,1703.4,1771.0,1701.0,1701.0,SLBSL
2021-07-29,1730.0,1785.0,1667.0,1680.0,SLBSL
2021-08-01,1690.0,1713.0,1660.0,1684.0,SLBSL
2021-08-02,1689.0,1700.0,1671.0,1689.0,SLBSL
2021-08-03,1722.7,1755.0,1720.0,1744.9,SLBSL
2021-08-04,1757.0,1778.0,1670.0,1705.0,SLBSL
2021-08-05,1705.0,1705.0,1650.0,1669.0,SLBSL
2021-08-08,1680.0,1680.0,1620.0,1640.0,SLBSL
2021-08-09,1630.0,1630.0,1610.0,1615.0,SLBSL
2021-08-10,1640.0,1645.0,1565.0,1595.0,SLBSL
2021-08-11,1620.0,1626.9,1571.0,1585.0,SLBSL
2021-08-12,1566.0,1590.0,1560.0,1570.0,SLBSL
2021-08-15,1596.0,1631.0,1540.0,1586.0,SLBSL
2021-08-16,1610.0,1615.0,1561.0,1600.0,SLBSL
2021-08-17,1570.0,1600.0,1570.0,1581.0,SLBSL
2021-08-18,1600.0,1600.0,1550.0,1560.0,SLBSL
2021-08-19,1530.1,1605.0,1530.1,1540.0,SLBSL
2021-08-24,1545.0,1568.0,1530.0,1537.0,SLBSL
2021-08-25,1560.0,1560.0,1507.0,1518.0,SLBSL
2021-08-26,1520.0,1523.0,1511.0,1512.0,SLBSL
2021-08-29,1490.0,1500.0,1460.0,1460.0,SLBSL
2021-08-31,1441.0,1474.0,1420.0,1474.0,SLBSL
2021-09-01,1503.0,1532.9,1446.0,1465.0,SLBSL
2021-09-02,1480.0,1480.0,1429.0,1429.0,SLBSL
2021-09-05,1401.0,1423.0,1375.0,1390.0,SLBSL
2021-09-06,1391.0,1446.3,1391.0,1445.0,SLBSL
2021-09-07,1445.0,1445.0,1393.0,1400.0,SLBSL
2021-09-08,1428.0,1428.0,1386.0,1395.0,SLBSL
2021-09-09,1400.0,1420.0,1380.0,1420.0,SLBSL
2021-09-12,1448.4,1506.0,1420.1,1450.0,SLBSL
2021-09-13,1430.0,1454.0,1430.0,1454.0,SLBSL
2021-09-14,1465.0,1465.0,1386.7,1443.3,SLBSL
2021-09-15,1450.0,1450.0,1396.0,1405.0,SLBSL
2021-09-16,1400.0,1400.0,1326.0,1370.0,SLBSL
2021-09-20,1370.0,1370.0,1267.0,1284.0,SLBSL
2021-09-21,1259.0,1309.0,1234.0,1275.0,SLBSL
2021-09-22,1300.0,1351.0,1300.0,1339.0,SLBSL
2021-09-23,1365.0,1365.0,1315.0,1315.0,SLBSL
2021-09-26,1300.0,1326.0,1282.1,1283.1,SLBSL
2021-09-27,1260.0,1260.0,1225.0,1225.0,SLBSL
2021-09-28,1225.0,1250.0,1216.0,1225.0,SLBSL
2021-09-29,1225.0,1254.0,1225.0,1254.0,SLBSL
2021-09-30,1275.0,1275.0,1202.5,1202.5,SLBSL
2021-10-03,1226.5,1260.0,1193.0,1200.0,SLBSL
2021-10-04,1223.9,1272.0,1223.9,1250.0,SLBSL
2021-10-05,1275.0,1360.0,1275.0,1325.0,SLBSL
2021-10-06,1351.5,1457.5,1351.5,1457.5,SLBSL
2021-10-10,1486.0,1486.0,1383.0,1383.0,SLBSL
2021-10-11,1380.0,1380.0,1330.0,1375.0,SLBSL
2021-10-17,1351.0,1360.0,1347.5,1360.0,SLBSL
2021-10-18,1350.0,1350.0,1325.0,1325.0,SLBSL
2021-10-19,1300.0,1300.0,1245.0,1245.0,SLBSL
2021-10-20,1269.0,1269.0,1235.0,1245.0,SLBSL
2021-10-21,1244.0,1268.0,1244.0,1268.0,SLBSL
2021-10-24,1287.0,1299.0,1275.1,1275.1,SLBSL
2021-10-25,1300.0,1300.6,1291.0,1292.0,SLBSL
2021-10-26,1300.0,1317.0,1289.0,1312.0,SLBSL
2021-10-27,1300.0,1411.0,1300.0,1346.0,SLBSL
2021-10-28,1369.0,1428.3,1369.0,1404.0,SLBSL
2021-10-31,1432.0,1544.4,1421.0,1544.4,SLBSL
2021-11-01,1575.2,1665.0,1512.0,1532.0,SLBSL
2021-11-02,1501.4,1530.0,1477.0,1495.0,SLBSL
2021-11-03,1519.0,1580.0,1471.0,1471.0,SLBSL
2021-11-08,1495.0,1500.0,1465.0,1465.0,SLBSL
2021-11-09,1450.0,1450.0,1365.0,1365.0,SLBSL
2021-11-11,1390.0,1440.0,1338.1,1412.0,SLBSL
2021-11-14,1384.0,1439.0,1356.3,1402.0,SLBSL
2021-11-15,1430.0,1485.0,1400.0,1477.5,SLBSL
2021-11-16,1500.0,1506.0,1436.0,1489.0,SLBSL
2021-11-17,1495.0,1500.0,1435.0,1450.0,SLBSL
2021-11-18,1450.0,1450.0,1421.0,1425.0,SLBSL
2021-11-21,1400.0,1405.0,1388.0,1388.0,SLBSL
2021-11-22,1370.0,1433.0,1370.0,1375.0,SLBSL
2021-11-23,1374.0,1402.0,1352.0,1402.0,SLBSL
2021-11-24,1395.0,1395.0,1367.4,1390.0,SLBSL
2021-11-25,1370.0,1388.0,1364.0,1364.0,SLBSL
2021-11-28,1364.0,1364.0,1300.0,1300.0,SLBSL
2021-11-29,1300.0,1378.0,1300.0,1345.0,SLBSL
2021-11-30,1328.0,1342.0,1324.0,1340.0,SLBSL
2021-12-01,1313.2,1394.0,1313.2,1345.0,SLBSL
2021-12-02,1320.1,1339.0,1301.0,1310.0,SLBSL
2021-12-05,1284.0,1290.0,1234.0,1280.0,SLBSL
2021-12-06,1255.0,1280.0,1235.0,1277.0,SLBSL
2021-12-07,1277.0,1281.0,1277.0,1277.0,SLBSL
2021-12-08,1277.0,1277.0,1150.0,1168.0,SLBSL
2021-12-09,1144.7,1144.7,1067.0,1100.0,SLBSL
2021-12-12,1074.0,1074.0,1011.0,1011.0,SLBSL
2021-12-13,993.0,1000.0,951.6,975.0,SLBSL
2021-12-14,990.0,1059.0,990.0,1059.0,SLBSL
2021-12-15,1080.0,1101.0,1020.0,1050.0,SLBSL
2021-12-16,1030.0,1030.0,1000.0,1000.0,SLBSL
2021-12-20,1010.0,1010.0,990.0,1001.0,SLBSL
2021-12-21,992.0,1020.9,992.0,1020.9,SLBSL
2021-12-22,1041.0,1075.0,1023.0,1071.0,SLBSL
2021-12-23,1085.0,1085.0,1029.0,1040.1,SLBSL
2021-12-26,1060.6,1117.0,1060.6,1109.9,SLBSL
2021-12-27,1120.0,1142.0,1060.0,1060.0,SLBSL
2021-12-28,1081.0,1081.0,1059.0,1080.0,SLBSL
2021-12-29,1065.0,1115.0,1065.0,1092.0,SLBSL
2022-01-02,1098.0,1173.0,1098.0,1155.0,SLBSL
2022-01-03,1177.0,1245.0,1177.0,1220.0,SLBSL
2022-01-04,1220.0,1294.0,1195.6,1255.0,SLBSL
2022-01-05,1230.0,1254.6,1210.0,1221.0,SLBSL
