date,open,high,low,close,symbol
2021-08-16,10.2,10.5,10.2,10.37,SLCF
2021-08-17,10.34,10.46,10.18,10.46,SLCF
2021-08-18,10.27,10.63,10.1,10.34,SLCF
2021-08-19,10.16,10.36,10.16,10.23,SLCF
2021-08-24,10.05,10.35,10.05,10.2,SLCF
2021-08-25,10.05,10.8,10.05,10.21,SLCF
2021-08-26,10.1,10.4,10.07,10.4,SLCF
2021-08-29,10.2,10.3,10.15,10.2,SLCF
2021-08-31,10.06,10.33,10.06,10.24,SLCF
2021-09-01,10.15,10.35,10.15,10.2,SLCF
2021-09-02,10.0,10.35,10.0,10.16,SLCF
2021-09-05,10.01,10.34,10.01,10.23,SLCF
2021-09-06,10.03,10.4,10.03,10.2,SLCF
2021-09-07,10.2,10.3,10.1,10.3,SLCF
2021-09-08,10.1,10.15,10.02,10.15,SLCF
2021-09-09,10.35,10.35,10.04,10.15,SLCF
2021-09-12,10.03,10.24,10.03,10.24,SLCF
2021-09-13,10.1,10.32,10.1,10.32,SLCF
2021-09-14,10.13,10.32,10.13,10.16,SLCF
2021-09-15,10.14,10.33,10.05,10.12,SLCF
2021-09-16,9.95,10.3,9.95,10.16,SLCF
2021-09-20,9.96,10.0,9.54,9.9,SLCF
2021-09-21,9.71,9.71,9.15,9.56,SLCF
2021-09-22,9.37,10.02,9.37,9.8,SLCF
2021-09-23,9.8,10.0,9.72,9.72,SLCF
2021-09-26,9.61,9.65,9.61,9.65,SLCF
2021-09-27,9.46,9.62,9.25,9.62,SLCF
2021-09-28,9.5,9.81,9.31,9.62,SLCF
2021-09-29,9.5,9.68,9.31,9.67,SLCF
2021-09-30,9.48,9.9,9.3,9.7,SLCF
2021-10-03,9.51,9.51,9.5,9.5,SLCF
2021-10-04,9.5,9.52,9.33,9.33,SLCF
2021-10-05,9.15,9.5,9.15,9.5,SLCF
2021-10-06,9.4,9.89,9.4,9.89,SLCF
2021-10-10,9.89,10.08,9.7,10.08,SLCF
2021-10-11,9.88,10.12,9.51,10.12,SLCF
2021-10-17,9.92,10.03,9.76,10.03,SLCF
2021-10-18,9.85,9.85,9.44,9.8,SLCF
2021-10-19,9.61,9.8,9.61,9.8,SLCF
2021-10-20,9.61,9.74,9.55,9.74,SLCF
2021-10-21,9.6,9.63,9.45,9.45,SLCF
2021-10-24,9.27,9.81,9.27,9.64,SLCF
2021-10-25,9.64,9.8,9.64,9.66,SLCF
2021-10-26,9.65,9.84,9.47,9.84,SLCF
2021-10-27,9.65,9.84,9.55,9.58,SLCF
2021-10-28,9.52,9.89,9.5,9.81,SLCF
2021-10-31,9.64,9.95,9.62,9.7,SLCF
