date,open,high,low,close,symbol
2021-08-31,405.0,412.0,395.0,399.0,TRH
2021-09-01,406.9,428.0,400.0,408.0,TRH
2021-09-02,416.1,431.0,404.8,410.0,TRH
2021-09-05,403.0,426.5,377.3,387.0,TRH
2021-09-06,379.3,415.0,371.8,415.0,TRH
2021-09-07,415.0,415.0,393.0,400.0,TRH
2021-09-08,394.0,397.0,386.0,390.0,TRH
2021-09-09,390.0,402.9,390.0,391.0,TRH
2021-09-12,397.9,400.9,391.0,398.0,TRH
2021-09-13,405.9,420.0,396.0,402.0,TRH
2021-09-14,395.1,402.0,394.5,400.0,TRH
2021-09-15,400.0,400.0,392.0,392.0,TRH
2021-09-16,392.0,392.0,372.0,380.0,TRH
2021-09-20,372.4,379.1,360.0,363.6,TRH
2021-09-21,360.0,389.0,349.9,373.0,TRH
2021-09-22,380.4,403.9,380.4,395.0,TRH
2021-09-23,400.1,400.1,383.0,385.0,TRH
2021-09-26,380.0,380.0,370.5,371.0,TRH
2021-09-27,364.0,370.0,357.1,364.0,TRH
2021-09-28,360.0,378.0,353.0,360.0,TRH
2021-09-29,353.1,383.0,353.0,368.0,TRH
2021-09-30,365.0,372.2,358.0,358.0,TRH
2021-10-03,358.0,358.0,343.0,352.0,TRH
2021-10-04,352.0,368.0,345.3,354.1,TRH
2021-10-05,361.0,375.0,350.0,366.0,TRH
2021-10-06,368.0,370.0,365.0,369.0,TRH
2021-10-10,365.1,369.0,362.0,362.0,TRH
2021-10-11,356.0,369.0,354.8,358.0,TRH
2021-10-17,362.0,367.9,360.0,367.9,TRH
2021-10-18,365.0,372.0,355.1,355.1,TRH
2021-10-19,355.0,355.0,330.0,336.0,TRH
2021-10-20,342.7,354.5,342.7,350.0,TRH
2021-10-21,344.1,355.0,340.0,346.0,TRH
2021-10-24,344.0,360.9,340.0,358.0,TRH
2021-10-25,355.0,370.0,355.0,364.0,TRH
2021-10-26,365.0,392.1,365.0,378.0,TRH
2021-10-27,378.0,390.0,371.1,371.1,TRH
2021-10-28,372.0,378.0,366.0,369.0,TRH
2021-10-31,376.3,391.0,375.0,382.0,TRH
2021-11-01,389.0,393.0,375.0,386.0,TRH
2021-11-02,388.0,388.0,373.4,387.7,TRH
2021-11-03,387.8,387.8,377.0,378.0,TRH
2021-11-08,378.0,385.0,375.1,375.1,TRH
2021-11-09,370.0,370.0,362.0,368.0,TRH
2021-11-11,362.0,369.0,356.0,358.0,TRH
2021-11-14,358.0,365.0,353.8,358.0,TRH
2021-11-15,365.0,365.1,358.0,361.0,TRH
2021-11-16,363.0,369.0,363.0,365.0,TRH
2021-11-17,372.3,395.0,372.3,373.0,TRH
2021-11-18,370.0,380.4,370.0,370.0,TRH
2021-11-21,365.0,377.4,363.0,365.0,TRH
2021-11-22,362.6,378.0,362.6,366.9,TRH
2021-11-23,369.0,370.0,361.3,368.0,TRH
2021-11-24,363.1,380.0,363.1,373.0,TRH
2021-11-25,375.0,400.0,370.0,395.2,TRH
2021-11-28,397.0,404.0,384.0,385.4,TRH
2021-11-29,384.0,398.7,382.3,393.0,TRH
2021-11-30,390.1,394.0,384.1,384.2,TRH
2021-12-01,390.0,390.0,383.2,383.3,TRH
2021-12-02,383.0,383.0,369.0,382.0,TRH
2021-12-05,375.0,380.0,367.6,375.5,TRH
