date,open,high,low,close,symbol
2021-07-29,1920.0,1932.0,1899.0,1902.0,VLBS
2021-08-01,1930.0,1960.0,1900.0,1917.0,VLBS
2021-08-02,1922.0,1924.0,1900.0,1912.0,VLBS
2021-08-03,1950.0,2033.0,1925.0,2024.0,VLBS
2021-08-04,2031.0,2036.0,1931.0,1936.0,VLBS
2021-08-05,1898.0,1958.0,1887.0,1920.0,VLBS
2021-08-08,1906.0,1906.0,1857.0,1875.0,VLBS
2021-08-09,1850.0,1850.0,1810.0,1835.0,VLBS
2021-08-10,1850.0,1895.0,1815.0,1874.0,VLBS
2021-08-11,1900.0,1900.0,1832.0,1841.0,VLBS
2021-08-12,1845.0,1890.0,1813.0,1840.0,VLBS
2021-08-15,1840.0,1958.0,1840.0,1895.0,VLBS
2021-08-16,1865.1,1932.0,1865.1,1897.9,VLBS
2021-08-17,1897.0,1905.0,1860.0,1861.0,VLBS
2021-08-18,1824.0,1880.0,1820.0,1863.0,VLBS
2021-08-19,1870.0,1900.0,1826.0,1860.0,VLBS
2021-08-24,1824.0,1858.0,1824.0,1830.0,VLBS
2021-08-25,1810.0,1850.0,1810.0,1829.0,VLBS
2021-08-26,1834.0,1834.0,1796.0,1814.9,VLBS
2021-08-29,1850.0,1850.0,1762.0,1790.0,VLBS
2021-08-31,1760.0,1760.0,1710.0,1713.0,VLBS
2021-09-01,1704.0,1740.0,1701.0,1725.0,VLBS
2021-09-02,1691.2,1731.0,1691.2,1723.0,VLBS
2021-09-05,1705.0,1723.0,1632.0,1667.0,VLBS
2021-09-06,1650.0,1732.0,1650.0,1730.0,VLBS
2021-09-07,1700.0,1745.0,1662.0,1691.0,VLBS
2021-09-08,1700.0,1700.0,1650.0,1660.0,VLBS
2021-09-09,1693.0,1693.0,1650.0,1678.0,VLBS
2021-09-12,1666.0,1745.0,1666.0,1725.0,VLBS
2021-09-13,1700.0,1706.0,1685.0,1685.0,VLBS
2021-09-14,1700.0,1700.0,1662.0,1690.0,VLBS
2021-09-15,1680.0,1680.0,1657.0,1674.5,VLBS
2021-09-16,1674.0,1674.0,1600.0,1600.0,VLBS
2021-09-20,1600.0,1610.0,1515.0,1575.0,VLBS
2021-09-21,1550.0,1612.3,1520.0,1596.0,VLBS
2021-09-22,1627.0,1649.0,1610.0,1630.0,VLBS
2021-09-23,1630.0,1655.0,1625.0,1625.0,VLBS
2021-09-26,1593.0,1622.0,1560.0,1566.3,VLBS
2021-09-27,1550.0,1566.0,1515.0,1516.0,VLBS
2021-09-28,1516.0,1546.3,1487.0,1529.0,VLBS
2021-09-29,1535.0,1560.0,1505.0,1560.0,VLBS
2021-09-30,1589.9,1591.0,1499.0,1568.9,VLBS
2021-10-03,1599.0,1599.0,1515.0,1520.0,VLBS
2021-10-04,1520.0,1555.0,1505.0,1540.0,VLBS
2021-10-05,1570.0,1630.9,1561.0,1613.6,VLBS
2021-10-06,1645.0,1740.0,1645.0,1720.0,VLBS
2021-10-10,1754.1,1789.0,1675.0,1690.0,VLBS
2021-10-11,1660.0,1660.0,1630.0,1640.0,VLBS
2021-10-17,1671.9,1671.9,1610.0,1669.9,VLBS
2021-10-18,1636.7,1666.9,1548.0,1580.0,VLBS
2021-10-19,1550.0,1560.0,1442.0,1521.0,VLBS
2021-10-20,1525.0,1565.7,1522.0,1559.0,VLBS
2021-10-21,1590.0,1590.0,1529.0,1546.0,VLBS
2021-10-24,1560.0,1560.0,1532.0,1541.0,VLBS
2021-10-25,1543.0,1613.6,1543.0,1590.0,VLBS
2021-10-26,1605.0,1628.0,1605.0,1610.0,VLBS
2021-10-27,1624.9,1665.0,1610.0,1610.0,VLBS
2021-10-28,1610.0,1699.9,1600.0,1675.0,VLBS
2021-10-31,1653.2,1750.0,1653.1,1703.2,VLBS
2021-11-01,1737.2,1737.2,1670.0,1680.0,VLBS
2021-11-02,1650.5,1699.0,1648.0,1680.0,VLBS
2021-11-03,1713.0,1750.0,1690.0,1750.0,VLBS
2021-11-08,1716.0,1716.0,1684.0,1685.0,VLBS
2021-11-09,1667.0,1668.0,1602.0,1621.0,VLBS
2021-11-11,1590.0,1672.0,1589.0,1626.0,VLBS
2021-11-14,1630.0,1691.6,1625.0,1650.0,VLBS
2021-11-15,1682.0,1701.0,1655.0,1690.0,VLBS
2021-11-16,1690.0,1690.0,1616.0,1650.0,VLBS
2021-11-17,1650.0,1749.0,1650.0,1675.0,VLBS
2021-11-18,1680.0,1680.0,1630.0,1630.0,VLBS
2021-11-21,1613.0,1613.0,1603.0,1603.0,VLBS
2021-11-22,1591.0,1610.0,1590.0,1595.3,VLBS
2021-11-23,1578.3,1582.1,1546.8,1546.8,VLBS
2021-11-24,1521.0,1570.0,1517.0,1559.5,VLBS
2021-11-25,1559.0,1559.0,1541.0,1541.0,VLBS
2021-11-28,1511.0,1511.0,1470.0,1472.0,VLBS
2021-11-29,1448.0,1530.0,1448.0,1484.0,VLBS
2021-11-30,1458.1,1508.8,1454.5,1508.8,VLBS
2021-12-01,1480.0,1499.0,1479.0,1490.0,VLBS
2021-12-02,1470.0,1480.0,1460.3,1460.3,VLBS
2021-12-05,1459.9,1460.0,1400.0,1404.1,VLBS
2021-12-06,1432.0,1432.0,1324.0,1398.0,VLBS
2021-12-07,1425.9,1452.9,1398.0,1410.0,VLBS
2021-12-08,1430.0,1430.0,1355.0,1370.0,VLBS
2021-12-09,1343.0,1395.0,1341.0,1395.0,VLBS
2021-12-12,1400.0,1400.0,1339.8,1339.8,VLBS
2021-12-13,1314.0,1314.0,1262.0,1275.0,VLBS
2021-12-14,1300.0,1379.5,1300.0,1356.0,VLBS
2021-12-15,1350.0,1399.3,1345.0,1370.0,VLBS
2021-12-16,1350.0,1350.0,1320.0,1320.0,VLBS
2021-12-20,1320.0,1330.0,1315.0,1330.0,VLBS
2021-12-21,1356.0,1382.0,1354.0,1380.0,VLBS
2021-12-22,1407.6,1473.0,1407.6,1442.0,VLBS
2021-12-23,1450.0,1480.0,1450.0,1476.0,VLBS
2021-12-26,1505.0,1540.0,1505.0,1527.0,VLBS
2021-12-27,1297.6,1323.0,1266.0,1270.0,VLBS
2021-12-28,1270.0,1270.0,1247.0,1248.0,VLBS
2021-12-29,1248.0,1255.0,1240.0,1242.0,VLBS
2022-01-02,1266.8,1347.0,1260.0,1270.0,VLBS
2022-01-03,1290.0,1346.0,1290.0,1330.0,VLBS
2022-01-04,1355.0,1400.0,1327.9,1385.0,VLBS
2022-01-05,1399.0,1399.0,1322.0,1322.0,VLBS
2022-01-06,1330.0,1348.0,1330.0,1336.0,VLBS
2022-01-09,1362.0,1389.2,1336.0,1351.0,VLBS
2022-01-10,1350.0,1360.0,1336.0,1360.0,VLBS
2022-01-11,1360.0,1436.0,1350.0,1430.0,VLBS
2022-01-12,1401.5,1487.7,1392.0,1392.0,VLBS
2022-01-13,1419.0,1455.0,1391.0,1455.0,VLBS
2022-01-16,1484.0,1500.0,1468.1,1494.0,VLBS
2022-01-17,1485.3,1499.0,1445.1,1480.0,VLBS
2022-01-18,1475.0,1475.0,1426.0,1459.0,VLBS
2022-01-19,1484.0,1484.0,1421.0,1427.0,VLBS
2022-01-20,1454.0,1454.0,1401.5,1447.0,VLBS
2022-01-23,1453.5,1475.0,1421.2,1430.0,VLBS
2022-01-24,1410.0,1411.6,1381.0,1384.0,VLBS
2022-01-25,1357.0,1400.0,1357.0,1389.0,VLBS
2022-01-26,1390.0,1390.0,1340.0,1355.2,VLBS
2022-01-27,1346.0,1359.0,1331.0,1331.0,VLBS
2022-01-30,1357.6,1384.0,1357.6,1375.0,VLBS
2022-01-31,1390.0,1402.0,1372.0,1400.0,VLBS
2022-02-01,1400.0,1423.0,1375.0,1423.0,VLBS
2022-02-03,1400.0,1445.0,1361.1,1395.0,VLBS
2022-02-06,1371.0,1375.0,1337.0,1360.0,VLBS
2022-02-07,1335.0,1375.0,1335.0,1375.0,VLBS
2022-02-08,1398.5,1405.0,1350.0,1377.0,VLBS
2022-02-09,1350.0,1353.3,1349.6,1349.7,VLBS
2022-02-10,1350.0,1364.0,1331.0,1332.0,VLBS
2022-02-13,1329.0,1329.0,1260.0,1280.0,VLBS
2022-02-14,1280.0,1280.0,1255.0,1280.0,VLBS
2022-02-15,1285.4,1370.0,1277.0,1360.0,VLBS
2022-02-16,1387.0,1387.0,1320.0,1321.0,VLBS
2022-02-17,1294.6,1320.0,1294.6,1305.0,VLBS
2022-02-20,1282.0,1282.0,1267.0,1267.0,VLBS
2022-02-21,1255.0,1280.0,1255.0,1261.3,VLBS
2022-02-22,1260.0,1300.0,1260.0,1280.1,VLBS
2022-02-23,1281.0,1295.4,1270.0,1272.0,VLBS
2022-02-24,1248.0,1260.0,1241.0,1260.0,VLBS
2022-02-27,1236.0,1255.0,1227.0,1240.0,VLBS
2022-02-28,1241.0,1260.0,1236.0,1248.0,VLBS
2022-03-02,1225.0,1230.0,1223.0,1225.2,VLBS
2022-03-06,1245.0,1245.0,1201.0,1201.0,VLBS
2022-03-07,1225.0,1225.0,1190.0,1190.0,VLBS
2022-03-09,1180.0,1183.0,1161.0,1161.0,VLBS
2022-03-10,1140.1,1252.0,1140.1,1252.0,VLBS
2022-03-13,1271.0,1275.0,1245.0,1275.0,VLBS
2022-03-14,1275.0,1294.0,1250.0,1255.0,VLBS
2022-03-15,1278.0,1278.0,1240.0,1240.0,VLBS
2022-03-16,1232.0,1240.0,1221.0,1240.0,VLBS
2022-03-20,1240.0,1244.0,1193.7,1244.0,VLBS
2022-03-21,1242.0,1248.0,1242.0,1248.0,VLBS
2022-03-22,1248.0,1248.0,1231.0,1240.0,VLBS
